Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Earthworks Overall Progress,,,,,,
,Scope,,,,,
,Rows,,,,,
,,Earthworks,grouping,Earthworks,,
,,Basement 2,expanded,Basement 2,Earthworks,
,,Basement 1,expanded,Basement 1,Earthworks,
,Columns,,,,,
,,Shoring Piles,,Shoring Piles,,
,,Shotcrete,,Shotcrete,,
,,Anchors,,Anchors,,
,,Struts,,Struts,,
,,Bulk Excavation,,Bulk Excavation,,
Structure Overall Progress,,,,,,
,Scope,,,,,
,Rows,,,,,
,,Basement 2 (1),,Basement 2 (1),Structure,
,,Basement 1,,Basement 1,Structure,
,,Basement 2 (2),,Basement 2 (2),Structure,
,,Ground,,Ground,Structure,
,,Building A,grouping,Building A,,
,,Level 1,,Level 1,Building A,Structure
,,Level 2,,Level 2,Building A,Structure
,,Level 3,,Level 3,Building A,Structure
,,Level 4,,Level 4,Building A,Structure
,,Level 5,,Level 5,Building A,Structure
,,Level 6,,Level 6,Building A,Structure
,,Level 7,,Level 7,Building A,Structure
,,Roof,,Roof,Building A,Structure
,,Building B,grouping,Building B,,
,,Level 1,,Level 1,Building B,Structure
,,Level 2,,Level 2,Building B,Structure
,,Level 3,,Level 3,Building B,Structure
,,Level 4,,Level 4,Building B,Structure
,,Level 5,,Level 5,Building B,Structure
,,Level 6,,Level 6,Building B,Structure
,,Level 7,,Level 7,Building B,Structure
,,Roof,,Roof,Building B,Structure
,,Building C,,Building C,,
,,Level 1,,Level 1,Building C,Structure
,,Level 2,,Level 2,Building C,Structure
,,Level 3,,Level 3,Building C,Structure
,,Level 4,,Level 4,Building C,Structure
,,Level 5,,Level 5,Building C,Structure
,,Level 6,,Level 6,Building C,Structure
,,Level 7,,Level 7,Building C,Structure
,,Roof,,Roof,Building C,Structure
,Columns,,,,,
,,Formwork & Reinforcing,,Formwork & Reinforcing,,
,,Suspended Slab,,Suspended Slab,,
,,Precast,,Precast,,
,,Concrete Pour,,Concrete Pour,,
,,Columns,,Columns,,
