Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,
ee7c1460-4611-4ec2-a3c5-f1735d0e0d08,,checklist-flat,not-started,PRE - R - PRE-line,checklist-flat,FALSE,FALSE,B01,Fitout,Basement,North West Wing,Common & Service Areas,Stair 1 & Lobby,Steel Stud Framing,
eab0b09c-feb1-4c67-b3d8-e1a181ea233f,,checklist-flat,not-started,PRE - R - PRE-line,checklist-flat,FALSE,FALSE,B01,Fitout,Basement,North West Wing,Common & Service Areas,Lift 3 & Lobby,Steel Stud Framing,
07e20352-7e9d-49e8-8ace-65f8f4f53f0f,,checklist-flat,not-started,PRE - R - PRE-line,checklist-flat,FALSE,FALSE,B01,Fitout,Basement,North West Wing,Common & Service Areas,Swimming/SPA Pool Plant Area,Steel Stud Framing,
fb460ded-c600-4ce9-8e7a-e0a33fca29b9,,checklist-flat,not-started,PRE - R - PRE-line,checklist-flat,FALSE,FALSE,B01,Fitout,Basement,North West Wing,Common & Service Areas,Gardener,Steel Stud Framing,
cec7c88f-ba6a-43dc-904e-8ecaebcb4b9e,,checklist-flat,not-started,PRE - R - PRE-line,checklist-flat,FALSE,FALSE,B01,Fitout,Basement,North West Wing,Service Areas,COMMS,Steel Stud Framing,
3a2270d8-e126-4d15-bfa4-8becf615f0a3,,checklist-flat,not-started,PRE - R - PRE-line,checklist-flat,FALSE,FALSE,B01,Fitout,Basement,South West Wing,Common & Service Areas,Stair 2 & Lobby,Steel Stud Framing,
8c4b2dbd-b93e-4edb-bced-d531bae2856b,,checklist-flat,not-started,PRE - R - PRE-line,checklist-flat,FALSE,FALSE,B01,Fitout,Basement,South West Wing,Common & Service Areas,Residents Workshop,Steel Stud Framing,
0ad5b355-9538-4d0a-87dd-19a0a66a6789,,checklist-flat,not-started,PRE - R - PRE-line,checklist-flat,FALSE,FALSE,B01,Fitout,Basement,South West Wing,Common & Service Areas,Store/Lift Undercroft,Steel Stud Framing,
1b206f57-7871-4571-9301-42b6719685ea,,checklist-flat,not-started,PRE - R - PRE-line,checklist-flat,FALSE,FALSE,B01,Fitout,Basement,South West Wing,Common & Service Areas,WC Lobby & WC,Steel Stud Framing,
b9c93c7d-b058-4a42-8411-802815efbedc,,checklist-flat,not-started,PRE - R - PRE-line,checklist-flat,FALSE,FALSE,B01,Fitout,Basement,Center,Common & Service Areas,Stair 3 & Lobby,Steel Stud Framing,
f0e680f9-8497-48c2-b40c-71789741ae22,,checklist-flat,not-started,PRE - R - PRE-line,checklist-flat,FALSE,FALSE,B01,Fitout,Basement,Center,Common & Service Areas,Lift 1 - 2 & Lobby,Steel Stud Framing,
43eba641-b800-41ba-bd6c-1f1e4b5133b9,,checklist-flat,not-started,PRE - R - PRE-line,checklist-flat,FALSE,FALSE,B01,Fitout,Basement,Center,Common & Service Areas,Rubbish,Steel Stud Framing,
73a44421-174a-4c05-99e4-deb526a106e0,,checklist-flat,not-started,PRE - R - PRE-line,checklist-flat,FALSE,FALSE,B01,Fitout,Basement,Center,Common & Service Areas,Store Room,Steel Stud Framing,
388d8715-4fe8-439e-b0ed-4160e59198ac,,checklist-flat,not-started,PRE - R - PRE-line,checklist-flat,FALSE,FALSE,B01,Fitout,Basement,North East Wing,Common & Service Areas,Lift 5 & Lobby,Steel Stud Framing,
16bb64f3-39f2-40d6-bc77-6063752a4731,,checklist-flat,not-started,PRE - R - PRE-line,checklist-flat,FALSE,FALSE,B01,Fitout,Basement,North East Wing,Common & Service Areas,Maintenance,Steel Stud Framing,
c8a95197-0d0f-4c65-b5e4-250f5cb10210,,checklist-flat,not-started,PRE - R - PRE-line,checklist-flat,FALSE,FALSE,B01,Fitout,Basement,North East Wing,Common & Service Areas,Staff WC & Changing Room,Steel Stud Framing,
44c038d6-8bc7-4558-b46a-acacd3a20a89,,checklist-flat,not-started,PRE - R - PRE-line,checklist-flat,FALSE,FALSE,B01,Fitout,Basement,North East Wing,Common & Service Areas,Laundry Area,Steel Stud Framing,
7562666a-4a23-46d2-97c2-b26a27854cc0,,checklist-flat,not-started,PRE - R - PRE-line,checklist-flat,FALSE,FALSE,B01,Fitout,Basement,North East Wing,Common & Service Areas,Prep Area,Steel Stud Framing,
56d53435-67fd-4866-a42a-e3738378ab95,,checklist-flat,not-started,PRE - R - PRE-line,checklist-flat,FALSE,FALSE,B01,Fitout,Basement,North East Wing,Common & Service Areas,Corridor,Steel Stud Framing,
401fa491-bc71-46bc-abd0-f13ebef8fb0e,,checklist-flat,not-started,PRE - R - PRE-line,checklist-flat,FALSE,FALSE,B01,Fitout,Basement,North East Wing,Service Areas,MSB Room,Steel Stud Framing,
1c946e8e-d411-49d4-801b-204145d36f45,,checklist-flat,not-started,PRE - R - PRE-line,checklist-flat,FALSE,FALSE,B01,Fitout,Basement,North East Wing,Service Areas,PABX Room,Steel Stud Framing,
