"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1016d869-445f-4a48-807b-b436e3fabdf0","","not-started","","folder","TRUE","FALSE","Site QA"
"4a652da5-58ef-434f-af6e-af6a5ffea4b6","","not-started","Phased Installation QC (Installation Methodology)","checklist","FALSE","FALSE","Site QA","Phase 1"
"5b25e0a0-3ab3-495a-a008-1c2bdb18b830","","not-started","Phased Installation QC (Installation Methodology)","checklist","FALSE","FALSE","Site QA","Phase 2"
"24ab0113-bbff-41ae-a3a0-d0510f059d14","","not-started","Phased Installation QC (Installation Methodology)","checklist","FALSE","FALSE","Site QA","Phase 3"
"5a72b7e2-e7cc-4b67-bbda-bd02006a5e81","","not-started","Phased Installation QC (Installation Methodology)","checklist","FALSE","FALSE","Site QA","Phase 4"
"9a8a811a-53ca-48a3-bf06-0248bbf74197","","not-started","Phased Installation QC (Installation Methodology)","checklist","FALSE","FALSE","Site QA","Phase 5"
"6973205d-d20b-4e74-a356-284cf774fc82","","not-started","Phased Installation QC (Installation Methodology)","checklist","FALSE","FALSE","Site QA","Phase 6"
"e9ffb40e-ed90-4883-b303-926e244b1a20","","not-started","Phased Installation QC (Installation Methodology)","checklist","FALSE","FALSE","Site QA","Phase 7"
"198e2095-10a6-458a-8fbb-5f08c071347a","","not-started","Phased Installation QC (Installation Methodology)","checklist","FALSE","FALSE","Site QA","Phase 8"
"54a8f254-1e9b-491a-9059-fefa48af2916","","not-started","Phased Installation QC (Installation Methodology)","checklist","FALSE","FALSE","Site QA","Phase 9"
"eee19f51-a0a7-4123-9981-2c38b32c5043","","not-started","Phased Installation QC (Installation Methodology)","checklist","FALSE","FALSE","Site QA","Phase 10"
"97fab978-878c-4bdc-9472-e8d00c487fcc","","not-started","Phased Installation QC (Installation Methodology)","checklist","FALSE","FALSE","Site QA","Phase 11"
"0eb34974-06a0-423b-ac76-f79dda17e8b6","","not-started","Phased Installation QC (Installation Methodology)","checklist","FALSE","FALSE","Site QA","Phase 12"
"11d46dff-9faa-4ba4-84c0-cc7ffe6430ee","","not-started","Phased Installation QC (Installation Methodology)","checklist","FALSE","FALSE","Site QA","Phase 13"
"baa53b51-1c7c-4131-a87c-59b0bbd9a722","","not-started","Phased Installation QC (Installation Methodology)","checklist","FALSE","FALSE","Site QA","Phase 14"
"0c4c3861-b409-416c-b857-b57715f3967c","","not-started","Phased Installation QC (Installation Methodology)","checklist","FALSE","FALSE","Site QA","Phase 15"
"a1384ad6-2ea1-43fe-9437-b66ad936a188","","pass","Add Documentation","checklist","FALSE","FALSE","Add Documentation"
