type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,DX Wall Mounted Units,,,,,,,
section,Details,,,,,,,
checkpoint,Installed to latest drawing in the correct positions,,,,,,,
checkpoint,Drains installed and checked for fall,,,,,,,
checkpoint,Refrigeration pipe work connected,,,,,,,
checkpoint,Units clearly labelled,,,,,,,
checkpoint,Wall controller installed,,,,,,,
,,,,,,,,
checklist,DX Split Systems Condensing Units,,,,,,,
section,Details,,,,,,,
checkpoint,Installed to latest drawing in the correct positions and egress access clearances checked,,,,,,,
checkpoint,Vibration isolations installed,,,,,,,
checkpoint,Seismic restraints Installed as per Seismic design,,,,,,,
checkpoint,Units clearly labelled,,,,,,,
,,,,,,,,
checklist,DX Ceiling Cassette Units,,,,,,,
section,Details,,,,,,,
checkpoint,Installed to latest drawing in the correct positions,,,,,,,
checkpoint,Drains installed and checked for fall,,,,,,,
checkpoint,Refrigeration pipe work connected,,,,,,,
checkpoint,Units clearly labelled,,,,,,,
checkpoint,Wall controller installed,,,,,,,
,,,,,,,,
checklist,Fans,,,,,,,
section,Details,,,,,,,
checkpoint,Installed to latest drawing in the correct positions and egress access clearances checked,,,,,,,
checkpoint,Vibration isolations installed,,,,,,,
checkpoint,Seismic restraints Installed as per Seismic design,,,,,,,
checkpoint,Labelled,,,,,,,
,,,,,,,,
checklist,Energy Recovery Systems,,,,,,,
section,Details,,,,,,,
checkpoint,Installed to latest drawing in the correct positions and egress access clearances checked,,,,,,,
checkpoint,Vibration isolations installed,,,,,,,
checkpoint,Seismic restraints Installed as per Seismic design,,,,,,,
checkpoint,Unit clearly labelled,,,,,,,
