Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
ITP 001 Speed Panel,,,,,,,,
,Scope,,,Site QA,,,,
,Rows,,,,,,,
,,Level 1,grouping,Level 1,,,,
,,Fire Stairs - Speedpanel Stair Pressurisation Shaft 1,,Site QA,Level 1,Fire Stairs,Speedpanel Stair Pressurisation Shaft 1,
,,Fire Stairs - Speedpanel Stair Pressurisation Shaft 2,,Site QA,Level 1,Fire Stairs,Speedpanel Stair Pressurisation Shaft 2,
,,Fire Stairs - Speedpanel Scissor Stair Dividing Wall,,Site QA,Level 1,Fire Stairs,Speedpanel Scissor Stair Dividing Wall,
,,Northern Core Risers & Plant Rooms - Speedpanel Northern Core Risers & Plant Rooms,,Site QA,Level 1,Northern Core Risers & Plant Rooms,Speedpanel Northern Core Risers & Plant Rooms,
,,Level 2,grouping,Level 2,,,,
,,Fire Stairs - Speedpanel Stair Pressurisation Shaft 1,,Site QA,Level 2,Fire Stairs,Speedpanel Stair Pressurisation Shaft 1,
,,Fire Stairs - Speedpanel Stair Pressurisation Shaft 2,,Site QA,Level 2,Fire Stairs,Speedpanel Stair Pressurisation Shaft 2,
,,Fire Stairs - Speedpanel Scissor Stair Dividing Wall,,Site QA,Level 2,Fire Stairs,Speedpanel Scissor Stair Dividing Wall,
,,Northern Core Risers & Plant Rooms - Speedpanel Northern Core Risers & Plant Rooms,,Site QA,Level 2,Northern Core Risers & Plant Rooms,Speedpanel Northern Core Risers & Plant Rooms,
,,Level 3,grouping,Level 3,,,,
,,Fire Stairs - Speedpanel Stair Pressurisation Shaft 1,,Site QA,Level 3,Fire Stairs,Speedpanel Stair Pressurisation Shaft 1,
,,Fire Stairs - Speedpanel Stair Pressurisation Shaft 2,,Site QA,Level 3,Fire Stairs,Speedpanel Stair Pressurisation Shaft 2,
,,Fire Stairs - Speedpanel Scissor Stair Dividing Wall,,Site QA,Level 3,Fire Stairs,Speedpanel Scissor Stair Dividing Wall,
,,Northern Core Risers & Plant Rooms - Speedpanel Northern Core Risers & Plant Rooms,,Site QA,Level 3,Northern Core Risers & Plant Rooms,Speedpanel Northern Core Risers & Plant Rooms,
,,Level 5,grouping,Level 5,,,,
,,Fire Stairs - Speedpanel Stair Pressurisation Shaft 1,,Site QA,Level 5,Fire Stairs,Speedpanel Stair Pressurisation Shaft 1,
,,Fire Stairs - Speedpanel Stair Pressurisation Shaft 2,,Site QA,Level 5,Fire Stairs,Speedpanel Stair Pressurisation Shaft 2,
,,Fire Stairs - Speedpanel Scissor Stair Dividing Wall,,Site QA,Level 5,Fire Stairs,Speedpanel Scissor Stair Dividing Wall,
,,Northern Core Risers & Plant Rooms - Speedpanel Northern Core Risers & Plant Rooms,,Site QA,Level 5,Northern Core Risers & Plant Rooms,Speedpanel Northern Core Risers & Plant Rooms,
,,Level 6,grouping,Level 6,,,,
,,Fire Stairs - Speedpanel Stair Pressurisation Shaft 1,,Site QA,Level 6,Fire Stairs,Speedpanel Stair Pressurisation Shaft 1,
,,Fire Stairs - Speedpanel Stair Pressurisation Shaft 2,,Site QA,Level 6,Fire Stairs,Speedpanel Stair Pressurisation Shaft 2,
,,Fire Stairs - Speedpanel Scissor Stair Dividing Wall,,Site QA,Level 6,Fire Stairs,Speedpanel Scissor Stair Dividing Wall,
,,Northern Core Risers & Plant Rooms - Speedpanel Northern Core Risers & Plant Rooms,,Site QA,Level 6,Northern Core Risers & Plant Rooms,Speedpanel Northern Core Risers & Plant Rooms,
,,Level 7,grouping,Level 7,,,,
,,Fire Stairs - Speedpanel Stair Pressurisation Shaft 1,,Site QA,Level 7,Fire Stairs,Speedpanel Stair Pressurisation Shaft 1,
,,Fire Stairs - Speedpanel Stair Pressurisation Shaft 2,,Site QA,Level 7,Fire Stairs,Speedpanel Stair Pressurisation Shaft 2,
,,Fire Stairs - Speedpanel Scissor Stair Dividing Wall,,Site QA,Level 7,Fire Stairs,Speedpanel Scissor Stair Dividing Wall,
,,Northern Core Risers & Plant Rooms - Speedpanel Northern Core Risers & Plant Rooms,,Site QA,Level 7,Northern Core Risers & Plant Rooms,Speedpanel Northern Core Risers & Plant Rooms,
,,Level 8,grouping,Level 8,,,,
,,Fire Stairs - Speedpanel Stair Pressurisation Shaft 1,,Site QA,Level 8,Fire Stairs,Speedpanel Stair Pressurisation Shaft 1,
,,Fire Stairs - Speedpanel Stair Pressurisation Shaft 2,,Site QA,Level 8,Fire Stairs,Speedpanel Stair Pressurisation Shaft 2,
,,Fire Stairs - Speedpanel Scissor Stair Dividing Wall,,Site QA,Level 8,Fire Stairs,Speedpanel Scissor Stair Dividing Wall,
,,Northern Core Risers & Plant Rooms - Speedpanel Northern Core Risers & Plant Rooms,,Site QA,Level 8,Northern Core Risers & Plant Rooms,Speedpanel Northern Core Risers & Plant Rooms,
,,Level 9,grouping,Level 9,,,,
,,Fire Stairs - Speedpanel Stair Pressurisation Shaft 1,,Site QA,Level 9,Fire Stairs,Speedpanel Stair Pressurisation Shaft 1,
,,Fire Stairs - Speedpanel Stair Pressurisation Shaft 2,,Site QA,Level 9,Fire Stairs,Speedpanel Stair Pressurisation Shaft 2,
,,Fire Stairs - Speedpanel Scissor Stair Dividing Wall,,Site QA,Level 9,Fire Stairs,Speedpanel Scissor Stair Dividing Wall,
,,Northern Core Risers & Plant Rooms - Speedpanel Northern Core Risers & Plant Rooms,,Site QA,Level 9,Northern Core Risers & Plant Rooms,Speedpanel Northern Core Risers & Plant Rooms,
,,Level 10,grouping,Level 10,,,,
