type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Grease Arrestor Room (v040521),,,,,,Grease Arrestor Room (v040521)
checkpoint,Ensure grease arrestors are installed as per plans,,,,,,
checkpoint,Isolation valves installed on all grease arrestors,,,,,,
checkpoint,"Switchboards in place using suitable fixings to match mounting service, no damage to external board has occurred during installation",,,,,,
button,Ensure adequate pathways exist within board to accommodate all circuits and allow for future expansion,"Yes, No",,,,,
button,Install and loom in all circuits into correct cabinets,"Yes, No",,,,,
button,Ensure cable labels match switchboard schedule and construction drawings,"Yes, No",,,,,
button,Cables are labelled as per specified requirements,"Yes, No",,,,,
button,Check all tightness of all terminals on all breakers and bars,"Yes, No",,,,,
button,Ensure safety signage is installed and visible as per plans,"Yes, No",,,,,
checkpoint,Ensure adequate ventilation fans have been installed and are functioning correctly,,,,,,
checkpoint,Final sign off - Grease arrestors installed as per the above ITP - Add general photos/comments below,,,,,,
label,HOLDPOINT - Once all above items have been signed off work may proceed,,,,,,
