"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1fc4b491-7ba7-46f0-80dd-d1f3b25e520a","","folder-normal","fail","","step","TRUE","FALSE","Appselec - Site QA"
"59496fdc-124a-452a-8067-7000d7fc0281","","folder-normal","fail","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs"
"3e90e029-c5d0-4cc6-90c7-ede6affaa351","","folder-normal","fail","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS"
"92900b0b-19ae-44f2-a9d0-6d401f3d3911","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 2"
"a62a81f9-5fe6-4cfd-8e49-8ff709691d6e","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 2","AE 4634"
"fe039b7b-bdac-45cf-8fb5-70c0e0c5f8d1","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 2","AE 4634","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"796cda63-162d-43ea-8e28-53e03071a726","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 2","AE 4634","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"57cd9cac-d0de-498d-b174-e76407550a85","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 2","AE 4634","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"796c08e2-ea3b-46f7-8298-5e9eacf80eb1","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 2","AE 4981"
"cb0eab58-b076-4011-af24-1f61a7e3f52e","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 2","AE 4981","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"52d29b35-b790-488c-ba23-250236993a67","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 2","AE 4981","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"a8da553f-ae22-4432-bb2a-06a15f9763a5","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 2","AE 4981","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"821658d2-3261-4cab-bcd5-bfd8dc289473","","folder-normal","not-started","","step","TRUE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 2","AE 5079"
"9263e524-dcf2-43d5-a23a-f2cc380bc3a7","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 2","AE 5079","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"58868d69-e160-4e4a-b3f8-11b6d805a7d4","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Appselec - Site QA","Temporary DBs","MDB TEMPS","Basement 2","AE 5079","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
