"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f25f1c6e-0832-4e66-b1d8-63a3a6181f08","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B1001 - SH2 South - Recovery - DEVILS ELBOW SLIPS - RS0608/RP0 to 12km"
"fd466e03-443a-4d69-81ab-c6d258de7bed","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B1001 - SH2 South - Recovery - DEVILS ELBOW SLIPS - RS0608/RP0 to 12km","B1001A - Devils Elbow Scaling Packages"
"7e79316a-e6cc-4101-97c3-27eb7b40e332","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B1001 - SH2 South - Recovery - DEVILS ELBOW SLIPS - RS0608/RP0 to 12km","B1001B - Waikaou Hill North"
"67d5394c-690e-43da-903e-d548891ae97b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B1001 - SH2 South - Recovery - DEVILS ELBOW SLIPS - RS0608/RP0 to 12km","B1001C - Waikaou Hill South 1"
"e28ad684-8607-44c8-acfe-e5b3288160b1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B1001 - SH2 South - Recovery - DEVILS ELBOW SLIPS - RS0608/RP0 to 12km","B1001D - Devils Elbow North"
"a11988ca-3050-4134-a9ea-9ad87c4c7f34","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B1001 - SH2 South - Recovery - DEVILS ELBOW SLIPS - RS0608/RP0 to 12km","B1001E - Devils Elbow Shotcrete/Soil Nail Package (10yr Design)"
"051f92a9-984b-4804-9038-d3cf3ec1862c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B1001 - SH2 South - Recovery - DEVILS ELBOW SLIPS - RS0608/RP0 to 12km","B1001F - Devils Elbow Culvert"
"887dbc25-e37c-4cef-9961-93b971e3d52c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B1001 - SH2 South - Recovery - DEVILS ELBOW SLIPS - RS0608/RP0 to 12km","B1001G - Devil's Elbow South 1"
"db33e62e-5415-437b-8fd5-e740d2ea0716","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B1001 - SH2 South - Recovery - DEVILS ELBOW SLIPS - RS0608/RP0 to 12km","B1001H - Devils Elbow South 2"
"8636e5c4-212f-4ac0-822b-56f2c921b8dd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B1001 - SH2 South - Recovery - DEVILS ELBOW SLIPS - RS0608/RP0 to 12km","B1001I - Devils Corner"
"b6aa14ef-4325-4d83-82f9-ff68d33b9a95","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B1001 - SH2 South - Recovery - DEVILS ELBOW SLIPS - RS0608/RP0 to 12km","B1001J - Devils Elbow South 3"
"e3f355cb-7414-47e6-9774-c2b0b7787b5b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B1001 - SH2 South - Recovery - DEVILS ELBOW SLIPS - RS0608/RP0 to 12km","B1001K - Devils Elbow North Approach Underslip"
"2ce18275-30b9-44b5-9847-8f8658581d0f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B1004 - SH2 South - Recovery - WHITE PINE BUSH SLIPS - RS0608/RP12 to 18km"
"629c8099-6afa-44de-b5c8-67fbab623cdd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B1004 - SH2 South - Recovery - WHITE PINE BUSH SLIPS - RS0608/RP12 to 18km","B1004A - White Pines Bush North"
"86216917-07c9-401d-b884-ef8ac0d7da7b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B1004 - SH2 South - Recovery - WHITE PINE BUSH SLIPS - RS0608/RP12 to 18km","B1004B - White Pines Bush Slip"
"5d7c05de-0102-43ab-bf58-bfed982f5457","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B1004 - SH2 South - Recovery - WHITE PINE BUSH SLIPS - RS0608/RP12 to 18km","B1004C - White Pines Bush Slump"
"d1b2b60f-9872-49f2-ad6c-e6d508b2cdc8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B1004 - SH2 South - Recovery - WHITE PINE BUSH SLIPS - RS0608/RP12 to 18km","B1004D - Tangoio Falls Reserve"
"8ceb76e8-abdd-40dc-9cd5-7083fa581037","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B1004 - SH2 South - Recovery - WHITE PINE BUSH SLIPS - RS0608/RP12 to 18km","B1004E - Tangoio Hill Timber Cribb Wall"
"046e6250-eb1c-4a5e-a809-4d06a42f1316","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B1004 - SH2 South - Recovery - WHITE PINE BUSH SLIPS - RS0608/RP12 to 18km","B1004F - Tangoio Falls Steep Underslip"
"c4461f16-bfde-4e1d-b830-f48f1cf7f6af","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B1004 - SH2 South - Recovery - WHITE PINE BUSH SLIPS - RS0608/RP12 to 18km","B1004G - Te Ngarue Bridge Problem Statement"
"47359e6b-c382-417e-a32d-455251e61966","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B1004 - SH2 South - Recovery - WHITE PINE BUSH SLIPS - RS0608/RP12 to 18km","B1004H - White Pine Bush Scour"
"d01fd6f7-1cf6-484a-a1d9-6ee0b020a9da","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B1004 - SH2 South - Recovery - WHITE PINE BUSH SLIPS - RS0608/RP12 to 18km","B1004I - Kaiwaka Rd Dump Site"
"061d8078-077a-41a3-a145-72f3d12f4467","","folder-normal","work-in-progress","","step","TRUE","FALSE","B1101 - SH2 South - Recovery - TE NGARUE BRIDGE SCOUR - RS0626/RP0 to 5km"
"73268d6f-98b8-4f29-804f-b83049f6113a","","folder-normal","work-in-progress","","step","TRUE","FALSE","B1101 - SH2 South - Recovery - TE NGARUE BRIDGE SCOUR - RS0626/RP0 to 5km","B1101A - Culvert Scour Repairs"
"a6253174-bc22-4f46-8a17-a807400d13e5","","checklist-flat","work-in-progress","TREC ITP - Mass Block (Magnum Stone) Retaining Wall - B1101a - TE NGARUE BRIDGE SCOUR","checklist-flat","FALSE","FALSE","B1101 - SH2 South - Recovery - TE NGARUE BRIDGE SCOUR - RS0626/RP0 to 5km","B1101A - Culvert Scour Repairs","TREC ITP - Mass Block (Magnum Stone) Retaining Wall - B1101a - TE NGARUE BRIDGE SCOUR"
"ff408401-41f6-4dda-bc18-dd7f2f518939","","checklist-flat","not-started","TREC ITP - Rock Armouring - B1101A Te Ngarue Bridge Scour Repairs","checklist-flat","FALSE","FALSE","B1101 - SH2 South - Recovery - TE NGARUE BRIDGE SCOUR - RS0626/RP0 to 5km","B1101A - Culvert Scour Repairs","TREC ITP - Rock Armouring - B1101A Te Ngarue Bridge Scour Repairs"
"083c2187-a7e3-48f8-88d2-02c1e0b8c2b2","","checklist-flat","not-started","CS-4050 - Subgrade Approval Checksheet","checklist-flat","FALSE","FALSE","B1101 - SH2 South - Recovery - TE NGARUE BRIDGE SCOUR - RS0626/RP0 to 5km","B1101A - Culvert Scour Repairs","CS-4050 - Subgrade Approval Checksheet"
"1797a08b-585f-410c-8990-d0ad3ebc37b0","","checklist-flat","not-started","CS-4055 - Pavement Layers Checksheet","checklist-flat","FALSE","FALSE","B1101 - SH2 South - Recovery - TE NGARUE BRIDGE SCOUR - RS0626/RP0 to 5km","B1101A - Culvert Scour Repairs","CS-4055 - Pavement Layers Checksheet"
"e9467f1a-8112-4303-9f17-664a1d7e0cf3","","checklist-flat","not-started","TREC-ITP - B1101A - Te Ngarue Bridge - Asphalt - Surfacing (AC 14)","checklist-flat","FALSE","FALSE","B1101 - SH2 South - Recovery - TE NGARUE BRIDGE SCOUR - RS0626/RP0 to 5km","B1101A - Culvert Scour Repairs","TREC-ITP - B1101A - Te Ngarue Bridge - Asphalt - Surfacing (AC 14)"
"144760b1-4d32-43fc-84d9-0bb307b4528f","","checklist-flat","not-started","TREC-ITP - B1101A - Te Ngarue Bridge - Basecourse Construction","checklist-flat","FALSE","FALSE","B1101 - SH2 South - Recovery - TE NGARUE BRIDGE SCOUR - RS0626/RP0 to 5km","B1101A - Culvert Scour Repairs","TREC-ITP - B1101A - Te Ngarue Bridge - Basecourse Construction"
"1b12d97b-b847-440b-83cc-f56fb314a9e9","","checklist-flat","not-started","TREC-ITP - B1101A - Te Ngarue Bridge - Asphalt - Surfacing (AC 14)","checklist-flat","FALSE","FALSE","B1101 - SH2 South - Recovery - TE NGARUE BRIDGE SCOUR - RS0626/RP0 to 5km","TREC-ITP - B1101A - Te Ngarue Bridge - Asphalt - Surfacing (AC 14)"
"6d8814a5-d538-4390-9131-b59712abeed3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B1301 - SH2 South - Recovery - 0646 - 0 to 5km"
"cef7de8c-94c2-432d-bdd3-885bad21632b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","B1301 - SH2 South - Recovery - 0646 - 0 to 5km","B1301A - Presbensen Drive"
"a903f589-f754-4a59-aefb-6953a28adeb1","","checklist-flat","not-started","TREC-ITP - B1101A - Te Ngarue Bridge - Basecourse Construction","checklist-flat","FALSE","FALSE","TREC-ITP - B1101A - Te Ngarue Bridge - Basecourse Construction"
"bfb837ee-2200-450f-8fff-6aa9619c81d6","","checklist-flat","work-in-progress","TREC-ITP - B1101A - Te Ngarue Bridge - Asphalt - Surfacing (AC 14)","checklist-flat","FALSE","FALSE","TREC-ITP - B1101A - Te Ngarue Bridge - Asphalt - Surfacing (AC 14)"
