"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c9dec4b1-b337-4a73-91df-d743fe6f690f","","folder-normal","not-started","","step","TRUE","FALSE","Ground"
"f378997f-39cd-4d8f-a907-0e793d43ec99","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Ground","DG-01.1"
"046e1f4b-b9b0-44da-917b-2fe6d3af0fba","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Ground","DG-01.2"
"8b1db067-9dae-48ff-be9e-68eb67d874f7","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Ground","DG-01.3"
"04372fc9-02b9-41ff-8b86-1e45caddbbcd","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Ground","DG-01.4"
"a9354fb8-1a54-4bac-8277-4699e5fc60bd","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Ground","DG-02.1"
"93971b36-1057-4e4f-bd8b-ba3a0fcfdec4","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Ground","DG-03.1"
"3d9786dd-7668-4af2-ade9-0de8fc2615ad","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Ground","DG-05.1"
"2b8ac762-309d-4d3d-a074-700b88179e89","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Ground","WG-02.1"
"0e3246b8-b0e9-4e77-acdb-964b1292790b","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Ground","WG-04.1"
"7026b37c-9e59-4983-9850-78256399193f","","folder-normal","not-started","","step","TRUE","FALSE","Level 1"
"5da7f3a7-134e-4fa8-b297-41da73e2b408","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","D1-01.1"
"0601eea8-0711-4c5b-a410-caf2f5f84f86","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","D1-01.2"
"e5a05944-9b23-408b-a134-8b9840a12529","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","D1-01.3"
"807f3b1c-f037-4895-a75c-78dab04cc6e7","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","D1-02.1"
"0187610e-bad7-454d-9d52-d00f72c1d3b8","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","D1-04.1"
"41b90a77-8508-40e9-a3b9-3284c46b4c6a","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","D1-06.1"
"59e98770-85ac-47a3-94c5-7ee13763c777","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W1.04.6"
"424d7355-fc32-45f0-b420-91bbbb847149","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W1-01.1"
"c890ef7e-161e-4ed7-af07-e9e7e490da4d","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W1-01.2"
"729fa3f9-e1e2-4d10-a128-09a91dae211d","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W1-01.3"
"01788876-47c0-4c41-8961-3f9dad52fc3a","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W1-01.4"
"d56b6eab-5596-447d-b598-741892bcd573","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W1-01.5"
"59f51ce6-936e-4054-b248-b6b20fb351c7","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W1-01.6"
"a7a349d6-ca3d-453f-9b82-12544c311bcb","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W1-01.7"
"08d89f06-b626-4ecb-8010-ae4de339d70f","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W1-02.1"
"37a400e7-b717-46dc-ad3d-edb6405a23bb","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W1-02.2"
"e77e2cbe-6ba3-4c52-a408-bd28844b6676","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W1-03.1"
"3ec90b4d-30d7-422d-9f59-9c8c67e03de0","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W1-04.1"
"f0161973-83b2-4c7c-ae90-4332ca4494c3","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W1-04.2"
"cfbde20f-8910-497e-b558-edea06f21281","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W1-04.3"
"35f562da-b2b7-4a72-a124-4f6ac087d6e2","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W1-04.4"
"3882c8ea-8254-41d5-aa2f-b63f8febdc4b","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W1-05.1"
"002b3c75-3097-4514-b738-036db7ce7462","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W1-05.2"
"d5f1a4e3-a856-480e-bc8a-1d5547831e14","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W1-05.3"
"bcbb636b-ae06-4009-acfc-852508229a74","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W1-05.4"
"465401e9-5022-463c-bd74-c32d9c24d9da","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W1-05.5"
"b4a5e5f5-6c3b-4236-8df6-f94083ca89f9","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W1-05.6"
"ba0f4bc8-2ec9-43c2-b9db-cb9cd75a0cc0","","folder-normal","not-started","","step","TRUE","FALSE","Internal"
"41bb1f71-be9a-4065-a990-b8d295d4845d","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Internal","DG-02.2"
"6b007bad-9ef8-45bc-b71a-cdb92429a6e3","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Internal","DG-03.2"
"896a9679-8ba8-40d8-a679-7644e578b4de","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Internal","DG-04.1"
"983d1e43-adde-4ef2-aba7-8d782dc0dfbd","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Internal","DG-05.2"
"da8b4ef1-0cf6-4cfc-825b-955c0d719beb","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Internal","D1-01.4"
"0f823c51-1871-4686-a76d-11f141c9f6db","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Internal","D1-03.1"
"4e8fc121-4076-4001-b62f-fb1a521b47e8","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Internal","D1-03.2"
"d9d4b397-ab8c-435e-9e72-f60a1923d58f","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Internal","D1-03.3"
"10e018b0-a96b-458c-8944-593ba722018b","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Internal","D1-06.2"
