type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-flat,Frameless Doors,,,,,Yes,QA - Frameless Doors,479447d3-0809-4b9c-9de0-3bba6a84e889
checkpoint-status,Channel installed,,,,,,,
label,Check alignment per plans & check for damage,,,,,,,
checkpoint-status,Hardware installed,,,,,,,
label,Check for marking,,,,,,,
checkpoint-status,Check gaps are even,,,,,,,
checkpoint-status,Glass installed,,,,,,,
checkpoint-status,Silicone joints,,,,,,,
checkpoint-status,Trade clean,,,,,,,
,,,,,,,,
checklist-flat,QA - Showers,,,,,Yes,QA - Showers,6226d79c-8401-4cf7-ab53-d0b01531915e
checkpoint-status,Channel installed,,,,,,,
label,Check alignment per plans & check for damage,,,,,,,
checkpoint-status,Hardware installed,,,,,,,
label,Check for marking,,,,,,,
checkpoint-status,Glass installed,,,,,,,
label,"Check quality, safety stamps & gaps are even",,,,,,,
checkpoint-status,Silicone joints,,,,,,,
checkpoint-status,Trade clean,,,,,,,
,,,,,,,,
checklist-flat,QA - Canopies,,,,,Yes,QA - Canopies,84322e38-ec75-4728-927a-8ee1e1728142
checkpoint-status,Install hardware per PS1,,,,,,,
label,Ensure fittings & swivel heads bolted tight,,,,,,,
checkpoint-status,Glass installed & aligned per PS1,,,,,,,
label,Check edge-work & unit marking,,,,,,,
checkpoint-status,Silicone joints,,,,,,,
checkpoint-status,Trade clean,,,,,,,
,,,,,,,,
checklist-flat,QA - Spider Walls,,,,,Yes,QA - Spider Walls,9327c2ae-d669-4de7-8d4f-703110b65c36
checkpoint-status,Install hardware per PS1,,,,,,,
label,Ensure fittings & swivel heads bolted tight,,,,,,,
checkpoint-status,Glass installed & aligned per PS1,,,,,,,
label,Check edge-work & unit marking,,,,,,,
checkpoint-status,Silicone joints,,,,,,,
checkpoint-status,Trade clean,,,,,,,
,,,,,,,,
checklist-flat,QA - 2 Sided Structual,,,,,Yes,QA - 2 Sided Structural,a2ee28fb-93af-4d86-a64e-5609a8bb1561
checkpoint-status,Frame prep,,,,,,,
checkpoint-status,Structural taping,,,,,,,
checkpoint-status,Glass installed per structural submission,,,,,,,
label,Pre-check edgework & any markings on glass,,,,,,,
checkpoint-status,Beads installed,,,,,,,
checkpoint-status,Ties installed,,,,,,,
checkpoint-status,Structural silicone,,,,,,,
checkpoint-status,Trade clean,,,,,,,
checkpoint-status,Ties removed,,,,,,,
,,,,,,,,
checklist-flat,QA - Ballustrades,,,,,Yes,QA - Ballustrades,a597c773-c57f-4ab9-a41d-5b9984f6f022
checkpoint-status,Fixings drilled & chem-set,,,,,,,
label,timber: coach screwed with sika-fix,,,,,,,
checkpoint-status,Hardware installed per PS1,,,,,,,
label,Re-tension fixings & check hardware for damage,,,,,,,
checkpoint-status,Glass installed & plumbed per PS1,,,,,,,
label,Pre-check edgework & ensure gaps are even,,,,,,,
checkpoint-status,Hand-rail / link-rail installed,,,,,,,
checkpoint-status,Trade clean,,,,,,,
,,,,,,,,
checklist-flat,Captive Glazing,,,,,Yes,QA - Captive Glazing,f9fee0eb-9ec0-46b1-8ac9-e1f5377c5351
checkpoint-status,Frame prep,,,,,,,
label,Ensure setting blocks @ quarter points,,,,,,,
checkpoint-status,Glass installed,,,,,,,
label,Check edge-work & unit marking,,,,,,,
checkpoint-status,Beads installed,,,,,,,
checkpoint-status,Wedge installed,,,,,,,
label,Correct wedge per specification,,,,,,,
checkpoint-status,Trade clean,,,,,,,
,,,,,,,,
checklist-flat,QA - Mirror/Splashbacks,,,,,Yes,QA - Mirror/Splashbacks,fe3eb693-96b8-4e94-b026-94fddd3724ba
checkpoint-status,Surface prep,,,,,,,
checkpoint-status,Glass installed,,,,,,,
checkpoint-status,Trade clean,,,,,,,
