"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9fb3c1b1-c2c6-4a95-a1d0-4aeee55c937b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1"
"68aec99f-83a2-43e1-bb94-869d2a0bf106","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 1"
"dde6eb7c-e78a-4fe6-a602-68906d6806c0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 1","Earthworks"
"1e530d85-7861-4ab1-9e00-467ff3d4a106","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 1","Stormwater & Drainage"
"7229aebe-7c63-4ed3-87d8-edd6f5122fd2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 1","Utilites"
"960f59ca-9be6-4a91-9c83-87a396120ee2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 1","Concrete Works"
"d1c6052c-7ada-4953-8956-fb13bdc52cfb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 1","Pavement"
"3a778cb1-75c7-4e0c-ae8b-1597f64834d5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 1","Surfacing"
"6db66fbe-0604-4dce-95a2-8fb23b2486dc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 1","Street Lighting & ITS"
"dea349c1-ad25-4153-baa4-0822681118bc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 1","Traffic Services"
"17549002-8b3e-4cab-ac32-319370d6680a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 1","Landscaping"
"a1b3de9d-2de9-4cb0-88e2-cf9c24d00b7d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 1","Water Supply & Wastewater"
"e4620db1-2987-42b1-85d6-29be64ec95bf","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 1","Noise Wall"
"3c4d1c69-2bda-4642-ac5a-291620bf4da1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 1","Underpass Construction"
"947441f2-679e-4632-9475-9210aabad0bb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 1","Shared User Path"
"e72e5fb8-d0f7-4674-9f59-2da3040ab9a1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 1","Wetland & Maintenance Track"
"10069e63-bb08-43cf-b3ca-ce6f442ff259","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 2"
"d272e31c-a70f-45e9-bf67-e55e31868dba","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 2","Earthworks"
"dacaa761-951e-4b9f-ba7d-a98c00a8534c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 2","Stormwater & Drainage"
"a094bdf6-1c8d-4ef7-b2b5-bd05bdea679b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 2","Utilites"
"b7d92f7d-bd70-4742-a8b1-636d4a4a986f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 2","Concrete Works"
"19d23cfd-2ae9-41b9-a8ef-996969cdaa84","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 2","Pavement"
"944d4e92-4fa1-43ae-b367-681f3cf414f7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP1","Zone 2","Surfacing"
