"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f3d860e8-debf-4397-b64b-78c63fa63b53","","folder-normal","not-started","","step","TRUE","FALSE","ITP 001 - Subgrade Preparation"
"f2bf988a-aaab-4e60-be0f-37bd1974f748","","checklist-sectioned","not-started","ITP-001 - Subgrade Preparation Rev2","checklist","FALSE","FALSE","ITP 001 - Subgrade Preparation","Lot 1 - Subgrade Preparation CH373 - CH100"
"74a8f40d-c6f2-4bec-87da-c9510fb6b0e3","","folder-normal","not-started","","step","TRUE","FALSE","ITP 002 - Feeder Conduits and Pits "
"9156f231-2aa0-40db-921d-2eab0c7f6214","","checklist-sectioned","not-started","ITP-002 - Feeder Conduits and Pits Rev2","checklist","FALSE","FALSE","ITP 002 - Feeder Conduits and Pits ","Feeder Conduits and Pits  Lot 01 - CH373 to CH100 "
"a4dbb017-ebb2-4a77-b4bf-6fc9079fac09","","folder-normal","not-started","","step","TRUE","FALSE","ITP-004a - Class 2 Base Course Placement"
"e21f09cd-34d7-456a-841d-58dbb0fe7302","","checklist-sectioned","not-started","ITP-004a - Class 2 Base Course Placement Rev2","checklist","FALSE","FALSE","ITP-004a - Class 2 Base Course Placement","Class 2 Base Course Placement Lot 01 - CH 373 to CH100"
"f7d96f89-d94d-4fe5-b0f8-7b951ed9bf40","","folder-normal","not-started","","step","TRUE","FALSE","ITP-006 - Track Placement"
"632b1452-d649-441f-92c1-2c7c61ce9f88","","checklist-sectioned","not-started","ITP-006 - Track Placement Rev3","checklist","FALSE","FALSE","ITP-006 - Track Placement","Track Placement Lot 01 - CH 373 to CH190"
"ac168753-7dbf-4b3d-91dd-0189b7b3ffdb","","checklist-sectioned","not-started","ITP-006 - Track Placement Rev3","checklist","FALSE","FALSE","ITP-006 - Track Placement","Track Placement Lot 02 - CH 190 to CH100"
"8368559a-d710-4d8d-bdd2-0c9fe79759c6","","folder-normal","not-started","","step","TRUE","FALSE","ITP-007 - Concrete Track Slab Pour"
"2b5e472b-04f5-406a-a148-9402b6489e43","","checklist-sectioned","not-started","ITP-007 - Concrete Track Slab Pour Rev2","checklist","FALSE","FALSE","ITP-007 - Concrete Track Slab Pour","Concrete Track Slab Pour Lot 01 - CH 373 to CH198"
"c52e7745-242d-47eb-95e2-29b274d09e2e","","checklist-sectioned","not-started","ITP-007 - Concrete Track Slab Pour Rev2","checklist","FALSE","FALSE","ITP-007 - Concrete Track Slab Pour","Concrete Track Slab Pour Lot 02 - CH 198 to CH100"
"d028d76d-4624-490e-a1d9-33869c9028c4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","ITP-008 - Hot Mix Asphalt Rev3"
"abfcd9a8-e226-424b-9f0e-eb077adae11f","","folder-normal","not-started","","step","TRUE","FALSE","ITP-019 - Line Marking"
"f29e8c80-9b43-425e-bd09-afd6b0d1f85e","","checklist-sectioned","not-started","ITP-019 - Line Marking Rev3","checklist","FALSE","FALSE","ITP-019 - Line Marking","Line Marking Lot 01 - CH 373 to CH100"
