type,name,values,prefix,postfix,usage count,user addable,template name,
checklist,Prefab ITP,,,,,Yes,Prefab ITP,9396cefb-51cf-4f89-9a7c-d11b102b077e
section,Set Out,,,,,,,
checkpoint,Attach any relevant documents or photos,,,,,,,
text,Panel/ Draw No:,,,,,,,
text,Panel ID:,,,,,,,
text,Concrete:,,,,,,,
text,Drawing Rev No: IFA,,,,,,,
text,Drawing Rev No: IFC,,,,,,,
text,Panel Thickness:,,,,,,,
text,Length:,,,,,,,
text,Height:,,,,,,,
text,Weight,,,,,,,
section,Prefab,,,,,,,
checkpoint,U Bars Top,,,,,,,
select,Bar Type,"N10, N12, N16, N20",,,,,,
text,Bar Type,,,,,,,
checkpoint,U Bars Bottom,,,,,,,
select,Bar Type,"N10, N12, N16, N20",,,,,,
text,Bar Type,,,,,,,
checkpoint,Sides,,,,,,,
select,Bar Type,"N10, N12, N16, N20",,,,,,
text,Bar Type,,,,,,,
checkpoint,Trimmer/ Corner Bar Near Side,,,,,,,
select,Bar Type,"N10, N12, N16",,,,,,
text,Bar Type,,,,,,,
checkpoint,Central,,,,,,,
select,Bar Type,"N10, N12, N16",,,,,,
text,Bar Type,,,,,,,
checkpoint,Far Side,,,,,,,
select,Bar Type,"N10, N12, N16",,,,,,
text,Bar Type,,,,,,,
checkpoint,Bar,,,,,,,
text,A Layer,,,,,,,
text,B Layer,,,,,,,
text,C Layer,,,,,,,
text,D Layer,,,,,,,
checkpoint,Mesh,,,,,,,
select,A Layer,"SL81, SL82, SL92, SL102",,,,,,
text,A Layer,,,,,,,
select,B Layer,"SL81, SL82, SL92, SL102",,,,,,
text,B Layer,,,,,,,
select,Mid Layer,"SL81, SL82, SL92, SL102",,,,,,
text,Mid Layer,,,,,,,
checkpoint,Penos,,,,,,,
checkpoint,Rebates Near,,,,,,,
checkpoint,Rebates Far,,,,,,,
checkpoint,Propoints Near,,,,,,,
text,No Of:,,,,,,,
checkpoint,Propoints Far,,,,,,,
text,No Of:,,,,,,,
checkpoint,Correct Heights for Panel Thickness,,,,,,,
checkpoint,Grout Tubes - Top,,,,,,,
select,Diameter,"50mm, 65mm, 80mm",,,,,,
text,Diameter,,,,,,,
text,No of Lengths,,,,,,,
checkpoint,Grout Tubes - Bottom,,,,,,,
select,Diameter,"50mm, 65mm, 80mm",,,,,,
text,Diameter,,,,,,,
text,No of Lengths,,,,,,,
checkpoint,Spouts - Near,,,,,,,
checkpoint,Spouts - Far,,,,,,,
checkpoint,Structural Connections,,,,,,,
checkpoint,M16,,,,,,,
text,No Of.,,,,,,,
checkpoint,M20,,,,,,,
text,No Of.,,,,,,,
checkpoint,Cast Plate,,,,,,,
text,No Of.,,,,,,,
checkpoint,Correct Heights for Panel Thickness,,,,,,,
checkpoint,Slab Connections,,,,,,,
text,Type,,,,,,,
text,No Of.,,,,,,,
text,Top,,,,,,,
text,Centre,,,,,,,
text,Bottom,,,,,,,
checkpoint,Lifters: GAL Top,,,,,,,
text,No Of.,,,,,,,
select,SWL,"8T, 10T",,,,,,
text,SWL,,,,,,,
checkpoint,Lifters: GAL Side,,,,,,,
text,No Of.,,,,,,,
select,SWL,"8T, 10T",,,,,,
text,SWL,,,,,,,
checkpoint,Lifters: GAL Face,,,,,,,
text,No Of.,,,,,,,
select,SWL,7T,,,,,,
text,SWL,,,,,,,
checkpoint,Prefab Built By,,,,,,,
holdpoint,Checked By,,,,,,,
