"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2934c109-2d28-4974-8314-b5e156a8aea2","","no-status-not-started","","folder","TRUE","FALSE","Drawings for project"
"5d4b9dee-eaf5-4f26-8bb3-f058c35a0a90","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"509a486a-7f24-47a0-af15-ed77d2706e15","","work-in-progress","","folder","TRUE","FALSE","Site QA","Zone 1"
"7b42a87e-032a-4739-bd66-18700f92d3ab","","work-in-progress","ITP-002 - Watermain Construction Stage 2 - Rev A","checklist","FALSE","FALSE","Site QA","Zone 1","ITP-002 - Number 1"
"ff1fa7b5-051f-49d9-8490-685732c22231","","work-in-progress","TEST","checklist","FALSE","FALSE","Site QA","Zone 1","TEST"
"6d14dafd-2aad-4333-8c5c-8f2b30c6bffb","","not-started","ITP-002 - Watermain Construction Stage 2 - Rev A","checklist","FALSE","FALSE","Site QA","Zone 1","ITP-002 - Watermain Construction Stage 2"
"f28b5ec9-d0d7-4fe6-bf76-c259a91de598","","not-started","","folder","FALSE","FALSE","Variations"
"90f22ce0-a191-43b0-9cdb-d3cac8a4bf76","","not-started","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","123"
