"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0c0916ac-851d-45b4-9811-956271837780","","folder-normal","pass","","step","TRUE","FALSE","Ground Floor"
"bd2b73d6-b4fe-4b79-9834-96f758af6f73","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Ground Floor","G1P05"
"c97d997e-820d-49f8-b2ce-d65764c18e84","","checklist-sectioned","pass","4307fb2fb5f9dc656214c18ab248fc9298f49c28d2cf5af53100df5efb0f6b7a","checklist","FALSE","FALSE","Ground Floor","G1P07"
"9fbb33ec-038c-47e8-89a7-bad2a96e1c81","","checklist-sectioned","pass","4307fb2fb5f9dc656214c18ab248fc9298f49c28d2cf5af53100df5efb0f6b7a","checklist","FALSE","FALSE","Ground Floor","G1P08"
"f8a78c56-49f9-495e-b7fa-56be1576fd46","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Ground Floor","G1P14"
"f070f244-b9a2-498a-b257-07e3a6ccb991","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Ground Floor","G1P14A"
"7348ddec-b94e-47fb-8bea-45ec65823acb","","checklist-sectioned","pass","4307fb2fb5f9dc656214c18ab248fc9298f49c28d2cf5af53100df5efb0f6b7a","checklist","FALSE","FALSE","Ground Floor","G1P15"
"77f6003c-7b67-4903-a85d-0dfc547c2318","","checklist-sectioned","pass","4307fb2fb5f9dc656214c18ab248fc9298f49c28d2cf5af53100df5efb0f6b7a","checklist","FALSE","FALSE","Ground Floor","G1P16"
"e7894681-f6f8-446a-b8ab-695c3a780791","","checklist-sectioned","pass","4307fb2fb5f9dc656214c18ab248fc9298f49c28d2cf5af53100df5efb0f6b7a","checklist","FALSE","FALSE","Ground Floor","G1P17"
"574caf2e-3f8f-4648-b2c1-1dba78c35b18","","checklist-sectioned","pass","4307fb2fb5f9dc656214c18ab248fc9298f49c28d2cf5af53100df5efb0f6b7a","checklist","FALSE","FALSE","Ground Floor","G1P18"
"f498ffb5-e07f-4659-b8f7-30924fb7d911","","checklist-sectioned","pass","4307fb2fb5f9dc656214c18ab248fc9298f49c28d2cf5af53100df5efb0f6b7a","checklist","FALSE","FALSE","Ground Floor","G1P19"
"7d7e6bae-d37e-4b52-aac6-193a0b21a184","","checklist-sectioned","pass","4307fb2fb5f9dc656214c18ab248fc9298f49c28d2cf5af53100df5efb0f6b7a","checklist","FALSE","FALSE","Ground Floor","G1P20"
"dc471db0-52b6-4200-9b49-b4cc0f71af13","","checklist-sectioned","pass","4307fb2fb5f9dc656214c18ab248fc9298f49c28d2cf5af53100df5efb0f6b7a","checklist","FALSE","FALSE","Ground Floor","G1P21"
"7fcf52cc-1fcc-40f1-a518-8127e295c06a","","checklist-sectioned","pass","4307fb2fb5f9dc656214c18ab248fc9298f49c28d2cf5af53100df5efb0f6b7a","checklist","FALSE","FALSE","Ground Floor","G1P22"
"56e76da1-7c2e-4033-b68c-49b825a32fa0","","checklist-sectioned","pass","4307fb2fb5f9dc656214c18ab248fc9298f49c28d2cf5af53100df5efb0f6b7a","checklist","FALSE","FALSE","Ground Floor","G1P23"
"6694c26c-bebd-4dc2-8c4c-3b7e771751bc","","checklist-sectioned","pass","4307fb2fb5f9dc656214c18ab248fc9298f49c28d2cf5af53100df5efb0f6b7a","checklist","FALSE","FALSE","Ground Floor","G1P24"
"0fcd252e-5a7a-499f-838b-cdd606e762f6","","checklist-sectioned","pass","4307fb2fb5f9dc656214c18ab248fc9298f49c28d2cf5af53100df5efb0f6b7a","checklist","FALSE","FALSE","Ground Floor","G1P25"
