type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Inspection and Test Plan,itp,,,,,Inspection and Test Plan,
section,1,,,,,,,
checkpoint,1.1 Description of works,,,,,,,
checkpoint,1.2 Tech Subs,,,,,,,
checkpoint,1.3 Shop Drawings,,,,,,,
checkpoint,1.4 Procurement,,,,,,,
section,2,,,,,,,
checkpoint,2.1 Submains cable testing post livening,,,,,,,
checkpoint,2.2 Submians cable testing pre livening,,,,,,,
checkpoint,2.3 Preline inspection,,,,,,,
section,3,,,,,,,
checkpoint,3.1 Distribution board procurement,,,,,,,
checkpoint,3.2 Distribution board pre livening,,,,,,,
section,4,,,,,,,
checkpoint,4.1 Terminals in DB Securely fastened,,,,,,,
section,5,,,,,,,
checkpoint,5.1 Equipotential bonding check sheet,,,,,,,
section,6,,,,,,,
checkpoint,6.1 Continuity of Earthing system,,,,,,,
section,7,,,,,,,
checkpoint,"7.1 Insulation resistance, Fault loop impediance, phase rotation",,,,,,,
section,8,,,,,,,
checkpoint,8.1 Phase load testing and rebalancing of loads,,,,,,,
checkpoint,8.2 Power metering,,,,,,,
checkpoint,8.3 Ripple relay test,,,,,,,
section,9,,,,,,,
checkpoint,9.1 Lighting control check sheets,,,,,,,
section,10,,,,,,,
checkpoint,10.1 Emergency lighting duration testing,,,,,,,
section,11,,,,,,,
checkpoint,11.1 Emergency lighting lux level measurement,,,,,,,
section,12,,,,,,,
checkpoint,12.1 Exit and emergency PS3,,,,,,,
section,13,,,,,,,
checkpoint,13.1 Emergency lighting IQP,,,,,,,
section,14,,,,,,,
checkpoint,14.1 Electrical ESC and COC,,,,,,,
section,15,,,,,,,
checkpoint,15.1 Seismic producer statement,,,,,,,
section,16,,,,,,,
checkpoint,16.1 As-Builts,,,,,,,
section,17,,,,,,,
checkpoint,17.1 O&M Manual,,,,,,,
