"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bec6b535-3257-4053-8a2c-791664540ef4","","work-in-progress","","folder","TRUE","FALSE","FH01"
"9c1f2ccd-1510-4efc-9251-d707272471fb","","work-in-progress","","folder","TRUE","FALSE","FH01","01. FH01"
"5c5013b0-6850-4e31-99b2-ce106c7fe593","","work-in-progress","ITP-214-CIV-Hop-Piling Pad (Supply and Install) Rev 0 (FH01)","checklist","FALSE","FALSE","FH01","01. FH01","ITP-214-CIV-Hop-Piling Pad (Supply and Install) NORTH"
"d2c3bba0-6bef-47c2-9e35-b561584c9a6b","","work-in-progress","ITP-214-CIV-Hop-Piling Pad (Supply and Install) Rev 0 (FH01)","checklist","FALSE","FALSE","FH01","01. FH01","ITP-214-CIV-Hop-Piling Pad (Supply and Install) SOUTH"
"214c7c30-bca3-4228-98bb-03aedb94b87b","","not-started","ITP-215-CIV-HOP Rail Delineation Fence Rev 0 (FH01)","checklist","FALSE","FALSE","FH01","01. FH01","ITP-215-CIV-HOP Rail Delineation Fence NORTH"
"4bb46eb1-1dcf-4a69-a2e7-fa55460a5208","","not-started","ITP-215-CIV-HOP Rail Delineation Fence Rev 0 (FH01)","checklist","FALSE","FALSE","FH01","01. FH01","ITP-215-CIV-HOP Rail Delineation Fence SOUTH"
"c1e91127-facf-4097-a6a4-babf5fa6c1da","","work-in-progress","","folder","TRUE","FALSE","Structures"
"8f931969-876f-41f7-9864-8dfd17e59d40","","work-in-progress","","folder","TRUE","FALSE","Structures","North"
"6b0d9d5b-2a67-4711-b0fa-09efb349a555","","work-in-progress","","folder","TRUE","FALSE","Structures","North","Piling Pad "
"e9e856df-7b86-48ac-b5d2-df53b601c569","","work-in-progress","ITP-214-CIV-Hop-Piling Pad (Supply and Install) Rev 0 (FH01)","checklist","FALSE","FALSE","Structures","North","Piling Pad ","ITP-214-CIV-Hop-Piling Pad (Supply and Install) NORTH - 13/11/24"
"ba597057-142f-46df-982d-2aba5ffe8083","","not-started","ITP-219-CIV-HOP-Type B Fill - Road Rev 0","checklist","FALSE","FALSE","Structures","North","Piling Pad ","ITP-219-CIV-HOP-Type B Fill - Road"
