"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"99b1f903-eeb1-4469-b368-d03f2204be26","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"e288c3b2-6c2e-4760-8974-924b9fc2b0e1","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plastering & Internal Hebel"
"3c4ca73a-450c-460f-8ecc-4fb349e8dd15","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plastering & Internal Hebel","Basement"
"5048dda9-065f-441a-8a29-5d5946783620","","pass","","folder","TRUE","FALSE","Site QA","Plastering & Internal Hebel","Basement","Block A"
"08acfcbf-9179-4b40-afc7-c17b2f25d29a","","pass","Rigid Insulation","checklist","FALSE","FALSE","Site QA","Plastering & Internal Hebel","Basement","Block A","Rigid Insulation"
"d23ee814-2598-4fe3-941d-b4bfd341669f","","not-started","","folder","TRUE","FALSE","Site QA","Plastering & Internal Hebel","Basement","Block B"
"35a0308f-33a7-4fd8-8814-6fbb82136098","","not-started","Rigid Insulation","checklist","FALSE","FALSE","Site QA","Plastering & Internal Hebel","Basement","Block B","Rigid Insulation"
"4b4db22d-2716-489c-b264-d828684794a5","","not-started","","folder","TRUE","FALSE","Site QA","Plastering & Internal Hebel","Basement","Block C"
"e565b54c-3aec-4cc2-b6a7-0ca2993c6adc","","not-started","Rigid Insulation","checklist","FALSE","FALSE","Site QA","Plastering & Internal Hebel","Basement","Block C","Rigid Insulation"
"f231f787-0c43-4794-86bb-9f95e2401205","","not-started","","folder","TRUE","FALSE","Site QA","Plastering & Internal Hebel","Basement","Block D"
"efdeb39f-85c6-4615-80c9-f2466caa87f3","","not-started","Rigid Insulation","checklist","FALSE","FALSE","Site QA","Plastering & Internal Hebel","Basement","Block D","Rigid Insulation"
"cb569d1b-c3b9-4e4b-98c4-b2509947266b","","not-started","","folder","TRUE","FALSE","Site QA","Plastering & Internal Hebel","Basement","Block E"
"0f88b690-ca2c-444c-a204-738306154830","","not-started","Rigid Insulation","checklist","FALSE","FALSE","Site QA","Plastering & Internal Hebel","Basement","Block E","Rigid Insulation"
"9563bf93-8c6f-4ac8-951f-2f0b4fb2171b","","pass","","folder","TRUE","FALSE","Site QA","Plastering & Internal Hebel","Basement","Block F"
"1be05854-4a44-4856-a75a-1036ca0db541","","pass","Rigid Insulation","checklist","FALSE","FALSE","Site QA","Plastering & Internal Hebel","Basement","Block F","Rigid Insulation"
"256c3c29-f798-4f86-897a-1d061d6620e4","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plastering & Internal Hebel","Block A"
"fbbc5eee-be53-45f1-b82d-628af01b51e1","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plastering & Internal Hebel","Block A","Level 1"
"1cbe5616-881b-43c9-bb55-f6f16448b47d","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plastering & Internal Hebel","Block A","Level 1","Corridor 1"
"fcce2c1e-d03e-4662-8f0f-bb1ae158324f","","work-in-progress","Plastering & Internal Hebel","checklist","FALSE","FALSE","Site QA","Plastering & Internal Hebel","Block A","Level 1","Corridor 1","Plastering & Internal Hebel"
"c8ff62ad-4051-48a9-9a65-ff888aa3ded8","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plastering & Internal Hebel","Block A","Level 1","1.01"
"741bc584-1f3c-4b94-b701-1bf6eb57880d","","work-in-progress","Plastering & Internal Hebel","checklist","FALSE","FALSE","Site QA","Plastering & Internal Hebel","Block A","Level 1","1.01","Plastering & Internal Hebel"
"08f528e7-9b9b-4ae1-9409-96de8418b9de","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plastering & Internal Hebel","Block A","Level 1","1.02"
"8784a34e-53a8-42fd-aa86-8f096736cbb3","","work-in-progress","Plastering & Internal Hebel","checklist","FALSE","FALSE","Site QA","Plastering & Internal Hebel","Block A","Level 1","1.02","Plastering & Internal Hebel"
"d328d458-b170-488f-b68f-06ebe356ae56","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plastering & Internal Hebel","Block A","Level 1","1.03"
"20d03f2c-84e3-4867-b78d-713c944d6d9a","","work-in-progress","Plastering & Internal Hebel","checklist","FALSE","FALSE","Site QA","Plastering & Internal Hebel","Block A","Level 1","1.03","Plastering & Internal Hebel"
"3b0bd60b-4794-4912-bd49-2821e7d16a93","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plastering & Internal Hebel","Block A","Level 1","1.04"
"0443bc50-8c86-4229-b685-9fa9e0f69578","","work-in-progress","Plastering & Internal Hebel","checklist","FALSE","FALSE","Site QA","Plastering & Internal Hebel","Block A","Level 1","1.04","Plastering & Internal Hebel"
"15d725e4-eae6-416a-8e9d-756da1325b1e","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plastering & Internal Hebel","Block A","Level 1","1.05"
"f6e7d22c-6958-4486-9319-dcfc9ce85bd7","","work-in-progress","Plastering & Internal Hebel","checklist","FALSE","FALSE","Site QA","Plastering & Internal Hebel","Block A","Level 1","1.05","Plastering & Internal Hebel"
"56e4a99c-bdd1-4c5e-a4c0-1598c5944207","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plastering & Internal Hebel","Block A","Level 1","1.06"
"48a01ca8-ef4d-4e34-ac31-a3ceab0307a3","","work-in-progress","Plastering & Internal Hebel","checklist","FALSE","FALSE","Site QA","Plastering & Internal Hebel","Block A","Level 1","1.06","Plastering & Internal Hebel"
"6a7e7731-56a9-4f60-bc27-15a29616958c","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plastering & Internal Hebel","Block A","Level 1","1.07"
"e3023fe1-4e73-49c9-907d-1d3251db4eb8","","work-in-progress","Plastering & Internal Hebel","checklist","FALSE","FALSE","Site QA","Plastering & Internal Hebel","Block A","Level 1","1.07","Plastering & Internal Hebel"
"b3cd6e98-1063-4600-adc3-151347a68faa","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plastering & Internal Hebel","Block A","Level 1","1.08"
"ba69e26c-6963-410d-bb1d-b4ffb747ee47","","work-in-progress","Plastering & Internal Hebel","checklist","FALSE","FALSE","Site QA","Plastering & Internal Hebel","Block A","Level 1","1.08","Plastering & Internal Hebel"
"fcb770a8-c7ca-4d4c-bb81-fcd3d78a9015","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plastering & Internal Hebel","Block A","Level 1","Corridor 2"
"39ee07d4-2de3-49d6-81e1-c911ee95c66c","","work-in-progress","Plastering & Internal Hebel","checklist","FALSE","FALSE","Site QA","Plastering & Internal Hebel","Block A","Level 1","Corridor 2","Plastering & Internal Hebel"
