"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c353be15-e0ba-4868-82c3-dac2c3e355e7","","not-started","","folder","TRUE","FALSE","Site QA"
"1947dfdd-4498-4d66-9c0c-204d32225322","","not-started","","folder","TRUE","FALSE","Site QA","Podium 3"
"db97eebc-901b-433a-9ab0-53892e808465","","not-started","","folder","TRUE","FALSE","Site QA","Podium 3","Unit 01"
"73014f0c-d8ff-42d2-8214-befc7c898866","","not-started","Apartment Checklist","checklist","FALSE","FALSE","Site QA","Podium 3","Unit 01","Apartment Checklist"
"7eabba99-a495-407f-9201-0758b1aaab8b","","not-started","Balcony Checklist","checklist","FALSE","FALSE","Site QA","Podium 3","Unit 01","Balcony Checklist"
"b41d2ed0-3c26-499a-a9e7-be7123d52b5f","","not-started","","folder","TRUE","FALSE","Site QA","Podium 3","Unit 02"
"198a0c6a-7cae-4a0d-a296-98d8679f257e","","not-started","Apartment Checklist","checklist","FALSE","FALSE","Site QA","Podium 3","Unit 02","Apartment Checklist"
"5e725ce2-7326-4b32-8ea3-126b9e5781a3","","not-started","Balcony Checklist","checklist","FALSE","FALSE","Site QA","Podium 3","Unit 02","Balcony Checklist"
"2ed5850e-6ef6-4891-8e31-272d1fd4c2db","","not-started","","folder","TRUE","FALSE","Site QA","Podium 3","Unit 03"
"8cea5313-f80a-4405-a825-5c0594f10104","","not-started","Apartment Checklist","checklist","FALSE","FALSE","Site QA","Podium 3","Unit 03","Apartment Checklist"
"d17febf7-0a08-4d5b-9eb2-bea3bd04e88f","","not-started","Balcony Checklist","checklist","FALSE","FALSE","Site QA","Podium 3","Unit 03","Balcony Checklist"
"b49f020b-3fc8-457c-8be3-568c73a54863","","not-started","","folder","TRUE","FALSE","Site QA","Podium 3","Unit 04"
"f0a840f2-ed1e-45d3-b55d-dede8ce382d5","","not-started","Apartment Checklist","checklist","FALSE","FALSE","Site QA","Podium 3","Unit 04","Apartment Checklist"
