"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"cabfd5cf-795a-446e-a476-8707e5fd25aa","","folder-normal","not-started","","step","TRUE","FALSE","Emergency Lighting Test Results"
"497e6740-808d-4100-99bd-a69ae23cf781","","checklist-flat","not-started","Emergency Lighting Testing Evidence","checklist-flat","FALSE","FALSE","Emergency Lighting Test Results","Emergency Lighting Testing Evidence"
"4f19be91-749d-4a79-b2b9-8cdbe332d9ac","","folder-normal","not-started","","step","TRUE","FALSE","Temp DB's"
"90a6bab8-0303-4bf1-97b5-3267576d4469","","folder-normal","not-started","","step","TRUE","FALSE","Temp DB's","Temp DB Install Checklist"
"4cdf8dc8-9c26-43c6-ba9f-ac32aa0bfe6f","","checklist-flat","not-started","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-1"
"71fcc160-3ec3-4a40-82e5-b6a059cbd812","","checklist-flat","not-started","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-2"
"b7b88130-7bb5-46a7-9c54-4b149922d874","","checklist-flat","not-started","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-3"
"5c60f631-d146-4c1c-b5bd-01ee407d2d37","","checklist-flat","not-started","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-4"
"4bda6092-a7a5-4b16-a94e-3b204dd30f05","","checklist-flat","not-started","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-5"
"d0943b6d-c028-4f73-b548-9799a4a8cd62","","checklist-flat","not-started","Temp Board Install Checklist","checklist-flat","FALSE","FALSE","Temp DB's","Temp DB Install Checklist","Temp DB-6"
"4b3115df-6d43-4af9-8889-345609b39777","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Temp DB's","Temp DB Monthly Testing"
"596d9e49-782f-4152-bd11-b90face48857","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Variations"
"8e1af4d8-b170-44bd-877b-3522a91f3473","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Test & Tag"
"64ac9b3b-c0af-458c-a1ef-5798c4472070","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Talks"
"39f19482-7e89-44c1-976c-3791e94ee710","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Talks","Weekly Toolbox Talks"
"7d589913-d31a-438a-9463-2cbc47730935","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Talks","Daily Pre-start Toolbox Talks"
"c66153a4-96f6-46d9-896f-c9a6fc4ba5d3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA"
