type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Prestart Inspections,,,,,,,
section,Details,,,,,,,
checkpoint,Site has been cleaned in advance of our arrival on site,,,,,,,
checkpoint,Walls are plumb and level,,,,,,,
label,IMPORTANT,,,,,,,
checkpoint,Tiling works running to programme - prior trades completed,,,,,,,
checkpoint,Has prior trades QA been signed off by main contractor,,,,,,,
checkpoint,Gib compound and sanding cleaned up from rooms,,,,,,,
checkpoint,Task Analysis signed onto by tilers and provided to main contractor,,,,,,,
checkpoint,Inductions completed,,,,,,,
checkpoint,Site Inspection checklist has been completed,,,,,,,
checkpoint,All tools tagged and tested - (photo's required) ,,,,,,,
checkpoint,Tiler has current sitesafe - Input number and expiry,,,,,,,
checkpoint,Tiler has correct PPE ,,,,,,,
checkpoint,Correct drawings supplied as per onsite,,,,,,,
,,,,,,,,
,,,,,,,,
checklist,QA - Splashback Installation,,,,,,,
section,Splashback Installation ,,,,,,,
checkpoint,"Wall substrate straight, signed off by MC, and ready for installation. (insert notes for remediation if required)",,,,,,,
checkpoint,Splashback Tiles set out as per drawings ,,,,,,,
checkpoint,Tiles to walls ,,,,,,,
checkpoint,"Tiling is completed, checked and supervisor to sign onn",,,,,,,
checkpoint,Siicone nominated is the correct colour and applied evenly and correctly,,,,,,,
checkpoint,Correct tiles trim is supplied and installed as per drawings ,,,,,,,
checkpoint,Area left clean & tidy,,,,,,,
checkpoint,Builders clean completed,,,,,,,
,,,,,,,,
checklist,QA - Planter Box Tiling Installation ,,,,,,,
section,Planter Box ,,,,,,,
checkpoint,"Substrate straight, signed off by MC, and ready for installation. (insert notes for remediation if required)",,,,,,,
checkpoint,Tiles to planter box,,,,,,,
checkpoint,Mitre corners completed,,,,,,,
checkpoint,"Tiling is completed, checked and supervisor to sign onn",,,,,,,
checkpoint,Siicone nominated is the correct colour and applied evenly and correctly,,,,,,,
checkpoint,Correct tiles trim is supplied and installed as per drawings (powdercoated),,,,,,,
checkpoint,Area left clean & tidy,,,,,,,
checkpoint,Builders clean completed,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
