"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b4d033fa-b8cb-4602-8828-2744e7ede332","","folder-normal","work-in-progress","","step","TRUE","FALSE","NAL Major Works QA (JFC)"
"9dbef286-a565-4d73-870f-94c3848d9e67","","folder-normal","work-in-progress","","step","TRUE","FALSE","NAL Major Works QA (JFC)","Chainage 125.603"
"3ff82709-7ed4-4688-9d62-fdb5997d18c8","","checklist-sectioned","work-in-progress","Kiwirail - North Auckland Line Recovery - CH 125.603 - 01.0 PRE-CONSTRUCTION v2","checklist","FALSE","FALSE","NAL Major Works QA (JFC)","Chainage 125.603","CH 125.603 - 1.0 PRE-CONSTRUCTION"
"506be8f1-a3a3-420d-a136-3d1aa85962eb","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 125.603 - 02.0 STORMWATER DRAINAGE v2","checklist","FALSE","FALSE","NAL Major Works QA (JFC)","Chainage 125.603","CH 125.603 - 2.0 STORMWATER DRAINAGE"
"e4de802b-6f63-4471-a163-356c9eaf1f8a","","checklist-sectioned","work-in-progress","Kiwirail - North Auckland Line Recovery - CH 125.603 - 03.0 RETAINING WALL CONSTRUCTION v2","checklist","FALSE","FALSE","NAL Major Works QA (JFC)","Chainage 125.603","CH 125.603 - 3.0 RETAINING WALL CONSTRUCTION"
"d499e898-619f-4e1a-bac8-61839f00f548","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 125.603 - 04.0 ANCHOR INSTALLATION v2","checklist","FALSE","FALSE","NAL Major Works QA (JFC)","Chainage 125.603","CH 125.603 - 4.0 ANCHOR INSTALLATION"
"91c91914-1af1-403f-829d-098b938fc9f2","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 125.603 - 05.0 ANCHOR TESTING v2","checklist","FALSE","FALSE","NAL Major Works QA (JFC)","Chainage 125.603","CH 125.603 - 5.0 ANCHOR TESTING"
"7dc5da72-aa0b-4f70-b8ee-4b26bd6c68a8","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 125.603 - 06.0 FORMATION CONSTRUCTION v2","checklist","FALSE","FALSE","NAL Major Works QA (JFC)","Chainage 125.603","CH 125.603 - 6.0 FORMATION CONSTRUCTION"
"9fb0099e-b57f-4fe0-a97a-430b4b795854","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 125.603 - 07.0 AS-BUILTS AND CLOSE OUT v2","checklist","FALSE","FALSE","NAL Major Works QA (JFC)","Chainage 125.603","CH 125.603 - 7.0 AS-BUILTS AND CLOSE OUT"
"86cb477a-56e3-4cba-8edf-0fb2f201aaa1","","folder-normal","not-started","","step","TRUE","FALSE","NAL Major Works QA (JFC)","Chainage 128.840"
"095b4c1a-6c45-4369-871d-1b16aa1d00ce","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 128.840 - 01.0 PRE-CONSTRUCTION WORKS v2","checklist","FALSE","FALSE","NAL Major Works QA (JFC)","Chainage 128.840","CH 128.840 - 1.0 PRE-CONSTRUCTION WORKS"
"fe8871ba-9231-4fd1-8442-eccaaa2912cf","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 128.840 - 02.0 DRAINAGE WORKS v2","checklist","FALSE","FALSE","NAL Major Works QA (JFC)","Chainage 128.840","CH 128.840 - 2.0 DRAINAGE WORKS"
"78b09573-7918-4678-b5e3-ebfd3600b29d","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 128.840 - 03.0 TRACK FORMATION v2","checklist","FALSE","FALSE","NAL Major Works QA (JFC)","Chainage 128.840","CH 128.840 - 3.0 TRACK FORMATION"
"d3e48c39-9e60-46ec-85ed-79ca5e065ccc","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 128.840 - 04.0 POST CONSTRUCTION v2","checklist","FALSE","FALSE","NAL Major Works QA (JFC)","Chainage 128.840","CH 128.840 - 4.0 POST CONSTRUCTION"
"fcc4c7bd-11be-4bff-b39e-090b858f7b3c","","folder-normal","not-started","","step","TRUE","FALSE","NAL Major Works QA (JFC)","Chainage 134.620"
"9e4f2837-62b5-44dc-b70f-dd878d128ba8","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 134.620 - 01.0 PRE-CONSTRUCTION WORKS v2","checklist","FALSE","FALSE","NAL Major Works QA (JFC)","Chainage 134.620","CH 134.620 - 1.0 PRE-CONSTRUCTION WORKS"
"d83dea89-2ecb-4a08-9c93-9df0c652900d","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 134.620 - 02.0 SITE CLEARANCE v2","checklist","FALSE","FALSE","NAL Major Works QA (JFC)","Chainage 134.620","CH 134.620 - 2.0 SITE CLEARANCE"
"9ffdbcc2-de8f-487d-aca0-0db3175da49d","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 134.620 - 03.0 EARTHWORKS v2","checklist","FALSE","FALSE","NAL Major Works QA (JFC)","Chainage 134.620","CH 134.620 - 3.0 EARTHWORKS"
"87035ab4-bba4-48f1-87c7-9072d3e0ec9e","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 134.620 - 04.0 EARTHWORKS - EXCAVATION v2","checklist","FALSE","FALSE","NAL Major Works QA (JFC)","Chainage 134.620","CH 134.620 - 4.0 EARTHWORKS - EXCAVATION"
"c39e5903-9df1-42da-9fd2-18152be664f3","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 134.620 - 05.0 EARTHWORKS - FILL v2","checklist","FALSE","FALSE","NAL Major Works QA (JFC)","Chainage 134.620","CH 134.620 - 5.0 EARTHWORKS - FILL"
"cb767688-ed4a-475f-ba8f-77aef2bf1f31","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 134.620 - 06.0 COUNTERFORT DRAINAGE v2","checklist","FALSE","FALSE","NAL Major Works QA (JFC)","Chainage 134.620","CH 134.620 - 6.0 COUNTERFORT DRAINAGE"
"d0656e58-582f-4380-91a0-1019225d75f8","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 134.620 - 07.0 INSPECTION AND HOLD POINTS (IN ADDITION TO WHAT HAS ALREADY BEEN LISTED ABOVE) v2","checklist","FALSE","FALSE","NAL Major Works QA (JFC)","Chainage 134.620","CH 134.620 - 7.0 INSPECTION AND HOLD POINTS (IN ADDITION TO WHAT HAS ALREADY BEEN LISTED ABOVE)"
"e7b6b7ea-5fd3-4b8b-96b3-9bd7a4d81273","","checklist-sectioned","not-started","Kiwirail - North Auckland Line Recovery - CH 134.620 - 08.0 FORMATION v2","checklist","FALSE","FALSE","NAL Major Works QA (JFC)","Chainage 134.620","CH 134.620 - 8.0 FORMATION"
