"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"827a4373-5870-46ab-891c-7e07b98712f4","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"8740cefb-a74e-4ad7-a7ba-62d660576e9c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Lift Pit"
"60e3965a-1f99-4c53-9d20-a156c017d30e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Lift Pit","Base and Walls"
"d76b0286-4b92-4fa2-8681-f171e24c79c1","","checklist-flat","not-started","5239ad75c5fa233a059f9c239954d14cf53f1c256eb3e23738f97ab7858e3838","checklist-flat","FALSE","FALSE","Site QA","Lift Pit","Base and Walls","PVC Sheet Membrane"
"90e4e9dc-e4d4-4bc4-9763-97130bfa3d67","","checklist-flat","not-started","Waterstop-Penebar","checklist-flat","FALSE","FALSE","Site QA","Lift Pit","Base and Walls","Waterstop-Penebar"
"bb7f26f6-2067-4699-a2b8-9d7b23cc8fc6","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement 01"
"adcbef24-20a9-470e-ae6e-f4769b2e8d50","","checklist-flat","not-started","50f6b750eb362a042681826e87db23dc7c704bf994e90068bfc9c2b2049246f1","checklist-flat","FALSE","FALSE","Site QA","Basement 01","Mech Plant"
"164bf379-3112-4bfe-b40f-46ba0454fbc8","","checklist-flat","not-started","50f6b750eb362a042681826e87db23dc7c704bf994e90068bfc9c2b2049246f1","checklist-flat","FALSE","FALSE","Site QA","Basement 01","Mech Riser Store"
"5497ce05-42f8-45da-92f7-6ec0213fb212","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Lower Ground"
"4762d79b-5a01-4977-87ce-b81337d31937","","checklist-flat","not-started","50f6b750eb362a042681826e87db23dc7c704bf994e90068bfc9c2b2049246f1","checklist-flat","FALSE","FALSE","Site QA","Lower Ground","Mech Intake"
"8382a689-ee5d-498a-a601-8a146cdf235e","","checklist-flat","not-started","50f6b750eb362a042681826e87db23dc7c704bf994e90068bfc9c2b2049246f1","checklist-flat","FALSE","FALSE","Site QA","Lower Ground","Refuse Store"
"b1d632e0-d823-4f82-a5c8-c00b93e7b3e1","","checklist-flat","not-started","50f6b750eb362a042681826e87db23dc7c704bf994e90068bfc9c2b2049246f1","checklist-flat","FALSE","FALSE","Site QA","Lower Ground","Mech Plant"
"b065673e-bf72-4c12-9c92-e3303a6655e9","","checklist-flat","not-started","50f6b750eb362a042681826e87db23dc7c704bf994e90068bfc9c2b2049246f1","checklist-flat","FALSE","FALSE","Site QA","Lower Ground","Switch Room"
"67091d31-bbdf-4b8b-a2be-78c4a71d299d","","checklist-flat","not-started","50f6b750eb362a042681826e87db23dc7c704bf994e90068bfc9c2b2049246f1","checklist-flat","FALSE","FALSE","Site QA","Lower Ground","Comms/NBN"
"1cae26d5-25e0-4fe8-a115-c6623889d2dc","","checklist-flat","not-started","50f6b750eb362a042681826e87db23dc7c704bf994e90068bfc9c2b2049246f1","checklist-flat","FALSE","FALSE","Site QA","Lower Ground","Substation"
"75ec7ef8-8655-411b-9e5e-b350b0a06dfa","","checklist-flat","not-started","50f6b750eb362a042681826e87db23dc7c704bf994e90068bfc9c2b2049246f1","checklist-flat","FALSE","FALSE","Site QA","Lower Ground","Mech Intake"
"1e21ea30-b602-4d25-b7e1-86cc7cc48cd6","","checklist-flat","not-started","50f6b750eb362a042681826e87db23dc7c704bf994e90068bfc9c2b2049246f1","checklist-flat","FALSE","FALSE","Site QA","Lower Ground","Gas Meters"
"0577c394-b68c-45da-81e2-56a7b3424eac","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ground Floor"
"858b4ec3-ca82-46a6-b7bc-561a837ac20d","","checklist-flat","not-started","64d22dff1e00ba422d84f32d3fe78a0649482ba93bac09e3483f929472fb686f","checklist-flat","FALSE","FALSE","Site QA","Ground Floor","Deep Bed Planting"
"158ebb2f-17b7-4f02-8b9a-a6789903f528","","checklist-flat","not-started","7b65d5646d0e4516fc91da37df09bd7c955c8ffc5c360841a3b64b82a7af549f","checklist-flat","FALSE","FALSE","Site QA","Ground Floor","Exposed Forecourt"
"617a0575-5b32-408b-ae58-b72bdb5123cd","","checklist-flat","not-started","50f6b750eb362a042681826e87db23dc7c704bf994e90068bfc9c2b2049246f1","checklist-flat","FALSE","FALSE","Site QA","Ground Floor","Bike Stores"
"c33a3bf6-3a67-4bbb-94f5-c0e0c556237d","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Ground Floor","EOT Female"
"5d05ae04-f5eb-4049-becf-69420695159b","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Ground Floor","UAT"
"6974249b-6a1a-4cca-9d7e-5a5ef765e9cd","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Ground Floor","EOT Male"
"39196482-ca11-44ce-bf16-1121131d0b31","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Ground Floor","Cleaner"
"d8fca2dd-71a3-4f96-ac3c-bb861d2c23ca","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Ground Floor","Booster Cupboard"
"4f42aec3-d789-432f-bdba-233a7f9f790b","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Ground Floor","Water Meter Assembly"
"95d04e1a-2bce-41c4-9d38-456554f76377","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Mezzanine"
"7c6c6c35-8abc-4923-84f6-a8770cebcfa9","","checklist-flat","not-started","f6acd08206ac850f0855da6eefe09928103ad7faf15d7f24a88b5d07cac95c7e","checklist-flat","FALSE","FALSE","Site QA","Mezzanine","FH/Sprinkler Tank"
"d881360e-e189-431a-8d51-13efa6595685","","checklist-flat","not-started","50f6b750eb362a042681826e87db23dc7c704bf994e90068bfc9c2b2049246f1","checklist-flat","FALSE","FALSE","Site QA","Mezzanine","Fire Pump Room"
"da923731-7411-4704-a5bd-a904f1a9cdea","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 1"
"75fa09e9-23be-4c0d-9211-b672eafe9c16","","checklist-flat","not-started","7b65d5646d0e4516fc91da37df09bd7c955c8ffc5c360841a3b64b82a7af549f","checklist-flat","FALSE","FALSE","Site QA","Level 1","External Play Area"
"d53be304-9ea7-4f00-b5ae-09bdefeaf0aa","","checklist-flat","not-started","64d22dff1e00ba422d84f32d3fe78a0649482ba93bac09e3483f929472fb686f","checklist-flat","FALSE","FALSE","Site QA","Level 1","Planters"
"01e35c6d-74e2-45e8-aed8-edadd799f0ae","","checklist-flat","not-started","7b65d5646d0e4516fc91da37df09bd7c955c8ffc5c360841a3b64b82a7af549f","checklist-flat","FALSE","FALSE","Site QA","Level 1","Exposed Forecourt"
"fb6953c3-3ddd-4c6a-bb5a-2951daf2fec1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 2"
"c94530f5-719c-479f-bc55-fffd5a913ea4","","checklist-flat","not-started","7b65d5646d0e4516fc91da37df09bd7c955c8ffc5c360841a3b64b82a7af549f","checklist-flat","FALSE","FALSE","Site QA","Level 2","External Play Area"
"c56a7146-aec0-49c2-b990-6deec8d702fb","","checklist-flat","not-started","64d22dff1e00ba422d84f32d3fe78a0649482ba93bac09e3483f929472fb686f","checklist-flat","FALSE","FALSE","Site QA","Level 2","Planters"
"d29bd965-b8f5-43b4-b2b9-6694b9bde04a","","checklist-flat","not-started","7b65d5646d0e4516fc91da37df09bd7c955c8ffc5c360841a3b64b82a7af549f","checklist-flat","FALSE","FALSE","Site QA","Level 2","Exposed Forecourt"
"d41ac38c-fbb7-4f0f-9d08-b8c45b391dff","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 3"
"e343de83-0712-40f7-87a3-21f9cd6dc6ca","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Level 3","Male WC"
"24cd24e9-d8d4-4c5e-9bbd-e218fadb149d","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Level 3","UAT"
"bd1c82fb-3bc5-4a9b-b99d-10bf4eb0fd84","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Level 3","Female WC"
"ecc28c1d-8fe1-44c3-baa0-8b6a8a81212d","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Level 3","CLNR"
"c10d974d-9abc-4ceb-9c74-fdc25e4369ac","","checklist-flat","not-started","64d22dff1e00ba422d84f32d3fe78a0649482ba93bac09e3483f929472fb686f","checklist-flat","FALSE","FALSE","Site QA","Level 3","Planters"
"207d80e1-191e-4227-bb14-dd2395b4686c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 4"
"51bd3d84-e32f-42dd-9f6f-19cf4d275b0e","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Level 4","Male WC"
"867affc0-9019-46a5-ad2c-f24a409ba2c1","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Level 4","UAT"
"241a56cd-6855-474c-b546-ebe50c875c9b","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Level 4","Female WC"
"e8cad89c-0a7a-4a09-909c-7d2039ecef31","","checklist-flat","not-started","7ac4da41b2b4381b0fe371cb9d2510297dedfb8f50a5e7373574216eb8a92882","checklist-flat","FALSE","FALSE","Site QA","Level 4","CLNR"
"ac8deb17-c9fe-4857-ad38-dfe412809a8b","","checklist-flat","not-started","64d22dff1e00ba422d84f32d3fe78a0649482ba93bac09e3483f929472fb686f","checklist-flat","FALSE","FALSE","Site QA","Level 4","Planters"
"1ce8ab08-4a74-4bb9-b2d8-3ee492d95e5f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 5"
