"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ec27f874-e00d-43fa-8181-6231ee12ec3c","","pass","","folder","TRUE","FALSE","HDS1"
"92c7a1ac-5457-4dc7-8efa-0e2d6edd4f05","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","HDS1","Pre-Pour Checklist"
"5499d62c-418a-4082-80a7-4b904796997c","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","HDS1","Concrete Delivery Checklist"
"d3974deb-06c0-4815-a4fb-7018a0660789","","pass","","folder","TRUE","FALSE","HDS2"
"b4360a45-ff41-425f-8f1d-36a659957c8c","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","HDS2","Pre-Pour Checklist"
"88f4dccc-308a-4c65-890b-b4ec91851b81","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","HDS2","Concrete Delivery Checklist"
"ca0769ca-bbf0-4488-82b2-0693baedade7","","pass","","folder","TRUE","FALSE","HDS3"
"0e797b21-c847-44ab-ad1c-dbb62c66a851","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","HDS3","Pre-Pour Checklist"
"fda5c434-f8a1-4048-85be-5ac5050c9b17","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","HDS3","Concrete Delivery Checklist"
"7d9a8184-85f5-46f5-be95-5602e5a6b3b2","","pass","","folder","TRUE","FALSE","HDS4"
"a415a880-00a7-4942-a809-dcc55869fe1e","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","HDS4","Pre-Pour Checklist"
"f2fa8581-b750-4f5b-8396-f884cc59774f","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","HDS4","Concrete Delivery Checklist"
"5787990b-fd8b-4ec2-b106-611f00286deb","","pass","","folder","TRUE","FALSE","HDS5"
"72e493f3-4051-4a5b-8480-1a018bf9df3c","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","HDS5","Pre-Pour Checklist"
"dd3ff12b-33cb-4f19-b71e-dae6c87614f9","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","HDS5","Concrete Delivery Checklist"
"4fb3977e-2f3c-4df4-8f84-ee43e555e9de","","pass","","folder","TRUE","FALSE","HDS6"
"e8df2ff4-3792-4469-988d-ce824798a97a","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","HDS6","Pre-Pour Checklist"
"b3b7f04a-8509-4d6f-b9bb-8933980634bb","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","HDS6","Concrete Delivery Checklist"
"699f8b62-c8d2-4141-a2de-b565f6d986cb","","pass","","folder","TRUE","FALSE","HDS7"
"d7a91d57-c5cd-452c-bc83-7100718ecd96","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","HDS7","Pre-Pour Checklist"
"58d64a13-f840-4a06-8277-e6ec3800ab67","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","HDS7","Concrete Delivery Checklist"
"caa5fe37-2cdc-46fc-842e-d8de165a8aec","","pass","","folder","TRUE","FALSE","HDS8"
"290f157f-46b0-4b20-8682-fa9a1d8a8a9b","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","HDS8","Pre-Pour Checklist"
"da7c85d4-9c19-4064-a458-53c9ddb14224","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","HDS8","Concrete Delivery Checklist"
"584bf708-2fa6-414c-b5db-3be88419126c","","pass","","folder","TRUE","FALSE","HDS9"
"94d034d7-d64c-4fa5-a08a-5fec3c242689","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","HDS9","Pre-Pour Checklist"
"ea8b5e0b-a7c2-4906-8424-b6bb253b997d","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","HDS9","Concrete Delivery Checklist"
