"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5a277702-44a7-4490-b58f-a1ea74baeff0","","work-in-progress","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY"
"51cfdf67-1bf3-4b53-bb27-f26ee609ca0b","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/1"
"d10ba615-a63b-4004-b3ef-30f679a1b2ce","","pass","d79718af32aee823e308c312514ff3f06821f98b8e45e0454328aed0fe84082e","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/1","Pre-Pour Checklist Strand"
"b7b9654c-9984-4ca8-bc48-75d703beb132","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/1","Concrete Delivery Checklist"
"5944d678-c2fa-4892-984c-b6d5c3c785e8","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/2"
"39f5fef6-be29-4a58-844f-71f58f6af4a7","","pass","d79718af32aee823e308c312514ff3f06821f98b8e45e0454328aed0fe84082e","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/2","Pre-Pour Checklist Strand"
"4d929569-9e8a-4c4e-a6fc-3aab96f6777c","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/2","Concrete Delivery Checklist"
"b357ee0e-b21a-4aec-8b8c-3ac96015ea66","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/3"
"e1f3c9e8-8216-4ce0-a6a5-34a76cae4904","","pass","d79718af32aee823e308c312514ff3f06821f98b8e45e0454328aed0fe84082e","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/3","Pre-Pour Checklist Strand"
"07f81fc6-843f-49c8-ae46-ffee5af56bec","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/3","Concrete Delivery Checklist"
"2185cc60-2ee8-4427-8493-f5653bfbe977","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/4"
"ae300b87-8824-4230-817d-b9e28fbae427","","pass","d79718af32aee823e308c312514ff3f06821f98b8e45e0454328aed0fe84082e","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/4","Pre-Pour Checklist Strand"
"48fd72e4-4054-4afc-91c4-028393bf9963","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/4","Concrete Delivery Checklist"
"c887336d-e45e-4e22-8807-ea04be1406f6","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PSCP/5"
