"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c3ee1229-4672-4e68-a9ba-169f380f6294","","folder-normal","not-started","","step","TRUE","FALSE","Site Diary"
"10446bc6-4b6a-4520-ad4a-ec702493b42d","","folder-normal","not-started","","step","TRUE","FALSE","Site Diary","Undocumented variations"
"cafdb400-a9d9-460c-a7b2-947180ad67bf","","checklist-flat","not-started","Undocumented Variations","checklist-flat","FALSE","FALSE","Site Diary","Undocumented variations","Builder"
"e35e3d62-7e8a-4ca0-8be6-8961d4c8e41d","","checklist-flat","not-started","Undocumented Variations","checklist-flat","FALSE","FALSE","Site Diary","Undocumented variations","Subcontractors"
"01fb9e81-b255-460b-ae00-0638feeb075f","","checklist-flat","not-started","Site Diary Checklist","checklist-flat","FALSE","FALSE","Site Diary","Site Diary comments/notes"
"a7522918-bff4-4f64-91e7-f97facf27558","","folder-normal","not-started","","step","TRUE","FALSE","Toolbox Meetings"
"0e025c14-2ee6-46f3-a485-d3407514c4c6","","folder-normal","not-started","","step","TRUE","FALSE","Toolbox Meetings","June 2023"
"806bb48f-3942-42b9-b426-3bd9fafea5fd","","checklist-sectioned","not-started","Toolbox Meeting Checklist","checklist","FALSE","FALSE","Toolbox Meetings","June 2023","Toolbox Meeting - 20/06/23"
"87fb2aa9-e041-4294-9f38-8a48f5419d09","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Meetings","July 2023"
"45c1c8e1-ef46-494a-bfc3-6878f90d706d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Meetings","August 2023"
"aab8da51-eb0b-4931-8792-a89f6acd91a3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Meetings","September 2023"
"82cda5ef-b3d4-440b-bc66-a228b41902b4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Meetings","October 2023"
"4b2b4344-9e45-43d0-abe8-a3e8f4c420c5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Meetings","November 2023"
"3b9c81aa-ef86-437a-b144-991454b1f718","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Meetings","December 2023"
"338a358a-adbc-485c-8b18-b56c6088a029","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project Drawings"
"914ac2c5-d3c1-478b-96c5-77cbd12c832e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project Drawings","Peno Drawings"
"cefd2285-4434-486d-8975-c7e8b329c379","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project Drawings","Fabb Sheets"
"903748bc-2f79-4677-969b-a5a45043aae2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project Drawings","Fitters Drawings"
"45d04117-2b61-4007-a907-31df66b77ba9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project Drawings","RCP"
