"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8ba2cec9-ec60-402e-a9c0-ecbfb0aac885","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 01-E&W","Byford U-Beam Stage-2 Casting Checklist 01-W"
"75d5f4de-64bb-4a3a-80b3-0148fb6977ec","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Beam 07-E&W"
"a7311f90-3670-4c0a-9d41-394d9dbc72b3","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 07-E&W","Byford U-Beam Stage-1 Casting 07-E"
"d5b71eff-3f7e-4873-82f0-2e22857b53e6","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 07-E&W","Byford U-Beam Stage-2 Casting Checklist 07-E"
"b41ab39a-c8c3-402e-8145-ff38c67dd066","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 07-E&W","Byford U-Beam Stage-1 Casting 07-W"
"632922d7-d4cb-4829-bce0-3a6fe352b87e","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 07-E&W","Byford U-Beam Stage-2 Casting Checklist 07-W"
"b186d603-625d-4b74-8c73-4638b229b711","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Beam 10-E&W"
"d5280d0d-546a-432f-be3a-c069e9dacaa1","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 10-E&W","Byford U-Beam Stage-1 Casting 10-E"
"b77236ea-0814-4f5a-87ca-e9422cd41d98","","checklist-sectioned","work-in-progress","1a9fd1a43d6f4298eff74980f2678905a3b5eb04723ae03f691f9ab9e1d777e4","checklist","FALSE","FALSE","Site QA","Beam 10-E&W","Byford U-Beam Stage-2 Casting Checklist 10-E"
"298a57ad-21b8-4074-89ec-39fb091adc35","","checklist-sectioned","work-in-progress","Byford U-Beam Stage-1 Casting Checklist","checklist","FALSE","FALSE","Site QA","Beam 10-E&W","Byford U-Beam Stage-1 Casting 10-W"
