"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7be0779c-bd66-46c5-8bc3-a45b6538c932","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"64ed8e06-a1c3-4636-aafa-c946288f1b74","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Level 1"
"5802c2cc-483d-43cb-b6c9-73461021ae07","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 1","West Elevation"
"694d5af1-b55d-4f3d-8b65-2dae57171d30","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 1","West Elevation","Panels"
"4e2dc822-4861-436b-9864-dcf0030dfd48","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Level 1","West Elevation","Panels","L1-WW01"
"439c1948-62a6-4522-9446-d9ea121e0878","","checklist-flat","pass","zSYS - Panel Completion Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 1","West Elevation","Panels","L1-WW01","Panel Completion"
"04fe0cb3-0388-582b-899f-144ca902aff7","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","West Elevation","Panels","L1-WW01","Panel Completion","Panel has been installed correctly and is free from defects"
"5ce392ef-0942-4f36-92f4-fd7e13673a26","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Level 1","West Elevation","Panels","L1-WW002"
"add6b777-6ea8-4da1-95e6-baee35ca596d","","checklist-flat","pass","zSYS - Panel Completion Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 1","West Elevation","Panels","L1-WW002","Panel Completion"
"af8ea5c3-c98a-523a-bc3c-efa5bff141bb","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","West Elevation","Panels","L1-WW002","Panel Completion","Panel has been installed correctly and is free from defects"
"72ee16a4-d39a-455f-a397-1375779c817c","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Level 1","West Elevation","Panels","L1-WW003"
"6dd5d7be-1f60-4386-a9f8-f52e6086c3fb","","checklist-flat","pass","zSYS - Panel Completion Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 1","West Elevation","Panels","L1-WW003","Panel Completion"
"3030181a-4b4d-5982-90f1-fc5cb77ceaae","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","West Elevation","Panels","L1-WW003","Panel Completion","Panel has been installed correctly and is free from defects"
"4910b735-a7b7-4096-ba89-0aa6b45c7a7c","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Level 1","West Elevation","Panels","L1-WW004"
"d84e4891-39ce-47dd-8d09-fdcc47ab476b","","checklist-flat","pass","zSYS - Panel Completion Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 1","West Elevation","Panels","L1-WW004","Panel Completion"
"6691d496-ce96-5366-8bf9-9f5a9f380f78","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","West Elevation","Panels","L1-WW004","Panel Completion","Panel has been installed correctly and is free from defects"
"a9cb4663-ee9b-422c-9608-cd79e030f832","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Level 1","West Elevation","Panels","L1-WW005"
"fe3b104f-237d-4dcd-9683-bb45ab0a269c","","checklist-flat","pass","zSYS - Panel Completion Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 1","West Elevation","Panels","L1-WW005","Panel Completion"
"3caec0fe-5add-52df-b7b8-38c8ff4f3e4c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","West Elevation","Panels","L1-WW005","Panel Completion","Panel has been installed correctly and is free from defects"
"286381f9-2403-442f-a014-a35af41fa322","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Level 1","West Elevation","Panels","L1-WW006"
"79350605-9e4c-40f3-9fb9-310a6adc7774","","checklist-flat","pass","zSYS - Panel Completion Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 1","West Elevation","Panels","L1-WW006","Panel Completion"
"c73caad2-5f03-524a-a4a4-8bb816c390b0","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","West Elevation","Panels","L1-WW006","Panel Completion","Panel has been installed correctly and is free from defects"
"e7700119-0ede-48d2-833d-86968bcd6e60","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Level 1","West Elevation","Panels","L1-WW007"
"4de7d9c1-bbb4-4804-9191-714b246e652c","","checklist-flat","pass","zSYS - Panel Completion Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 1","West Elevation","Panels","L1-WW007","Panel Completion"
"7b0967d1-71f2-50cb-b039-e347c47b8397","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","West Elevation","Panels","L1-WW007","Panel Completion","Panel has been installed correctly and is free from defects"
"b7112e99-f125-45b5-ac2e-3bf25fbe0ddd","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Level 1","West Elevation","Panels","L1-BL008"
"052148c5-82f4-4658-bb5f-6b49cae94e81","","checklist-flat","pass","zSYS - Panel Completion Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Level 1","West Elevation","Panels","L1-BL008","Panel Completion"
"b1021d7d-5ddb-5d9a-a822-b392faa79965","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Level 1","West Elevation","Panels","L1-BL008","Panel Completion","Panel has been installed correctly and is free from defects"
"c3ff59fa-339e-4429-8402-f3a2a936a074","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Level 1","West Elevation","Panels","L1-BL009"
