"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e525f674-f19f-46e7-a84c-e71906715420","","folder-normal","pass","","step","TRUE","FALSE","Level 1"
"3b4237b7-d202-4ab4-8740-b03336a80c6c","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Level 1","B1-P70"
"9ccc19dd-7b8e-4c59-a403-c35aa6055400","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Level 1","L1-P43"
"628ad290-09f5-4a6e-b78e-f51e2f335239","","checklist-sectioned","pass","220cf754d60886c7295e0f9839561398c66e8cbc031ac4a7612b7eeaf3bc93a2","checklist","FALSE","FALSE","Level 1","L1-P70"
"25fae77f-32d7-4694-80fe-8c1a63164127","","checklist-sectioned","pass","220cf754d60886c7295e0f9839561398c66e8cbc031ac4a7612b7eeaf3bc93a2","checklist","FALSE","FALSE","Level 1","L1-P71"
"0c8d99a5-d4e3-4f57-8874-ce0394a0da97","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Level 1","L1-PC11"
"0fac47cf-bfb8-4f7d-a164-70e0586b359f","","folder-normal","pass","","step","TRUE","FALSE","Level 2"
"0d8f784a-cc08-426c-9d99-c1b99185b504","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Level 2","L2-P43"
"d046e2f0-1926-489b-aaaf-bb3eb68d3bea","","folder-normal","pass","","step","TRUE","FALSE","Level 3"
"a68ec800-397b-4838-a4d0-7d6113a9a626","","checklist-sectioned","pass","4b3e66eeed2ad4a9b29dd23cedc0be3daa5ccdbca40a9c0fd37a4b1cd458a12d","checklist","FALSE","FALSE","Level 3","L3-CP05"
"c502b294-be65-498b-89ed-f8a7fb1e328b","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Level 3","L3-PC10"
"e377179e-af5c-4e48-8a68-4578c1e5bf80","","checklist-sectioned","pass","b7026687d54b1a4a40545e41482ab53c859d76c51573fb05123951a011b6ceb7","checklist","FALSE","FALSE","Level 3","L3-PC11"
