"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ef7512c8-0e2b-40c8-bf62-7b3f2576bed9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"648580ea-4a0c-4a7f-b099-63256b5dc447","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Sprinkler Zone 1"
"64ccaac1-f150-43cb-ac4c-ef0cdfd67543","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8"
"8c609bc7-4957-4dae-b5b4-583addc8cd93","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire"
"3be5062d-8020-4902-a4bf-10924993b45b","","checklist-sectioned","not-started","EFPQF04 - Pre Action - Sprinkler","checklist","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler"
"27c0ac7a-0ea4-4cd2-b03e-77b0b0fa3d37","","checklist-sectioned","not-started","EFPQF05 - Pre Action - Sprinkler Control Valve","checklist","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Wet Fire","Pre Action - Sprinkler Control Valve"
"54f03050-810f-4027-93bc-55b760acde81","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire"
"49ccf8a5-bb84-4085-b8a5-396826ef2da4","","checklist-sectioned","not-started","EFPQF07 - Fire Alarms Install","checklist","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","Fire Alarms Install"
"1275e7e2-ac80-4b3e-8263-96ee815826fd","","checklist-sectioned","not-started","EFPQF08 - MASDS Install","checklist","FALSE","FALSE","Site QA","Sprinkler Zone 1","Data Hall 8","Dry Fire","MASDS Install"
"471ccf11-800f-4667-bb3f-54f085c13417","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Sprinkler Zone 2"
"85745599-2a20-487c-9e41-23ccfcbd78ad","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Sprinkler Zone 2","Data Hall 7"
"aaeaa601-bc83-46c7-8934-4306987ab0c8","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire"
"237a8aa1-b790-489a-ab3b-937392df8225","","checklist-sectioned","not-started","EFPQF04 - Pre Action - Sprinkler","checklist","FALSE","FALSE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler"
"207459ca-005a-4988-aa59-e386a39576ae","","checklist-sectioned","not-started","EFPQF05 - Pre Action - Sprinkler Control Valve","checklist","FALSE","FALSE","Site QA","Sprinkler Zone 2","Data Hall 7","Wet Fire","Pre Action - Sprinkler Control Valve"
"70265708-86ff-4953-b935-87c9c456f3fe","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Sprinkler Zone 2","Data Hall 7","Dry Fire"
