Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,
2920df1a-9261-451c-bb15-ee86fed3b2e7,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,North Block,Level 1,1A,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
4b843eb1-c14c-4503-a276-9a22e1bd2140,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,North Block,Level 1,1A,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
5cdf118b-029b-43c1-803e-f1b9e207e20c,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,North Block,Level 1,1B,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
dfd26fe2-9c11-42ff-9739-21be64a16909,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,North Block,Level 1,1B,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
085e6215-6410-4d4b-9a0b-4009a5e2e151,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,North Block,Level 1,1C,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
23cd7fa6-8d7d-4a5e-9d92-3340d11aa7f5,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,North Block,Level 1,1C,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
62268a24-e2c1-4453-b925-c30bd70ac082,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,North Block,Level 2,2A,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
95aaea1e-eb36-426e-8387-59fe7ca501d7,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,North Block,Level 2,2A,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
308fbbe3-e931-4580-9e68-542888c7075b,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,North Block,Level 2,2B,Bathroom,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
f33a406d-64b5-4b3f-b683-9746f7e02e67,,folder-progress,no-status-not-started,,checklist,FALSE,FALSE,QA,Interior Fitout,North Block,Level 2,2B,Ensuite,Electrical Second Fix & Commissioning (Send Checklist to Conqa)
