"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3141b550-4257-4606-a51b-8b469e711a7f","","work-in-progress","","folder","TRUE","FALSE","South of Davey"
"d4ac633c-6d1e-40e4-ad4e-95c10d4850bd","","work-in-progress","","folder","TRUE","FALSE","South of Davey","Clearing and Grubbing"
"5b81ea8c-fdf8-4925-83be-9c356d4f9c37","","work-in-progress","DTM-ITP-001- Clearing and Grubbing Rev0","checklist","FALSE","FALSE","South of Davey","Clearing and Grubbing","DTM-ITP-001-LOT-001- Clearing and Grubbing (South of Davey)"
"d64a2544-0d4b-44ef-b0bc-710e95703fde","","work-in-progress","","folder","TRUE","FALSE","North of Davey"
"39d8c9d6-59dd-4635-ae7e-052f12186a17","","work-in-progress","","folder","TRUE","FALSE","North of Davey","Clearing and Grubbing"
"06158f1a-3de5-4aef-96b0-ea6aa6802b20","","work-in-progress","DTM-ITP-001- Clearing and Grubbing Rev0","checklist","FALSE","FALSE","North of Davey","Clearing and Grubbing","DTM-ITP-001-LOT-002- Clearing and Grubbing (North of Davey)"
