"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"64cdf63b-8dcd-41b2-893b-76737829f774","","fail","","folder","TRUE","FALSE","Area 1"
"65cb4231-9be6-4944-a2ff-40074be0b6ab","","work-in-progress","","folder","TRUE","FALSE","Area 1","ITP 0001 - Clearing & Grubbing"
"339eab72-ab97-4ab2-aba6-e7ba12f06b22","Child 2 - Construction Works(bb9a11de-ebb3-55c8-b585-eae18ea6a8b7) -- 2.6 Clearing Process(98eeaa86-2fbb-5a6c-9fb1-e44ff1d99a19): Data not allowed on signoff Hold Point(6e02d527-6497-5155-9c90-09691cee8d3b): RESPONSIBILITY: Site Engineer(c99693dd-12b3-436f-b884-b479d9797789)
Child 3 - Completion(c4f7ee1e-f3cc-550a-88da-82bf6789cf78) -- Final Inspection - Work Completed On(6e7fa3bd-551d-440c-b0c2-4e0225089cac): checkpoint-no-status has incorrect meta.stepType checkpoint-status","pass","f4cdac93a9a6697e95d022449bc1204fed488476e914fd0f0e0895f834c46d91","checklist","FALSE","FALSE","Area 1","ITP 0001 - Clearing & Grubbing","ITP-001-A1-LOT-001 - 11 Trees - Median Ch 24640 to Ch 25040 "
"c0f0bfb6-1f72-4d91-a87f-acb167b0bad7","","pass","6c385c3c98c321e6987c49e6ca06223f93b991594499355dd4cdbe837b326da9","checklist","FALSE","FALSE","Area 1","ITP 0001 - Clearing & Grubbing","ITP-001-A1-LOT-002 - Memorial park & Hume Hwy Center Median "
"a878acfc-41ec-403f-a279-37cd64d71380","","pass","8392dc980c91917d26de7facc052e8be8810f5a385ad924224dd0fe66d9c6b77","checklist","FALSE","FALSE","Area 1","ITP 0001 - Clearing & Grubbing","ITP-001-A1-LOT-003 - 9 Trees - Zone 3 - Westbound Ch 15000 to Ch 14700"
"24563494-83a6-482e-87dd-e55827c39a9f","","pass","8392dc980c91917d26de7facc052e8be8810f5a385ad924224dd0fe66d9c6b77","checklist","FALSE","FALSE","Area 1","ITP 0001 - Clearing & Grubbing","ITP-001-A1-LOT-004 - 64 Trees - Zone 4 - Westbound Ch 14400 to Ch 13880"
"14713e3b-0a44-44e8-adb6-56501c9dca57","","pass","23fc73ef97d6dd27505b9ae25afc41e8557ba95cc0f0ec8de3aedcb4c6820365","checklist","FALSE","FALSE","Area 1","ITP 0001 - Clearing & Grubbing","ITP-001-A1-LOT-005 - 1 Tree - Zone 1 - Hume Hwy South Center Median - Ch70139 - Ch70272"
"05964260-7468-4efa-a9c4-1f6ddb67d387","","pass","23fc73ef97d6dd27505b9ae25afc41e8557ba95cc0f0ec8de3aedcb4c6820365","checklist","FALSE","FALSE","Area 1","ITP 0001 - Clearing & Grubbing","ITP-001-A1-LOT-006 - 4Trees - Zone 4 - Golf Course - CH13800 - CH13600"
"3cdaab81-ef00-4a5e-bbef-215c47bba0d3","","pass","23fc73ef97d6dd27505b9ae25afc41e8557ba95cc0f0ec8de3aedcb4c6820365","checklist","FALSE","FALSE","Area 1","ITP 0001 - Clearing & Grubbing","ITP-001-A1-LOT-007 - 2 Trees - Zone 1 -  Craigieburn  - Hardy Ave - Ch16085 - Ch16110"
"720badad-3c5a-4848-ba96-e622e45997f0","","pass","23fc73ef97d6dd27505b9ae25afc41e8557ba95cc0f0ec8de3aedcb4c6820365","checklist","FALSE","FALSE","Area 1","ITP 0001 - Clearing & Grubbing","ITP-001-A1-LOT-008 - 3 Trees - Zone 2 -  Craigieburn Road- West Bound - Ch16060 - Ch16080"
"e18755a3-0e56-4c40-8176-6c8a9a635812","","pass","23fc73ef97d6dd27505b9ae25afc41e8557ba95cc0f0ec8de3aedcb4c6820365","checklist","FALSE","FALSE","Area 1","ITP 0001 - Clearing & Grubbing","ITP-001-A1-LOT-010 - Topsoil Strip - Zone 4 - Westbound Ch13600 - Ch14400"
"76137e76-d08c-497b-9c40-7f673b60a4cc","","pass","23fc73ef97d6dd27505b9ae25afc41e8557ba95cc0f0ec8de3aedcb4c6820365","checklist","FALSE","FALSE","Area 1","ITP 0001 - Clearing & Grubbing","ITP-001-A1-LOT-011 - Clearing & Grubbing - eastbound zone 3 CH25370 -Dalys"
"9c8a90d3-08e4-4eb9-b075-2f4b172b84d1","","pass","23fc73ef97d6dd27505b9ae25afc41e8557ba95cc0f0ec8de3aedcb4c6820365","checklist","FALSE","FALSE","Area 1","ITP 0001 - Clearing & Grubbing","ITP-001-A1-LOT-012 - 24 Trees TBR & 1 trim - Zone 3- CH14760 - CH15080"
"746295d1-4d77-45d7-a18a-d0f6e2e1a649","","pass","23fc73ef97d6dd27505b9ae25afc41e8557ba95cc0f0ec8de3aedcb4c6820365","checklist","FALSE","FALSE","Area 1","ITP 0001 - Clearing & Grubbing","ITP-001-A1-LOT-013 - Z3 Topsoil Stripping - BTW Bridgewater Rd and the access to the sporting club - Ch14400 to Ch15080"
"7dd52405-c5d4-43d4-bd7d-cab451734a85","","pass","23fc73ef97d6dd27505b9ae25afc41e8557ba95cc0f0ec8de3aedcb4c6820365","checklist","FALSE","FALSE","Area 1","ITP 0001 - Clearing & Grubbing","ITP-001-A1-LOT-014 - Tree Removal - Rayfield trees"
"134fa2fb-10af-411d-929b-374517e44871","","work-in-progress","e134bf09823f54f0099bc18c5a9d8120d4b7c0d916d72d392f2879e7de4bf530","checklist","FALSE","FALSE","Area 1","ITP 0001 - Clearing & Grubbing","ITP-001-A1-LOT-015 - Tree Removal B/W Newbold Ave to Bridgewater Rd"
"da5ba76d-6d2d-4340-95f7-0a9ed72cc90b","","pass","d870ed6d048ec6c26cefb41e8d0c4f25e66bab1c5a014d31dffa9b3cdc5934be","checklist","FALSE","FALSE","Area 1","ITP 0001 - Clearing & Grubbing","ITP-001-A1-LOT-016- Trees Removal Zone 1,2 & 4 -  17 Trees "
"f30e969f-16a7-4e7a-8803-8a3357a66932","","pass","5e832e9b30807ac38c1698aa5e4c4523f42457acb0129ab827172e46b8b2502d","checklist","FALSE","FALSE","Area 1","ITP 0001 - Clearing & Grubbing","ITP-001-A1-LOT-017- Trees Removal -Memorial North Median - CH26330 to CH26270"
"2a4fa4c1-023e-481e-8e15-3be05bce91ab","","pass","5e832e9b30807ac38c1698aa5e4c4523f42457acb0129ab827172e46b8b2502d","checklist","FALSE","FALSE","Area 1","ITP 0001 - Clearing & Grubbing","ITP-001-A1-LOT-018- Trees Removal - Walter St- CH70120 to CH70150"
"2ab47644-028b-458d-b8fb-54c24b7bf1c4","","pass","68758a22aab42437e3c7e45666197f715b665937dab5ca8de8167539e0b343ae","checklist","FALSE","FALSE","Area 1","ITP 0001 - Clearing & Grubbing","ITP-001-A1-LOT-019 - Balyang Golf course"
"b83cd995-df66-4e72-ae54-956a92be8d27","","pass","60bf39d1bea6a07f9ef4992b01c677254b3aae626db6020854fea251f937943f","checklist","FALSE","FALSE","Area 1","ITP 0001 - Clearing & Grubbing","ITP-001-A1-LOT-020 - Trees Removal - Zone 2, 3, 4 and 7"
"56460cb4-78dc-4690-b507-43e261e4f288","","pass","d2914bf86e85d5a68c145e12d39b8ed7677902c9a0173e05296d6839792e8dae","checklist","FALSE","FALSE","Area 1","ITP 0001 - Clearing & Grubbing","ITP-001-A1-LOT-021 - Trees Removal - Vet Clinic"
"708a91da-4c86-4c54-9ce1-072b7e134041","","pass","d2914bf86e85d5a68c145e12d39b8ed7677902c9a0173e05296d6839792e8dae","checklist","FALSE","FALSE","Area 1","ITP 0001 - Clearing & Grubbing","ITP-001-A1-LOT-022 -Trees Removal - Hamilton St ( Left Turn to Hume Hwy)  - CH16300 to CH16360"
