"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"50cdaf95-86f5-4119-a0b6-461ce3ae4927","","not-started","","folder","TRUE","FALSE","Precast Element"
"5b628a24-4ef2-4067-90a2-95eeebf05e2f","","not-started","","folder","TRUE","FALSE","Precast Element","L1"
"2031a081-10c6-43a9-9dae-47dcd84a724e","","not-started","Precast Element","checklist","FALSE","FALSE","Precast Element","L1","1C1"
"6bc8c471-237e-4dcd-9886-c6186952715c","","not-started","Precast Element","checklist","FALSE","FALSE","Precast Element","L1","1C2"
"e2acaff5-302e-4bd7-914a-3a38eda7f325","","not-started","Precast Element","checklist","FALSE","FALSE","Precast Element","L1","1C3"
"b17f5e3b-5c30-4a5e-a34f-4ff476ef66bd","","not-started","Precast Element","checklist","FALSE","FALSE","Precast Element","L1","1C4"
"ea9e032e-abdb-4e12-a3d7-8e0f1ef6ebdc","","not-started","Precast Element","checklist","FALSE","FALSE","Precast Element","L1","1C5"
"8408e1dd-d423-4447-a79a-25875abaac7a","","not-started","Precast Element","checklist","FALSE","FALSE","Precast Element","L1","1C6"
"5b63608f-c177-4f2e-bb0e-e46734362655","","not-started","Precast Element","checklist","FALSE","FALSE","Precast Element","L1","1C7"
"edcd22b9-5c21-4543-9e30-1af1a64c2e95","","not-started","Precast Element","checklist","FALSE","FALSE","Precast Element","L1","1C8"
"8b703373-96d7-43b4-a3ec-821d64da894d","","not-started","Precast Element","checklist","FALSE","FALSE","Precast Element","L1","1C9"
"573041cb-0563-40b3-8fcb-667fe955e886","","not-started","Precast Element","checklist","FALSE","FALSE","Precast Element","L1","1C10"
"a795a108-7c56-4971-b014-dd9f2db4ce4a","","not-started","Precast Element","checklist","FALSE","FALSE","Precast Element","L1","1C11"
"3e220c38-7b38-4f56-a621-cf1e675253ff","","not-started","Precast Element","checklist","FALSE","FALSE","Precast Element","L1","1C12"
