"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f3c76ffc-cd65-41f5-bca6-02ee6fec3e98","","work-in-progress","","folder","TRUE","FALSE","L3"
"75bb44ce-7a88-46c4-9489-a2348dc25353","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3CAP01"
"7dbc3151-7caa-4e5c-a83c-d23895a0db22","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3CAP02"
"2392acb5-44a2-4c20-bb1b-e5499e0c50e8","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3CAP03"
"109cf8f4-5ee6-43a1-ad0e-f489c6f4577c","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3CAP04"
"41b8b756-4ddc-405d-9dc3-0cbc19ba0745","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3CAP05"
"17d0385a-4709-4333-bef1-c5e7a92fc3eb","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3CAP06"
"4463b92b-0c1b-443d-9be4-bf51c2245586","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3CAP07"
"b13b79ef-4b41-4302-976e-e9eff2b78eab","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3CAP08"
"7e0897cd-796b-4681-b0c7-27d7d84f373d","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3CAP09"
"67c181b2-aaac-4193-bb78-2528ea8509fb","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3CAP10"
"fa632824-398a-4a8d-925b-988f3a3f3b53","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3CAP11"
"2daa7987-73ad-4135-a53b-e4ad84bf556f","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3CAP12"
"7dcad5f0-848e-4c3a-a651-ae2bb530a9f7","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3CAP13"
"9180a422-38f5-4e59-a227-4ddd74010243","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3CAP14"
"5bf42168-ff71-424a-a742-9f652a9ad171","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3CAP15"
"136ab888-00ef-4437-a083-8410c64be533","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3CAP16"
"46a1fb71-e389-4961-a3cc-176c21b491cf","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3CAP17"
"16961ffa-d5d4-44e9-8484-abe38bd2eca1","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3CAP18"
"e14ef640-fdf1-4136-8ff9-8bdf9ab2849a","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3CAP19"
"37df9c28-587c-4151-86df-6db378a8d0bc","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P001"
"b73ab577-e9c7-45e9-93bd-81002ef2f2b0","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P002"
"df1aa1c4-60f1-4232-b8f6-fbbd111be089","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P003"
"e58164cd-3b81-412a-8d18-2c32cd247f31","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P004"
"45bc7580-ef46-462b-8664-97d14abc393f","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P005"
"16f585e2-9adc-4709-8f3a-9988864299f4","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P006"
"50c9fccb-6aaa-4cc8-95ba-a6dcd8b075d6","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P007"
"e636d535-97f5-41cc-96c2-ffd40a55c14d","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P008"
"4280a8ac-07a0-44f6-93cf-fa57021beca0","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P009"
"e23801cb-38fb-42f4-99ff-daa5b7a57488","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P010"
"a3b2328a-0bb0-4f7d-a769-861dbf5a7233","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P011"
"0fee7e03-8393-4a58-8078-f40ada361b03","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P012"
"521a521a-4408-4c02-9644-0cf29a3eb328","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3P014"
"27ed3dba-4bee-4f73-ae78-366497c222ad","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P015"
"76ab4389-d104-4d3d-b518-a5526b6525df","","pass","Precast Element","checklist","FALSE","FALSE","L3","3P016"
"908f95ec-9c22-4c2a-bf92-161960fe15f2","","pass","Precast Element","checklist","FALSE","FALSE","L3","3P017"
"67eae1bb-34a7-44ec-bad5-e25b7c1ffd04","","pass","Precast Element","checklist","FALSE","FALSE","L3","3P018"
