"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1a0b0abc-59ef-4f24-ac73-a8760f8d6069","","fail","","folder","TRUE","FALSE","L3"
"41782083-6788-48e2-92a3-6c5ad6e78210","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3C01"
"1e7a6abc-2b0b-40fd-aeeb-306c6fa74345","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C02"
"f154459d-e7c9-4cb1-83aa-c02308acae73","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3C03"
"3d0f8695-b8ef-43b0-b899-fb9f37c2ef7e","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C04"
"406f7ff8-d711-4bc0-bfac-4721ace75acf","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C05"
"bf8d1289-6e5d-453f-8d45-39a7b59b98e4","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C06"
"d51616bc-3e47-4493-b57e-2b68047ebea0","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C07"
"a46f3003-232f-4275-9da2-dc406cfaeb7f","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C08"
"fd54e743-8455-44bd-861d-d80b26f47e30","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C09"
"7bfafc27-4a2f-4125-bb29-7bea47f393fe","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C10"
"302f5950-79a0-4239-8589-c89452676e4f","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C11"
"28d28c78-e82e-4a69-b3de-9d1ffe86e185","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C12"
"292d96c5-eef0-40cc-b332-585019320d17","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C13"
"0b97e92e-f7ff-423d-a080-a168af256dc8","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C14"
"1f9add37-9c3a-4a7d-a9eb-f722670921f4","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C15"
"70566f0d-0387-4814-98eb-b5b94f0fdd5f","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C16"
"7f1d62f5-3a81-4cfa-b3b1-e9a0f99dd48e","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C17"
"8c0d112a-b9f3-4c08-ba46-4368188a3529","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3C18"
"99a50246-40c2-47ed-8e41-37bb6c7b8f81","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C19"
"b872f8c8-47e3-4e26-ad05-2f96666cde4e","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C20"
"7767a1d8-4aa4-4523-b72a-558cce4892db","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C21"
"3a41b71d-acbd-40bc-b715-f4d61f53a035","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C22"
"f6fc3e2e-ba21-4693-9719-9b76cd4d1227","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C23"
"c77f0abb-17f7-4c13-8a94-f7270ae8be47","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C24"
"997a08f8-a087-4cbd-947b-b793b1580ddd","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C25"
"e9b309b1-77f9-441d-aaef-b405aa38e993","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C26"
"52a47d18-67aa-4d38-925e-a7e75e44aaa4","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3C27"
"ad8a3c2b-0ccf-4441-b4bd-07d9a6594d14","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P01"
"18f615ec-033e-4e22-b9b1-70667c601859","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P02"
"ad7441cd-ab16-4f97-bf4b-bf0f926b45c1","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P03"
"05f7858e-20be-4edb-83cb-7e9e430f5d82","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P04"
"82cbe388-fb0a-49fe-8c5a-b2bb5f334927","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P05"
"8985e5b3-4306-4c6b-a823-bead822978aa","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P06"
"a9d149dc-22bd-45af-8e80-eb8ea7baa2f3","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P07"
"39aee7cc-012b-4694-aee3-2f14c31556cd","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P08"
"e8a18ea6-bd2e-45eb-a7ab-482569c80456","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P09"
"fb9260bf-dcba-4d57-ad57-33d73ede3b01","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3P10"
"7d755909-59af-4ba5-9217-bc894eaf3d22","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3P11"
"398d026c-961c-47a2-ae22-e34ced3e6fdc","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P12"
"092b6a1c-4cbd-4eb6-a98f-e97282e65915","","fail","Precast Element","checklist","FALSE","FALSE","L3","3P13"
"0f8da791-073b-45a8-ad7b-4aa178dceda3","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P14"
"4c66e796-cc28-4ced-9fc5-848874c5bd4c","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P15"
"ece90863-a158-452f-8003-ae017d36030b","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P16"
"76cbc9ba-fa6b-4ee5-b89d-070de3be5a25","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P17"
"b9166b3b-9020-4078-b4c4-d48dea5b3839","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P18"
"2fe2acb8-84a5-4fc2-a77c-30600eb0ca5d","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P19"
"6371fa07-346a-4003-8e7c-fefcd39fdaef","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3P20"
"4e814963-9a99-43b8-b205-e491a269b37c","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3P21"
"9ec5e1d9-0f6d-49a3-9adf-38dbaa6e83a7","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3P22"
"f9962c79-2b8f-45fc-be80-7c527c83d273","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3P23"
"c3fc3318-575f-438d-b358-5a82e52938f5","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3P24"
"3b983ac9-87d1-498b-8ccf-f11ec33e05a4","","pass","Precast Element","checklist","FALSE","FALSE","L3","3P25"
"a394e524-abf0-453d-9677-07606c07ee57","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3P26"
"192d0745-7f81-4e76-8f6d-5c1de4e24264","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P27"
"c6a9ca1b-31cf-4dff-9ffa-9656275a2f91","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P28"
"cc5b70ce-e60a-41fb-952b-352b2ed1e06a","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P29"
"f09ed456-d8f1-4b85-9b13-f99beb8dfea8","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P30"
"291795a3-25a9-4864-9b21-935d275d1b37","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P31"
"eee927bc-52bd-4b69-999c-be9923a66156","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P32"
"eacb2d9c-a942-49d0-bffd-cb74447a44b9","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P33"
"42ef7573-aeb0-469e-83d0-e55c91e5b3ce","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P34"
"e946c904-871a-4fca-b469-5beab74c9fc9","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P35"
"08d47f50-dfe8-440a-a14b-153fa9e77e3a","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P36"
"15e80460-b34d-4aa5-a590-13f1c68123e7","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P37"
"e8dd5937-6522-4dd1-b1fa-5cf5defc2622","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P38"
"a98dd2bc-00d3-4e56-bce1-0c4231f938d8","","work-in-progress","Precast Element","checklist","FALSE","FALSE","L3","3P39"
"f9b5c76e-ddf9-4873-8d8f-d1f2b15885ca","","not-started","Precast Element","checklist","FALSE","FALSE","L3","3P40"
