"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9dfefa89-440d-4f81-a380-29a68edeb7f8","","work-in-progress","","folder","TRUE","FALSE","CORE 1"
"a40d3c8c-4ee6-4081-b3d0-73c9c510dc01","","work-in-progress","","folder","TRUE","FALSE","CORE 1","CUBE 1 TO 3"
"baced08d-0b97-4508-8461-9b8dffc02d0c","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 1","CUBE 1 TO 3","BC01B01"
"d486c5a8-4c75-4285-8877-ebdc298b699d","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 1","CUBE 1 TO 3","BC01B02"
"7967d2fe-409b-4394-a63e-8fe841f44482","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 1","CUBE 1 TO 3","BC01B03"
"0ba2e5e2-90ec-45d8-bbac-723341c3d1b8","","work-in-progress","","folder","TRUE","FALSE","CORE 1","CUBE 4 TO 17"
"a463efe5-61fc-4728-8773-bfaea86e59f3","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 1","CUBE 4 TO 17","BC01B04"
"0fdc947b-67bd-49b5-8dbb-f08d5eea08dd","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 1","CUBE 4 TO 17","BC01B05"
"b90fceec-4f81-417a-9ea3-997483a97e0f","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 1","CUBE 4 TO 17","BC01B06"
"88487720-0a2e-44d5-87f5-9e2b0d253b76","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 1","CUBE 4 TO 17","BC01B07"
"a6aae25e-d2a6-4b50-994f-e443aecf578f","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 1","CUBE 4 TO 17","BC01B08"
"54213f5e-1771-4ce7-8486-c2463bf1eeaf","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 1","CUBE 4 TO 17","BC01B09"
"bd12071f-a542-4105-8061-484447c92beb","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 1","CUBE 4 TO 17","BC01B10"
"71aa7bce-7311-4a71-b871-61669384ac3d","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 1","CUBE 4 TO 17","BC01B11"
"356fdadd-f820-49c6-a6b8-ec27fbc72080","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 1","CUBE 4 TO 17","BC01B12"
"d70d6b76-2af0-4b58-a88a-d6de095b9bc1","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 1","CUBE 4 TO 17","BC01B13"
"b2ea6dda-080b-4922-85b3-c5e6ad259de4","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 1","CUBE 4 TO 17","BC01B14"
"ec9793a0-89af-4231-b255-9ce82fbebae8","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 1","CUBE 4 TO 17","BC01B15"
"3b15a30c-6e43-48b2-95e6-380f90ee8dfd","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 1","CUBE 4 TO 17","BC01B16"
"123cc700-1dc2-4dec-b16a-e144555437f2","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 1","CUBE 4 TO 17","BC01B17"
"a0137a55-4c5a-4fdd-957d-d182f73dd082","","work-in-progress","","folder","TRUE","FALSE","CORE 2"
"e5785fea-31e9-4d41-8fe2-e1639813c0dd","","work-in-progress","","folder","TRUE","FALSE","CORE 2","CUBE 1 TO 3"
"f1d36553-27ea-4cfc-aeab-d6c74d8a4084","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 2","CUBE 1 TO 3","BC02B01"
"6010c6ec-94bd-4e48-bd69-b97b60cbc380","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 2","CUBE 1 TO 3","BC02B02"
"255efa96-bfd8-407c-be33-df8439aabed3","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 2","CUBE 1 TO 3","BC02B03"
"79d2408b-ed9c-4317-a4ac-4727424f9c28","","work-in-progress","","folder","TRUE","FALSE","CORE 2","CUBE 4 TO 17"
"987aa89b-81ea-4436-9d6c-136faf764e76","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 2","CUBE 4 TO 17","BC02B04"
"4dde562d-826a-4695-9588-1aabd66ef691","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 2","CUBE 4 TO 17","BC02B05"
"478f6987-4caf-4001-b01e-57299357efab","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 2","CUBE 4 TO 17","BC02B06"
"51779758-3e5c-4175-b145-56e729a2ed60","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 2","CUBE 4 TO 17","BC02B07"
"11a3851e-8d3e-43e2-8ef4-66199e8ffffe","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 2","CUBE 4 TO 17","BC02B08"
"c5b8451d-6e58-4491-86a9-100479ade40f","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 2","CUBE 4 TO 17","BC02B09"
"da8405ea-6afc-483b-98aa-ae8d3e094883","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 2","CUBE 4 TO 17","BC02B10"
"33dbce6e-665c-44f7-bb33-a53a1faa537e","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 2","CUBE 4 TO 17","BC02B11"
"21791ab6-f3be-4bd3-ab2c-c17fea49803a","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 2","CUBE 4 TO 17","BC02B12"
"89a09a03-0c2a-46d7-a17c-46e011f3e71b","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 2","CUBE 4 TO 17","BC02B13"
"85876ccd-11de-42f4-90c2-244369c3c307","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 2","CUBE 4 TO 17","BC02B14"
"3cf266d5-b0a6-47cf-9e8d-f5db56e7320c","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 2","CUBE 4 TO 17","BC02B15"
"62984deb-9db8-4863-8b39-2a6a13e49078","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 2","CUBE 4 TO 17","BC02B16"
"c1be1b99-9d25-4b2a-9ff4-4f31a32e4e57","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 2","CUBE 4 TO 17","BC02B17"
"c17d0d87-dc31-4847-acac-b1211154109c","","work-in-progress","","folder","TRUE","FALSE","CORE 3"
"c929c69f-63e1-43f3-9973-0d6b62f6d945","","work-in-progress","","folder","TRUE","FALSE","CORE 3","CUBE 1 TO 3"
"a4389876-32c7-45a9-a9cc-914fe2e82103","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 1 TO 3","BC03B01"
"1fbed153-5945-4ab8-b299-6cdb82ac60c6","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 1 TO 3","BC03B02"
"b40730ad-883d-44d4-907f-28d53bac0594","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 1 TO 3","BC03B03"
"2207c1df-84e8-4b2e-88be-f8112503a268","","work-in-progress","","folder","TRUE","FALSE","CORE 3","CUBE 1 TO 3","LANDING"
"e21d2e14-77d8-4676-9461-2d9bce69ba53","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 1 TO 3","LANDING","BC03B03L01"
"fdb3fd45-3dd5-40ee-b212-3b5422734f1a","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 1 TO 3","LANDING","BC03B02L01"
"463a8c5c-1ba0-4517-8a41-797bd772e55e","","work-in-progress","","folder","TRUE","FALSE","CORE 3","CUBE 4 TO 20"
"764c4181-b390-4615-b378-2e12846431f4","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","BC03B04"
"20bbc00b-a069-4c12-a3e1-a01f7f706e66","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","BC03B05"
"55620178-62cd-4410-acf1-a4eed7f1e4e1","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","BC03B06"
"d48e7afc-bb95-4bcd-8048-9d5a51cd8e82","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","BC03B07"
"27c7d593-c541-4efb-8626-dfbab556dfde","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","BC03B08"
"a2992d5e-1676-49f1-9a91-fe26e744d859","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","BC03B09"
"ac915a1d-cceb-4f42-97d0-d9a94443e73d","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","BC03B10"
"473ab8dd-cb50-4b72-a749-cd50bc3d2285","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","BC03B11"
"c9398f47-3d16-4206-a32e-1b5aefa0f0f6","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","BC03B12"
"c9c451a7-395d-4d66-9056-37daa737b19b","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","BC03B13"
"82f3bf8d-f430-40ad-9785-8aa4a2482fc9","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","BC03B14"
"ce0cb8fc-2ee0-4766-8847-b62d0a9b5200","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","BC03B15"
"c8e37312-7601-45cc-8f3d-ccaaa11f8376","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","BC03B16"
"8739f803-ac0d-4ae1-ab05-d506e9a64329","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","BC03B17"
"be682502-eb01-4e21-8c83-5aeb5e399443","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","BC03B18"
"bbee6689-b8aa-4652-9bf0-64a19addb69b","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","BC03B19"
"96c967c9-c722-4b2b-91f2-2dfd3d6580e4","","work-in-progress","","folder","TRUE","FALSE","CORE 3","CUBE 4 TO 20","LANDING"
"c6a1dd3a-78c2-4cb3-bd6a-429fd25669a5","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","LANDING","BC03B04L01"
"fcb5b5ae-d401-42ab-95f3-78ab94086489","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","CORE 3","CUBE 4 TO 20","LANDING","BC03B06L01"
