"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"16e6d7d3-9bc0-4bb4-8da8-41188ee9ecf2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00836 Aus Open BRM 2023"
"d61ca216-b73e-4cc3-8b56-5c98ce0c4ab6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00836 Aus Open BRM 2023","OHS"
"7f8886cb-b610-4adc-bf90-53e4914f38db","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00836 Aus Open BRM 2023","TAKE 5"
"1e985185-f57c-4f5b-be8b-ed71fe6771be","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00836 Aus Open BRM 2023","TAKE 5","Matt Feehan"
"cc88d378-2b2a-43ae-9dfd-4bde9e69f4fb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00836 Aus Open BRM 2023","TAKE 5","Andrew Brew"
"3d52924a-8549-48a9-9c2f-78f887afb0f1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00836 Aus Open BRM 2023","TAKE 5","Travis De Bono"
"cb692737-40dc-4e05-b343-1ddccb219037","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00836 Aus Open BRM 2023","TAKE 5","Jackson Pollock"
"5a47e1e0-794b-4fa2-b7b8-f242553eb08e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00836 Aus Open BRM 2023","TAKE 5","Flynn Harrison – Brown"
"9730c347-ce16-4d96-b7b6-08355f42671d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00836 Aus Open BRM 2023","TAKE 5","Riley Blake"
"a844aa03-f5a4-4343-82c0-ec9c8c54aa8d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00836 Aus Open BRM 2023","TAKE 5","Dale May"
"d0d213f6-a734-4452-9280-2c0e443de0af","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00836 Aus Open BRM 2023","TAKE 5","Jack Rice"
"7c52faf5-a8b1-44a1-a242-5e99cbf60b82","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00836 Aus Open BRM 2023","TAKE 5","Chris Dykes"
"ee97c2ce-5c74-420b-91ba-44a7686307c0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00836 Aus Open BRM 2023","TAKE 5","James Taylor"
"6043d74e-70f4-45a4-99ca-8ca43244c630","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00836 Aus Open BRM 2023","QA"
"51989986-61ba-43f9-994d-a2fb0f34d90c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00837 Aus Open MPP 2023"
"b71d2834-cb64-443d-9ab8-14e4c2138486","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00837 Aus Open MPP 2023","OHS"
"c450d982-34c1-48d3-926f-275d1ca47fc3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00837 Aus Open MPP 2023","TAKE 5"
"1ac4ba4b-6c27-4ae9-abb1-98ded6078255","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00837 Aus Open MPP 2023","TAKE 5","Matt Feehan"
"efea96bf-2b3b-4ad8-b33c-048d2cc9b3a4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00837 Aus Open MPP 2023","TAKE 5","Andrew Brew"
"61d8563e-72e0-4a9f-8ee8-86da6a96867e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00837 Aus Open MPP 2023","TAKE 5","Travis De Bono"
"10313fa2-f19d-474d-a38c-b9db811b2447","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00837 Aus Open MPP 2023","TAKE 5","Jackson Pollock"
"407e2535-3457-45b5-9226-66285e59efbb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00837 Aus Open MPP 2023","TAKE 5","Flynn Harrison – Brown"
"5b95664c-e892-425b-ba12-7a74a69411c9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00837 Aus Open MPP 2023","TAKE 5","Riley Blake"
"5b4c659a-6253-4442-a58b-014de905cfc5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00837 Aus Open MPP 2023","TAKE 5","Dale May"
"2a77f05b-8d0e-437b-8263-16fd89166eb5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00837 Aus Open MPP 2023","TAKE 5","Jack Rice"
"f067ca20-ee8d-43a9-8ed0-6c7a97ad466a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00837 Aus Open MPP 2023","TAKE 5","Chris Dykes"
"4f5dc2bc-880e-42b9-8993-bce67f063a77","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00837 Aus Open MPP 2023","TAKE 5","James Taylor"
"6f1c1dcc-5ef9-470b-b13e-d95462660580","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00837 Aus Open MPP 2023","QA"
"b95b1188-da1c-4b4a-9aa5-6bb6f0f2568a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00844 Moto GP 22"
"4d83c479-1957-4b4c-a347-c65a5f1a8ca1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00844 Moto GP 22","OHS"
"a383483b-c37d-44c3-8e53-e3d66d338038","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00844 Moto GP 22","TAKE 5"
"0d970f3d-961e-4665-b6df-cc28808d1995","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00844 Moto GP 22","TAKE 5","Matt Feehan"
"de73efc2-be88-4925-9edb-47d505442f2e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00844 Moto GP 22","TAKE 5","Andrew Brew"
"d48c5e37-7da6-4757-bec1-baa2aee2e9bf","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00844 Moto GP 22","TAKE 5","Travis De Bono"
"a73eadde-b571-44b6-af00-f68af3d6e23b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00844 Moto GP 22","TAKE 5","Jackson Pollock"
"5264f9f8-c07c-48bc-814f-38c8d186053d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00844 Moto GP 22","TAKE 5","Flynn Harrison – Brown"
"19dfd318-0cf4-4fd7-a802-c499edd562aa","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00844 Moto GP 22","TAKE 5","Riley Blake"
"04c9950a-8b5d-4d34-ad58-c74c27dcca78","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00844 Moto GP 22","TAKE 5","Dale May"
"8c9049fb-1dca-415e-9c0f-443e873dfbdc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00844 Moto GP 22","TAKE 5","Jack Rice"
"5413524a-5aa6-483b-bf3a-2aa996156858","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00844 Moto GP 22","TAKE 5","Chris Dykes"
"016acab8-3666-4c4f-9f93-93e7d74bb1d5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00844 Moto GP 22","TAKE 5","James Taylor"
"4f7bb7ff-826f-4739-9ca6-6c8362ba45ee","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00844 Moto GP 22","QA"
"55f24af0-d8b4-4d6f-aa35-7993ebb2300e","","folder-normal","not-started","","step","TRUE","FALSE","TE00860 AFL Grand Final 22"
"f60e18be-2dfc-40cb-bef9-50cc2d0ee766","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00860 AFL Grand Final 22","OHS"
"2995577c-7dcb-4e1c-be32-5306c7776c66","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00860 AFL Grand Final 22","TAKE 5"
"e41b0c82-29cc-4b53-aded-6971d25f6c52","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00860 AFL Grand Final 22","TAKE 5","Matt Feehan"
"1ccc75bc-3367-4f68-bd54-6d53be413567","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00860 AFL Grand Final 22","TAKE 5","Andrew Brew"
"7e5a4edd-a1cd-4a16-b79d-7e5bef15ca21","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00860 AFL Grand Final 22","TAKE 5","Travis De Bono"
"6e66a8c0-4aed-4610-a748-26e63c5a14ea","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00860 AFL Grand Final 22","TAKE 5","Jackson Pollock"
"7ccc69da-53f4-42fa-8bdd-5d5e7d0cf8a1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00860 AFL Grand Final 22","TAKE 5","Flynn Harrison – Brown"
"8781d6d3-4501-4fe4-8007-0e6eb7e7d3b6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00860 AFL Grand Final 22","TAKE 5","Riley Blake"
"11729ba2-a34e-4fc9-b105-18aedc6a68b9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00860 AFL Grand Final 22","TAKE 5","Dale May"
"ee1780c5-9203-41cb-80f3-3925ac210ca2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00860 AFL Grand Final 22","TAKE 5","Jack Rice"
"0b3c4d40-f3f7-45a7-80f8-c68d07486831","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00860 AFL Grand Final 22","TAKE 5","Chris Dykes"
"b5abed7f-fe4f-47d7-aefd-45497a766324","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00860 AFL Grand Final 22","TAKE 5","James Taylor"
"9a115d91-205a-499d-806b-c572e8c7ce91","","folder-normal","not-started","","step","TRUE","FALSE","TE00860 AFL Grand Final 22","QA"
"2f109103-6955-48dd-a1ae-beb8daa3fd92","","folder-normal","not-started","","step","TRUE","FALSE","TE00860 AFL Grand Final 22","QA","lawn 27"
"e66bd37b-075c-46f3-a5fd-8e38b11bf2e0","","checklist-flat","not-started","Events QA ITP","checklist-flat","FALSE","FALSE","TE00860 AFL Grand Final 22","QA","lawn 27","K1 Kitchen"
"4a24cb71-f2b0-4460-8f0c-42a7ccb3b8fe","","checklist-flat","not-started","Events QA ITP","checklist-flat","FALSE","FALSE","TE00860 AFL Grand Final 22","QA","lawn 27","K2 Kitchen"
"1b142a45-e55d-4c3a-853a-55940155c5e7","","folder-normal","not-started","","step","TRUE","FALSE","TE00860 AFL Grand Final 22","QA","september club"
"dc6b805a-0770-4ff5-ae9b-c93580c548ce","","checklist-flat","not-started","Events QA ITP","checklist-flat","FALSE","FALSE","TE00860 AFL Grand Final 22","QA","september club","K1 Kitchen"
"d2d5e306-3289-4ad9-99d9-c446e1ce9ff4","","checklist-flat","not-started","Events QA ITP","checklist-flat","FALSE","FALSE","TE00860 AFL Grand Final 22","QA","september club","K3 Kitchen"
"8e6b2574-71f0-4046-b4bb-99100d3dce8d","","checklist-flat","not-started","Events QA ITP","checklist-flat","FALSE","FALSE","TE00860 AFL Grand Final 22","QA","september club","K4 Kitchen"
"9cc1612e-f269-4f3b-b9c7-5a8d8bd562f1","","checklist-flat","not-started","Events QA ITP","checklist-flat","FALSE","FALSE","TE00860 AFL Grand Final 22","QA","september club","K5 Kitchen"
"5ba75cf2-1069-4f88-8d3e-d53c38f471ae","","checklist-flat","not-started","Events QA ITP","checklist-flat","FALSE","FALSE","TE00860 AFL Grand Final 22","QA","september club","K6 Kitchen"
"e438226d-1f7e-4520-92ab-986038b7d4c9","","checklist-flat","not-started","Events QA ITP","checklist-flat","FALSE","FALSE","TE00860 AFL Grand Final 22","QA","september club","K7 Kitchen"
"3686c7b9-aa26-4cf8-a837-b10e53f1aee3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00860 AFL Grand Final 22","QA","AFL Live Site"
"f6ebbf0b-0bb8-4f2f-80ab-f15e3aec8dbf","","folder-normal","work-in-progress","","step","TRUE","FALSE","TE00863 VRC 22 Spring Carnival"
"db4224a3-611b-4aef-b78c-5ceb766dc313","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00863 VRC 22 Spring Carnival","OHS"
"3b15aad0-068c-4ec5-8420-e808e41d1940","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00863 VRC 22 Spring Carnival","TAKE 5"
"d5dc419e-f48e-4e47-8c83-313cf4416f44","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00863 VRC 22 Spring Carnival","TAKE 5","Matt Feehan"
"842ae0fd-fcf5-4bb9-b602-7ecb5ff90a1a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00863 VRC 22 Spring Carnival","TAKE 5","Andrew Brew"
"a93abc82-6e45-4c4b-848f-3706deb159d3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00863 VRC 22 Spring Carnival","TAKE 5","Travis De Bono"
"491cf1e3-9cb3-47bb-a11c-be086b46830b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00863 VRC 22 Spring Carnival","TAKE 5","Jackson Pollock"
"f00d3194-f973-43b0-8d1d-35f89ccc2df4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00863 VRC 22 Spring Carnival","TAKE 5","Flynn Harrison – Brown"
"6e0141cc-07ac-45be-a2c6-f525e7215ac6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00863 VRC 22 Spring Carnival","TAKE 5","Riley Blake"
"04d6ea7d-7a55-43c3-8779-bb004639a829","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00863 VRC 22 Spring Carnival","TAKE 5","Dale May"
"308cfef3-36d3-4604-bdbe-c5db351eae73","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00863 VRC 22 Spring Carnival","TAKE 5","Jack Rice"
"115dd245-22c9-4cd8-b457-bc9cc1fb4643","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00863 VRC 22 Spring Carnival","TAKE 5","Chris Dykes"
"7fdfe9a4-2c58-474d-ad59-48d4b8c9e7ca","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00863 VRC 22 Spring Carnival","TAKE 5","James Taylor"
"16accfc7-283e-4fdd-b724-d96ac6180cf0","","folder-normal","work-in-progress","","step","TRUE","FALSE","TE00863 VRC 22 Spring Carnival","QA"
"c735402e-84d5-48d5-9522-3c69d5bf65e9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","TE00863 VRC 22 Spring Carnival","QA","VRC"
"baa87817-8325-4855-a805-f563e923aaeb","","folder-normal","work-in-progress","","step","TRUE","FALSE","TE00863 VRC 22 Spring Carnival","QA","Atlantic"
"35d2f6f1-ef0c-46db-bfac-7f6894e3d2a1","","checklist-flat","work-in-progress","Events QA ITP","checklist-flat","FALSE","FALSE","TE00863 VRC 22 Spring Carnival","QA","Atlantic","CROWN "
"e5015a5c-42a3-4292-a152-67a0463e6920","","checklist-flat","work-in-progress","Events QA ITP","checklist-flat","FALSE","FALSE","TE00863 VRC 22 Spring Carnival","QA","Atlantic","ELEVATED"
"6ef76f0a-45b1-4d9b-8771-617a08e55f86","","checklist-flat","work-in-progress","Events QA ITP","checklist-flat","FALSE","FALSE","TE00863 VRC 22 Spring Carnival","QA","Atlantic","MAKYBE DIVA"
"a0a6d307-9ca5-40df-94b3-f5641f11cd7d","","checklist-flat","work-in-progress","Events QA ITP","checklist-flat","FALSE","FALSE","TE00863 VRC 22 Spring Carnival","QA","Atlantic","ROSE ROOM"
"ae21664a-ca1a-4d63-82e4-2c59c02ba5d3","","checklist-flat","work-in-progress","Events QA ITP","checklist-flat","FALSE","FALSE","TE00863 VRC 22 Spring Carnival","QA","Atlantic","SPORTSBET"
"6531e4a6-21d5-4614-b274-602d92c224e5","","checklist-flat","work-in-progress","Events QA ITP","checklist-flat","FALSE","FALSE","TE00863 VRC 22 Spring Carnival","QA","Atlantic","STRIPPING SHEDS"
"a48d36e4-49d4-46fe-be2d-e37ef72cffb2","","checklist-flat","work-in-progress","Events QA ITP","checklist-flat","FALSE","FALSE","TE00863 VRC 22 Spring Carnival","QA","Atlantic","WP WEST"
"be037b87-13ea-4ca7-8971-d14db604594b","","checklist-flat","work-in-progress","Events QA ITP","checklist-flat","FALSE","FALSE","TE00863 VRC 22 Spring Carnival","QA","Atlantic","WP EAST"
