resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,
,step,,,Ground,,,,,,,,,,,
,step,,,,Area C,,,,,,,,,,
ST - S - Stair Installation,checklist,,,,,ST - S - Stair Installation,,,,,,,,,
,step,,,,Area D,,,,,,,,,,
ST - S - Stair Installation,checklist,,,,,ST - S - Stair Installation,,,,,,,,,
,step,,,,Area F,,,,,,,,,,
ST - S - Stair Installation,checklist,,,,,ST - S - Stair Installation,,,,,,,,,
,step,,,Level 1,,,,,,,,,,,
,step,,,,Area C,,,,,,,,,,
ST - S - Stair Installation,checklist,,,,,ST - S - Stair Installation,,,,,,,,,
,step,,,,Area D,,,,,,,,,,
ST - S - Stair Installation,checklist,,,,,ST - S - Stair Installation,,,,,,,,,
,step,,,,Area E1,,,,,,,,,,
,step,,,,,Precast Beam Installation,,,,,,,,,
,step,,,,,Precast Flat Slab Installation ,,,,,,,,,
,step,,,,,Concrete Pour,,,,,,,,,
,step,,,,,Precast Wall Panel Installation,,,,,,,,,
,step,,,,,Insitu Pour,,,,,,,,,
,step,,,,Area E2,,,,,,,,,,
,step,,,,,Precast Beam Installation,,,,,,,,,
,step,,,,,Precast Flat Slab Installation ,,,,,,,,,
,step,,,,,Concrete Pour,,,,,,,,,
,step,,,,,Precast Wall Panel Installation,,,,,,,,,
,step,,,,,Insitu Pour,,,,,,,,,
,step,,,,Area F,,,,,,,,,,
ST - S - Stair Installation,checklist,,,,,ST - S - Stair Installation,,,,,,,,,
,step,,,,,Precast Beam Installation,,,,,,,,,
,step,,,,,Precast Flat Slab Installation ,,,,,,,,,
,step,,,,,Concrete Pour,,,,,,,,,
,step,,,,,Precast Wall Panel Installation,,,,,,,,,
,step,,,,,Insitu Pour,,,,,,,,,
,step,,,Level 2,,,,,,,,,,,
,step,,,,Area C,,,,,,,,,,
ST - S - Stair Installation,checklist,,,,,ST - S - Stair Installation,,,,,,,,,
,step,,,,,Precast Beam Installation,,,,,,,,,
,step,,,,,Precast Flat Slab Installation ,,,,,,,,,
,step,,,,,Concrete Pour,,,,,,,,,
,step,,,,,Precast Wall Panel Installation,,,,,,,,,
,step,,,,,Insitu Pour,,,,,,,,,
,step,,,,Area D,,,,,,,,,,
ST - S - Stair Installation,checklist,,,,,ST - S - Stair Installation,,,,,,,,,
,step,,,,Area E1,,,,,,,,,,
ST - S - Stair Installation,checklist,,,,,ST - S - Stair Installation,,,,,,,,,
,step,,,,,Precast Beam Installation,,,,,,,,,
,step,,,,,Precast Flat Slab Installation ,,,,,,,,,
,step,,,,,Concrete Pour,,,,,,,,,
,step,,,,,Precast Wall Panel Installation,,,,,,,,,
,step,,,,,Insitu Pour,,,,,,,,,
,step,,,,Area E2,,,,,,,,,,
ST - S - Stair Installation,checklist,,,,,ST - S - Stair Installation,,,,,,,,,
,step,,,,,Precast Beam Installation,,,,,,,,,
,step,,,,,Precast Flat Slab Installation ,,,,,,,,,
,step,,,,,Concrete Pour,,,,,,,,,
,step,,,,,Precast Wall Panel Installation,,,,,,,,,
,step,,,,,Insitu Pour,,,,,,,,,
,step,,,,Area F,,,,,,,,,,
ST - S - Stair Installation,checklist,,,,,ST - S - Stair Installation,,,,,,,,,
,step,,,,,Precast Beam Installation,,,,,,,,,
,step,,,,,Precast Flat Slab Installation ,,,,,,,,,
,step,,,,,Concrete Pour,,,,,,,,,
,step,,,,,Precast Wall Panel Installation,,,,,,,,,
,step,,,,,Insitu Pour,,,,,,,,,
