Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Rough In,,,,,,,
,Scope,,,Site QA,Rough In,,
,Rows,,,,,,
,,Basement 2,dynamic,Site QA,Rough In,Basement 2,
,,Basement 1,dynamic,Site QA,Rough In,Basement 1,
,,Lower Ground,dynamic,Site QA,Rough In,Lower Ground,
,,Upper Ground,dynamic,Site QA,Rough In,Upper Ground,
,,School - Lower Ground,grouping,School - Lower Ground,,,
,,Lower Ground,,Site QA,Rough In,School,Lower Ground
,,School - Level 1,dynamic,Site QA,Rough In,School,Level 1
,,School - Level 2,dynamic,Site QA,Rough In,School,Level 2
,,School - Level 3,dynamic,Site QA,Rough In,School,Level 3
,,School - Level 4,dynamic,Site QA,Rough In,School,Level 4
,,School - Lifts,dynamic,Site QA,Rough In,School,Lifts
,,School - Stairs,dynamic,Site QA,Rough In,School,Stairs
,,School - Upper Ground,dynamic,Site QA,Rough In,School,Upper Ground
,,Parish Hall - Lower Ground,grouping,Parish Hall - Lower Ground,,,
,,Lower Ground,,Site QA,Rough In,Parish Hall,Lower Ground
,,Parish Hall - Upper Ground,grouping,Parish Hall - Upper Ground,,,
,,Upper Ground,,Site QA,Rough In,Parish Hall,Upper Ground
,,Parish Hall - Level 1,dynamic,Site QA,Rough In,Parish Hall,Level 1
,,Parish Hall - Level 2,dynamic,Site QA,Rough In,Parish Hall,Level 2
,,Parish Hall - Level 3,dynamic,Site QA,Rough In,Parish Hall,Level 3
,,Parish Hall - Level 4,dynamic,Site QA,Rough In,Parish Hall,Level 4
,,RAC (Residential Aged Care) - Level 1,dynamic,Site QA,Rough In,RAC (Residential Aged Care),Level 1
,,RAC (Residential Aged Care) - Level 2,dynamic,Site QA,Rough In,RAC (Residential Aged Care),Level 2
,,RAC (Residential Aged Care) - Level 3,dynamic,Site QA,Rough In,RAC (Residential Aged Care),Level 3
,,RAC (Residential Aged Care) - Level 4,dynamic,Site QA,Rough In,RAC (Residential Aged Care),Level 4
,,RL (Retired Living) - Level 5,dynamic,Site QA,Rough In,RL (Retired Living),Level 5
,,RL (Retired Living) - Level 6,dynamic,Site QA,Rough In,RL (Retired Living),Level 6
,,RL (Retired Living) - Level 7,dynamic,Site QA,Rough In,RL (Retired Living),Level 7
,,RL (Retired Living) - Level 8,dynamic,Site QA,Rough In,RL (Retired Living),Level 8
,,RL (Retired Living) - Level 9,dynamic,Site QA,Rough In,RL (Retired Living),Level 9
,,RL (Retired Living) - Level 10,dynamic,Site QA,Rough In,RL (Retired Living),Level 10
,,RL (Retired Living) - Level 11,dynamic,Site QA,Rough In,RL (Retired Living),Level 11
,,RL (Retired Living) - Level 12,dynamic,Site QA,Rough In,RL (Retired Living),Level 12
,,RL (Retired Living) - Level 13,dynamic,Site QA,Rough In,RL (Retired Living),Level 13
,,RL (Retired Living) - Level 14,dynamic,Site QA,Rough In,RL (Retired Living),Level 14
,,RL (Retired Living) - Level 15,dynamic,Site QA,Rough In,RL (Retired Living),Level 15
,,RL (Retired Living) - Level 16,dynamic,Site QA,Rough In,RL (Retired Living),Level 16
,,RL (Retired Living) - Level 17,dynamic,Site QA,Rough In,RL (Retired Living),Level 17
,,RL (Retired Living) - Level 18,dynamic,Site QA,Rough In,RL (Retired Living),Level 18
,,RL (Retired Living) - Level 19,dynamic,Site QA,Rough In,RL (Retired Living),Level 19
,,RL (Retired Living) - Level 20,dynamic,Site QA,Rough In,RL (Retired Living),Level 20
,,RL (Retired Living) - Level 21,dynamic,Site QA,Rough In,RL (Retired Living),Level 21
,,RL (Retired Living) - Level 22,dynamic,Site QA,Rough In,RL (Retired Living),Level 22
,,RL (Retired Living) - Level 23,dynamic,Site QA,Rough In,RL (Retired Living),Level 23
,,RL (Retired Living) - Level 24,dynamic,Site QA,Rough In,RL (Retired Living),Level 24
,,RL (Retired Living) - Level 25,dynamic,Site QA,Rough In,RL (Retired Living),Level 25
,,RL (Retired Living) - Level 26,dynamic,Site QA,Rough In,RL (Retired Living),Level 26
,,RL (Retired Living) - Level 27,dynamic,Site QA,Rough In,RL (Retired Living),Level 27
,,RL (Retired Living) - Level 28,dynamic,Site QA,Rough In,RL (Retired Living),Level 28
,,RL (Retired Living) - Level 29,dynamic,Site QA,Rough In,RL (Retired Living),Level 29
,Columns,,,,,,
,,Plans,,Plans,,,
,,Rough In,,Rough In,,,
,,Set Out,,Set Out,,,
,,Pressure Tested,,Pressure Tested,,,
,,Cross Connection Checked,,Cross Connection Checked,,,
,,Meter mark provided by MLP,,Meter mark provided by MLP,,,
,,,,,,,
Fit Off,,,,,,,
,Scope,,,Site QA,Fit Off,,
,Rows,,,,,,
,,Basement 2,dynamic,Site QA,Fit Off,Basement 2,
,,Basement 1,dynamic,Site QA,Fit Off,Basement 1,
,,Lower Ground,dynamic,Site QA,Fit Off,Lower Ground,
,,Upper Ground,dynamic,Site QA,Fit Off,Upper Ground,
,,School - Lower Ground,grouping,School - Lower Ground,,,
,,Lower Ground,,Site QA,Fit Off,School,Lower Ground
,,School - Level 1,dynamic,Site QA,Fit Off,School,Level 1
,,School - Level 2,dynamic,Site QA,Fit Off,School,Level 2
,,School - Level 3,dynamic,Site QA,Fit Off,School,Level 3
,,School - Level 4,dynamic,Site QA,Fit Off,School,Level 4
,,School - Lifts,dynamic,Site QA,Fit Off,School,Lifts
,,School - Stairs,dynamic,Site QA,Fit Off,School,Stairs
,,School - Upper Ground,dynamic,Site QA,Fit Off,School,Upper Ground
,,Parish Hall - Lower Ground,grouping,Parish Hall - Lower Ground,,,
,,Lower Ground,,Site QA,Fit Off,Parish Hall,Lower Ground
,,Parish Hall - Upper Ground,grouping,Parish Hall - Upper Ground,,,
,,Upper Ground,,Site QA,Fit Off,Parish Hall,Upper Ground
,,Parish Hall - Level 1,dynamic,Site QA,Fit Off,Parish Hall,Level 1
,,Parish Hall - Level 2,dynamic,Site QA,Fit Off,Parish Hall,Level 2
,,Parish Hall - Level 3,dynamic,Site QA,Fit Off,Parish Hall,Level 3
,,Parish Hall - Level 4,dynamic,Site QA,Fit Off,Parish Hall,Level 4
,,RAC (Residential Aged Care) - Level 1,dynamic,Site QA,Fit Off,RAC (Residential Aged Care),Level 1
,,RAC (Residential Aged Care) - Level 2,dynamic,Site QA,Fit Off,RAC (Residential Aged Care),Level 2
,,RAC (Residential Aged Care) - Level 3,dynamic,Site QA,Fit Off,RAC (Residential Aged Care),Level 3
,,RAC (Residential Aged Care) - Level 4,dynamic,Site QA,Fit Off,RAC (Residential Aged Care),Level 4
