type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,ST - R - Structural Steel Installation,,,,,,ST - R - Structural Steel Installation
checkpoint,Chemical anchor proof tests conducted on the sample selected by the MV Engineer,,,,,,
bool,Chemical anchors are tested to 0.7xdesign load,,,,,,
bool,The test load of the bar is provided by the MV Engineer,,,,,,
bool,Proof load tests maintained for a minimum of 30 seconds,,,,,,
bool,The load did not drop more than 10% during the testing,,,,,,
checkpoint,"If the proof of tests show failure of the anchors, installation of anchors should stop, cause of failure investigated and installation methodology should be reviewed. If failure is recorded, the minimum test sample shall be increased to 6 specimens or 5% of the total relevant anchor population, whichever is greater.",,,,,,
checkpoint,Mechanical anchor testing conducted on the sample selected by the MV Engineer and witnessed by the MV Engineer,,,,,,
bool,For trubolt or similar anchors the maximum tightening torque is reviewed,,,,,,
checkpoint,"If the proof of tests show failure of the anchors, installation of anchors should stop, cause of failure investigated and installation methodology should be reviewed. If failure is recorded, the minimum test sample shall be increased to 6 specimens or 5% of the total relevant anchor population, whichever is greater.",,,,,,
checkpoint,"Trades QA received, attached, reviewed and approved",,,,,,
holdpoint,Raise remedial / Request Signoff,,,,,,
checkpoint,All structural steel correctly installed in respective area and acceptable,,,,,,
