type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,ITP-001 Corridors Rough In (L1 Zone 1),,,,,,ITP-001 Corridors Rough In (L1 Zone 1)
checkpoint,Install outside air ductwork,,,,,,
checkpoint,Install Exhaust ductwork,,,,,,
checkpoint,Install fire dampers within walls,,,,,,
checkpoint,Install refrigeration pipework,,,,,,
checkpoint,Install wiring,,,,,,
checkpoint,Test pipework,,,,,,
checkpoint,Lagg pipework,,,,,,
checkpoint,Install FCU-00-19,,,,,,
checkpoint,Install FCU-00-19 ductwork,,,,,,
checkpoint,Install FCU-00-19 drain,,,,,,
checkpoint,Install FCU-00-19 wiring,,,,,,
checkpoint,Install FCU-00-19 cushion heads,,,,,,
checkpoint,FCU-00-19 serial number,,,,,,
checkpoint,Install BS-13,,,,,,
checkpoint,Install BS-13 pipework & lagging,,,,,,
checkpoint,Install BS-13 wiring,,,,,,
checkpoint,BS-13 serial number,,,,,,
checkpoint,Mark out access panels,,,,,,
,,,,,,,
checklist-flat,ITP-001 Corridors Fit Off,,,,,,ITP-001 Corridors Fit Off
checkpoint,Ceiling grilles,,,,,,
checkpoint,Wall grilles,,,,,,
checkpoint,Tundish points,,,,,,
,,,,,,,
checklist-flat,ITP-002 Risers Rough In,,,,,,ITP-002 Risers Rough In
checkpoint,Install refrigeration pipework,,,,,,
checkpoint,Install wiring,,,,,,
checkpoint,Install ductwork & seal,,,,,,
checkpoint,Test pipework,,,,,,
checkpoint,Lagg pipework,,,,,,
,,,,,,,
checklist,ITP-003 Gymnasium Rough In,,,,,,ITP-003 Gymnasium Rough In
section,Install FCU-00-15,,,,,,
checkpoint,Install FCU-00-15 ductwork,,,,,,
checkpoint,Install FCU-00-15 drain,,,,,,
checkpoint,Install FCU-00-15 wiring,,,,,,
checkpoint,Install FCU-00-15 cushion heads,,,,,,
checkpoint,Upload photo of FCU-00-15 serial number,,,,,,
section,Install FCU-00-16,,,,,,
checkpoint,Install FCU-00-16 ductwork,,,,,,
checkpoint,Install FCU-00-16 drain,,,,,,
checkpoint,Install FCU-00-16 wiring,,,,,,
checkpoint,Install FCU-00-16 cushion heads,,,,,,
checkpoint,Upload photo of FCU-00-16 serial number,,,,,,
section,Install FCU-00-17,,,,,,
checkpoint,Install FCU-00-17 ductwork,,,,,,
checkpoint,Install FCU-00-17 drain,,,,,,
checkpoint,Install FCU-00-17 wiring,,,,,,
checkpoint,Install FCU-00-17 cushion heads,,,,,,
checkpoint,Upload photo of FCU-00-17 serial number,,,,,,
checkpoint,Install fire dampers & seal,,,,,,
checkpoint,Install transfer air ductwork,,,,,,
checkpoint,Mark out all access panels,,,,,,
,,,,,,,
checklist-flat,ITP-003 Gymnasium Fit Off,,,,,,ITP-003 Gymnasium Fit Off
checkpoint,FCU-00-15 grilles,,,,,,
checkpoint,FCU-00-16 grilles,,,,,,
checkpoint,FCU-00-17 grilles,,,,,,
checkpoint,FCU-00-18 grilles,,,,,,
checkpoint,FCU-00-15 thermostat,,,,,,
checkpoint,FCU-00-16 thermostat,,,,,,
checkpoint,FCU-00-17 thermostat,,,,,,
checkpoint,FCU-00-18 thermostat,,,,,,
checkpoint,Tundish points,,,,,,
,,,,,,,
checklist-flat,ITP-004 Main Entry Rough In,,,,,,ITP-004 Main Entry Rough In
checkpoint,Ductwork,,,,,,
,,,,,,,
checklist-flat,ITP-004 Main Entry Fit Off,,,,,,ITP-004 Main Entry Fit Off
checkpoint,Grilles,,,,,,
checkpoint,Thermostat,,,,,,
,,,,,,,
checklist-flat,ITP-005 Plant Rough In,,,,,,ITP-005 Plant Rough In
checkpoint,Exhaust ductwork,,,,,,
,,,,,,,
checklist-flat,ITP-005 Plant Fit Off,,,,,,ITP-005 Plant Fit Off
checkpoint,Grilles,,,,,,
,,,,,,,
checklist-flat,ITP-006 Changing Places Rough In,,,,,,ITP-006 Changing Places Rough In
checkpoint,Install GEF-00.07,,,,,,
checkpoint,Install GEF-00.07 ductwork,,,,,,
checkpoint,Install GEF-00.07 Wiring,,,,,,
checkpoint,Upload photo of GEF-00.07 serial number,,,,,,
checkpoint,Install TEF-00.08,,,,,,
checkpoint,Install TEF-00.08 ductwork,,,,,,
checkpoint,Install TEF-00.08 Wiring,,,,,,
checkpoint,Upload photo of TEF-00.08 serial number,,,,,,
checkpoint,Install transfer ductwork,,,,,,
checkpoint,Mark out access panels,,,,,,
,,,,,,,
checklist-flat,ITP-006/007 Changing Places + Public Amenities Fit Off,,,,,,ITP-006/007 Changing Places + Public Amenities Fit Off
checkpoint,Grilles,,,,,,
checkpoint,Fan wiring,,,,,,
,,,,,,,
checklist-flat,ITP-007 Public Amenities Rough In,,,,,,ITP-007 Public Amenities Rough In
checkpoint,Install GEF-00.06,,,,,,
checkpoint,Install GEF-00.06 ductwork,,,,,,
checkpoint,Install GEF-00.06 Wiring,,,,,,
checkpoint,Upload photo of GEF-00.06 serial number,,,,,,
checkpoint,Install TEF-00.05,,,,,,
checkpoint,Install TEF-00.05 ductwork,,,,,,
checkpoint,Install TEF-00.05 Wiring,,,,,,
checkpoint,Upload photo of TEF-00.05 serial number,,,,,,
checkpoint,Install transfer ductwork,,,,,,
checkpoint,Install outside air ductwork & damper,,,,,,
checkpoint,Mark out access panels,,,,,,
,,,,,,,
checklist-flat,ITP-008 Auditorium Rough In,,,,,,ITP-008 Auditorium Rough In
checkpoint,Install FCU-00-29,,,,,,
checkpoint,Install FCU-00-29 supply ductwork,,,,,,
checkpoint,Install FCU-00-29 return ductwork,,,,,,
checkpoint,Install FCU-00-29 outside air ductwork,,,,,,
checkpoint,Install FCU-00-29 drain,,,,,,
checkpoint,Install FCU-00-29 wiring,,,,,,
checkpoint,Install FCU-00-29 cushion heads,,,,,,
checkpoint,Upload photo of FCU-00-29 serial number,,,,,,
,,,,,,,
checklist-flat,ITP-008 Auditorium Fit Off,,,,,,ITP-008 Auditorium Fit Off
checkpoint,FCU-00-29 grilles,,,,,,
checkpoint,FCU-00-29 thermostat,,,,,,
,,,,,,,
checklist-flat,ITP-009 Briefing Room 01 Rough In,,,,,,ITP-009 Briefing Room 01 Rough In
checkpoint,Install FCU-00-20,,,,,,
checkpoint,Install FCU-00-20 supply ductwork,,,,,,
checkpoint,Install FCU-00-20 return ductwork,,,,,,
checkpoint,Install FCU-00-20 outside air ductwork,,,,,,
checkpoint,Install FCU-00-20 drain,,,,,,
checkpoint,Install FCU-00-20 wiring,,,,,,
checkpoint,Install FCU-00-20 cushion heads,,,,,,
checkpoint,Upload photo of FCU-00-20 serial number,,,,,,
checkpoint,Install OAF-00.06,,,,,,
checkpoint,Install OAF-00.06 ductwork,,,,,,
checkpoint,Install OAF-00.06 wiring,,,,,,
checkpoint,Upload photo of OAF-00.06 serial number,,,,,,
checkpoint,Install transfer air ductwork,,,,,,
checkpoint,Mark out access panels,,,,,,
,,,,,,,
checklist-flat,ITP-009 Briefing Room 01 Fit Off,,,,,,ITP-009 Briefing Room 01 Fit Off
checkpoint,FCU-00-20 grilles,,,,,,
checkpoint,FCU-00-20 thermostat,,,,,,
checkpoint,Tundish point,,,,,,
,,,,,,,
checklist-flat,ITP-010 Briefing Room 02 Rough In,,,,,,ITP-010 Briefing Room 02 Rough In
checkpoint,Install FCU-00-30,,,,,,
checkpoint,Install FCU-00-30 supply ductwork,,,,,,
checkpoint,Install FCU-00-30 return ductwork,,,,,,
checkpoint,Install FCU-00-30 outside air ductwork,,,,,,
checkpoint,Install FCU-00-30 drain,,,,,,
checkpoint,Install FCU-00-30 wiring,,,,,,
checkpoint,Install FCU-00-30 cushion heads,,,,,,
checkpoint,Upload photo of FCU-00-30 serial number,,,,,,
checkpoint,Install OAF-00.07,,,,,,
checkpoint,Install OAF-00.07 ductwork,,,,,,
checkpoint,Install OAF-00.07 wiring,,,,,,
checkpoint,Upload photo of OAF-00.07 serial number,,,,,,
checkpoint,Install BS-21,,,,,,
checkpoint,Install BS-21 pipework & lagging,,,,,,
checkpoint,Install BS-21 wiring,,,,,,
checkpoint,Install transfer air ductwork,,,,,,
checkpoint,Mark out access panels,,,,,,
,,,,,,,
checklist-flat,ITP-010 Briefing Room 02 Fit Off,,,,,,ITP-010 Briefing Room 02 Fit Off
checkpoint,FCU-00-30 grilles,,,,,,
checkpoint,FCU-00-30 thermostat,,,,,,
checkpoint,Tundish point,,,,,,
,,,,,,,
checklist-flat,ITP-011 Briefing Room 03 Rough In,,,,,,ITP-011 Briefing Room 03 Rough In
checkpoint,Install FCU-00-21,,,,,,
checkpoint,Install FCU-00-21 supply ductwork,,,,,,
checkpoint,Install FCU-00-21 return ductwork,,,,,,
checkpoint,Install FCU-00-21 outside air ductwork,,,,,,
checkpoint,Install FCU-00-21 drain,,,,,,
checkpoint,Install FCU-00-21 wiring,,,,,,
checkpoint,Install FCU-00-21 cushion heads,,,,,,
checkpoint,Upload photo of FCU-00-21 serial number,,,,,,
