"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b22cc348-3684-4e45-ad16-9af618d7af7d","","no-status-not-started","","folder","TRUE","FALSE","Decommissioning"
"f0faf9b8-3821-48d5-8899-347b646e6159","","no-status-not-started","","folder","TRUE","FALSE","Decommissioning","Building 1"
"cca3eaf0-f2b9-4441-925a-d21368ac90ec","","no-status-not-started","","folder","TRUE","FALSE","Decommissioning","Building 2"
"c46dd88e-7f8c-41e1-934d-df6cddbc8023","","no-status-not-started","","folder","TRUE","FALSE","Decommissioning","Building 3"
"f3547a1b-54bf-46c8-9a2f-3a58f19bd0bc","","no-status-not-started","","folder","TRUE","FALSE","Decommissioning","Building 4"
"5179e06c-a76c-428c-802c-feb4a99594ce","","no-status-not-started","","folder","TRUE","FALSE","Decommissioning","Building 5"
"ac50cada-d578-4dcb-bdb9-33de536b9c31","","no-status-not-started","","folder","TRUE","FALSE","Decommissioning","Building 6"
"71c65b84-91e5-4f4b-b7b7-979b809144cb","","no-status-not-started","","folder","TRUE","FALSE","Decommissioning","Building 7"
"829706a5-f0f3-4093-9e93-ab42a11a164f","","no-status-not-started","","folder","TRUE","FALSE","Decommissioning","Building 8"
"9a491e39-87e2-4d64-8370-83314324856b","","no-status-not-started","","folder","TRUE","FALSE","Decommissioning","Building 9"
"03361eb7-d261-4400-ba47-3dd00a8a5320","","no-status-not-started","","folder","TRUE","FALSE","Decommissioning","Building 10"
"c83d8f39-477f-4ee7-a048-ee7eb6c8aeeb","","no-status-not-started","","folder","TRUE","FALSE","Decommissioning","Building 11"
"7d583aa4-81d3-4078-b816-708aa8ddbb03","","no-status-not-started","","folder","TRUE","FALSE","Decommissioning","Building 12"
"87939cd6-7650-4db3-ba3e-d521fa566948","","no-status-not-started","","folder","TRUE","FALSE","Decommissioning","Building 13"
"279b2eac-9454-49a5-9308-90da114ee915","","no-status-not-started","","folder","TRUE","FALSE","Decommissioning","BOH"
"70ae2431-7297-48e2-b17d-03fe2d004193","","no-status-not-started","","folder","TRUE","FALSE","Decommissioning","Ryot St"
"a378eeb9-d209-4646-b1ec-f564610c22db","","no-status-not-started","","folder","TRUE","FALSE","Decommissioning","Hider St"
"b2ffd6a3-69e3-4ed0-8b63-8db4c74355ce","","no-status-not-started","","folder","TRUE","FALSE","Decommissioning","Fire Tank Enclosure"
"a9647fdd-c398-4e22-af46-467b505a1ea3","","no-status-not-started","","folder","TRUE","FALSE","Decommissioning","Water Meter Enclosure"
"5f8fc8c0-29c8-438d-86fc-d2a94f84965f","","not-started","","folder","TRUE","FALSE","Rough In"
"d083e31b-f7fc-4c74-a222-60c681de3e4d","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 1"
"e128e1d0-08c5-4709-9281-a0a2952ce741","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 2"
"07565053-c6ae-451f-92d1-5b7133798c11","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 3"
"d5a95085-bc38-4ea0-98cf-ce499461be8d","","not-started","","folder","TRUE","FALSE","Rough In","Building 4"
"436ed19b-72db-4249-b1b3-763f6eb74e27","","not-started","","folder","TRUE","FALSE","Rough In","Building 4","Roof"
"a96b1cfc-16a2-44cb-8f7f-e7fc0c806d3e","","not-started","ITR No.11 Cable Tray Installation","checklist","FALSE","FALSE","Rough In","Building 4","Roof","Cable Tray Installation"
"f2bc9a15-1aa2-4371-8c00-3ec7850f3834","","not-started","ITR No.20 Mains and Sub Mains","checklist","FALSE","FALSE","Rough In","Building 4","Roof","Mains and Sub Mains"
"5feb0b3e-c554-4807-ad55-453121d8b49e","","not-started","","folder","TRUE","FALSE","Rough In","Building 4","Ground"
"7fd9b4d0-b5bf-401c-9782-55f26f951c12","","not-started","ITR No.11 Cable Tray Installation","checklist","FALSE","FALSE","Rough In","Building 4","Ground","Cable Tray Installation"
"d0a488b3-0335-422e-9f48-be0c8670525d","","not-started","ITR No.20 Mains and Sub Mains","checklist","FALSE","FALSE","Rough In","Building 4","Ground","Mains and Sub Mains"
"f25843ee-cfee-4030-b330-d5a7f9b5b932","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 5"
"20a0caa5-2197-4812-a2d4-cbb810fa1b1f","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 6"
"c640a053-a3e0-466a-ab14-aa29a432ccf6","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 6","Basement"
"41fd43ee-3b08-4e16-b6bc-f112f123deb8","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 6","Ground"
"dbd4d46c-e140-4eed-9709-a20390ac228d","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 6","Level 1"
"d0256df5-a6ba-41f2-831f-344f8f9417a3","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 6","Level 2"
"4b79e19d-de7a-495e-92a9-d946e314c057","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 7"
