Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Bathroom Progress,,,,,,
,Scope,,,,,
,Rows,,,,,
,,Ground Floor - G1,,Ground Floor,G1,
,,Ground Floor - G2,,Ground Floor,G2,
,,Ground Floor - G3,,Ground Floor,G3,
,,Ground Floor - G4,,Ground Floor,G4,
,,Ground Floor - G5,,Ground Floor,G5,Bathroom
,,Ground Floor - G7,,Ground Floor,G7,
,,Ground Floor - G9,,Ground Floor,G9,
,,Level 1 - 101,,Level 1,101,
,,Level 1 - 111,,Level 1,111,Bathroom
,,Level 1 - 112,,Level 1,112,
,,Level 1 - 113,,Level 1,113,Bathroom
,,Level 1 - 115,,Level 1,115,Bathroom
,,Level 1 - 117,,Level 1,117,Bathroom
,,Level 2 - 201,,Level 2,201,
,,Level 2 - 205,,Level 2,205,
,,Level 2 - 207,,Level 2,207,
,,Level 2 - 210,,Level 2,210,
,,Level 2 - 215,,Level 2,215,Bathroom
,,Level 2 - 216,,Level 2,216,Bathroom
,,Level 3 - 301,,Level 3,301,Bathroom
,,Level 3 - 308,,Level 3,308,
,,Level 3 - 320,,Level 3,320,
,,Level 3 - 321,,Level 3,321,
,,Level 4 - 401,,Level 4,401,
,,Level 4 - 402,,Level 4,402,
,,Level 4 - 404,,Level 4,404,Bathroom
,,Level 4 - 405,,Level 4,405,Bathroom
,,Level 4 - 406,,Level 4,406,
,,Level 4 - 407,,Level 4,407,Bathroom
,,Level 4 - 410,,Level 4,410,Bathroom
,,Level 4 - 411,,Level 4,411,Bathroom
,,Level 4 - 413,,Level 4,413,
,,Level 4 - 416,,Level 4,416,Bathroom
,,Level 4 - 419,,Level 4,419,
,,Level 5 - 501,,Level 5,501,
,,Level 5 - 508,,Level 5,508,
,,Level 5 - 509,,Level 5,509,
,,Level 5 - 512,,Level 5,512,Bathroom
,,Level 6 - 601,,Level 6,601,
,,Level 6 - 604,,Level 6,604,Bathroom
,,Level 6 - 613,,Level 6,613,
,,Level 6 - 615,,Level 6,615,Bathroom
,,Level 6 - 618,,Level 6,618,Bathroom
,,Level 6 - 622,,Level 6,622,Bathroom
,,Level 7 - 701,,Level 7,701,
,,Level 7 - 704,,Level 7,704,Bathroom
,,Level 7 - 706,,Level 7,706,
,,Level 7 - 709,,Level 7,709,
,,Level 7 - 711,,Level 7,711,Bathroom
,,Level 7 - 715,,Level 7,715,Bathroom
,,Level 7 - 718,,Level 7,718,Bathroom
,,Level 7 - 719,,Level 7,719,
,,Level 8 - 801,,Level 8,801,
,,Level 8 - 807,,Level 8,807,
,,Level 8 - 810,,Level 8,810,
,,Level 8 - 811,,Level 8,811,Bathroom
,,Level 8 - 818,,Level 8,818,Bathroom
,,Level 9 - 901,,Level 9,901,
,,Level 9 - 907,,Level 9,907,Bathroom
,,Level 9 - 910,,Level 9,910,Bathroom
,,Level 9 - 918,,Level 9,918,Bathroom
,,Level 10 - 1001,,Level 10,1001,Bathroom
,,Level 10 - 1005,,Level 10,1005,
,,Level 10 - 1006,,Level 10,1006,Bathroom
,,Level 10 - 1007,,Level 10,1007,Bathroom
,,Level 10 - 1008,,Level 10,1008,Bathroom
