"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Bathroom Progress"
,"Scope",,
,"Rows"
,,"Ground Floor - G1",,"ground floor","g1"
,,"Ground Floor - G2",,"ground floor","g2"
,,"Ground Floor - G3",,"ground floor","g3"
,,"Ground Floor - G4",,"ground floor","g4"
,,"Ground Floor - G5",,"ground floor","g5","bathroom"
,,"Ground Floor - G7",,"ground floor","g7"
,,"Ground Floor - G9",,"ground floor","g9"
,,"Level 4 - 416",,"416","level 4","en-suite"
,,"Level 6 - 615",,"615","en-suite","level 6"
,,"Level 6 - 618",,"618","en-suite","level 6"
,,"Level 7 - 711",,"711","en-suite","level 7"
,,"Level 7 - 715",,"715","en-suite","level 7"
,,"Level 7 - 718",,"718","en-suite","level 7"
,,"Level 8 - 811",,"811","level 8","en-suite"
,,"Level 8 - 818",,"818","level 8","en-suite"
,,"Level 9 - 918",,"918","level 9","en-suite"
,,"Level 10 - 1015",,"1015","en-suite","level 10"
,,"Level 10 - 1016",,"1016","en-suite","level 10"
,,"Level 12 - 1201",,"1201","level 12","en-suite"
,"Columns"
,,"Pre-Start - Area tidy & Accessible- Free from any foreign objects",,"pre-start - area tidy and accessible- free from any foreign objects"
,,"Bathroom ready for tiling work",,"bathroom ready for tiling work"
,,"Seq # 1 - Remove floor tiles & Skirting",,"seq # 1 - remove floor tiles and skirting"
,,"Seq # 2 - Substrate preparation",,"seq # 2 - substrate preparation"
,,"Seq # 3 Install Regupol 4515 Acoustic Under Lay",,"seq # 3 install regupol 4515 acoustic under lay"
,,"Seq # 4 - Apply Ardex WPM-002 Waterproofing - two-part component",,"seq # 4 - apply ardex wpm-002 waterproofing - two-part component"
,,"Seq # 5 - Lay the floor, skirting & trim as per drawings - Shower is not included",,"seq # 5 - lay the floor, skirting and trim as per drawings - shower is not included"
,,"Seq # 6 - Apply Grouting",,"seq # 6 - apply grouting"
,,"Seq # 7 - Apply Silicon",,"seq # 7 - apply silicon"
,,"Seq # 8 - Final Cleaning",,"seq # 8 - final cleaning"
,,"Seq # 9 - Install the floor finish protection (RAMBOARD)",,"seq # 9 - install the floor finish protection (ramboard)"
,,"Seq # 10 - Handover",,"seq # 10 - handover"

"Splashback Progress"
,"Scope",,
,"Rows"
,,"Level 1 - 103",,"103","level 1"
,,"Level 1 - 104",,"104","level 1"
,,"Level 1 - 114",,"114","level 1"
,,"Level 2 - 203",,"203","level 2"
,,"Level 2 - 204",,"204","level 2"
,,"Level 2 - 214",,"214","level 2"
,,"Level 2 - 215",,"215","splashback","level 2"
,,"Level 3 - 301",,"301","splashback","level 3"
,,"Level 3 - 303",,"303","level 3"
,,"Level 3 - 304",,"304","level 3"
,,"Level 3 - 314",,"314","level 3"
,,"Level 4 - 403",,"403","level 4"
,,"Level 4 - 404",,"404","level 4","splashback"
,,"Level 4 - 405",,"405","level 4","splashback"
,,"Level 4 - 407",,"407","level 4","splashback"
,,"Level 4 - 410",,"410","level 4","splashback"
,,"Level 4 - 411",,"411","level 4","splashback"
,,"Level 4 - 414",,"414","level 4"
,,"Level 5 - 503",,"503","level 5"
,,"Level 5 - 504",,"504","level 5"
,,"Level 5 - 512",,"512","splashback","level 5"
,,"Level 5 - 514",,"514","level 5"
,,"Level 5 - 518",,"518","splashback","level 5"
,,"Level 6 - 603",,"603","level 6"
,,"Level 6 - 604",,"604","splashback","level 6"
,,"Level 6 - 614",,"614","level 6"
,,"Level 6 - 622",,"622","splashback","level 6"
,,"Level 7 - 703",,"703","level 7"
,,"Level 7 - 704",,"704","splashback","level 7"
,,"Level 7 - 714",,"714","level 7"
,,"Level 8 - 803",,"803","level 8"
,,"Level 8 - 804",,"804","level 8"
,,"Level 8 - 811",,"811","level 8","splashback"
,,"Level 8 - 814",,"814","level 8"
,,"Level 9 - 903",,"903","level 9"
,,"Level 9 - 904",,"904","level 9"
,,"Level 9 - 907",,"907","splashback","level 9"
,,"Level 9 - 910",,"910","splashback","level 9"
,,"Level 9 - 914",,"914","level 9"
,,"Level 10 - 1001",,"1001","splashback","level 10"
,,"Level 10 - 1003",,"1003","level 10"
,,"Level 10 - 1004",,"1004","level 10"
,,"Level 10 - 1014",,"1014","splashback","level 10"
,,"Level 10 - 1019",,"1019","splashback","level 10"
,,"Level 11 - 1103",,"1103","splashback","level 11"
,,"Level 11 - 1104",,"1104","level 11"
,,"Level 11 - 1106",,"1106","splashback","level 11"
,,"Level 11 - 1107",,"1107","splashback","level 11"
,,"Level 11 - 1114",,"1114","level 11"
,,"Level 11 - 1122",,"1122","splashback","level 11"
,,"Level 12 - 1201",,"1201","level 12","splashback"
,,"Level 12 - 1203",,"1203","level 12"
,,"Level 12 - 1204",,"1204","level 12"
,,"Level 12 - 1214",,"1214","level 12"
,"Columns"
,,"Pre-Start - Area tidy & Accessible- Free from any foreign objects",,"pre-start - area tidy and accessible- free from any foreign objects"
,,"Splashback area ready for tiling work",,"splashback area ready for tiling work"
,,"Seq # 1 - Removal of existing splashback tiles",,"seq # 1 - removal of existing splashback tiles"
,,"Seq # 2 - Prepare substrate to suitable to lay the tiles",,"seq # 2 - prepare substrate to suitable to lay the tiles"
,,"Seq # 3 - Lay the tiles to splashback wall & install the trim",,"seq # 3 - lay the tiles to splashback wall and install the trim"
,,"Seq # 4 - Apply Grouting",,"seq # 4 - apply grouting"
,,"Seq # 5 - Apply Silicon",,"seq # 5 - apply silicon"
