"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"513610f7-1e60-4d38-bffc-fe5ac6fb47e1","","checklist-flat","work-in-progress","Progress Claim Checklists","checklist-flat","FALSE","FALSE","Site Diary","Jun 23","Progress Claim Checklists gear on site"
"5a127de9-1d7f-497d-881f-4c62ed593483","","checklist-flat","work-in-progress","Progress Claim Checklists","checklist-flat","FALSE","FALSE","Site Diary","Jun 23","Progress Claim Checklists"
"8efd105a-8dcc-4a86-9c7f-a651ba52d6ab","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Diary","Jul 23"
"0d1e2224-3577-44b2-adb4-7b50981aa8b9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Diary","Aug 23"
"dab293c8-4bb8-42a0-96b9-9fa1af9fdf0a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site Diary","September 2023"
"2c619030-ce18-4fd7-8d4d-b9bef1350a17","","checklist-flat","work-in-progress","Toolbox Meeting","checklist-flat","FALSE","FALSE","Site Diary","September 2023","Toolbox Meeting 22/09/23"
"80641126-42a7-42f3-abd4-d163ef34f19e","","checklist-flat","work-in-progress","Site Diary","checklist-flat","FALSE","FALSE","Site Diary","Site Diary November "
"a4b07775-07c3-470a-be14-4131817e9401","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site Diary","November "
"12295a1e-2b10-4dee-8f6b-7d2b6d80066a","","checklist-flat","work-in-progress","Site Diary","checklist-flat","FALSE","FALSE","Site Diary","November ","Site Diary17/11"
"8136b4e1-93d3-4ddb-85ba-6bf8814d795a","","checklist-flat","work-in-progress","Site Diary","checklist-flat","FALSE","FALSE","Site Diary","November ","Site Diary 20/11"
"758b4a5c-c698-4da7-9142-4ed0ae066c0b","","checklist-flat","work-in-progress","Site Diary","checklist-flat","FALSE","FALSE","Site Diary","November ","Site Diary22/11"
"cac1b0f3-8328-4345-9501-e7573a0f72f4","","checklist-flat","work-in-progress","Site Diary","checklist-flat","FALSE","FALSE","Site Diary","November ","Site Diary23/11"
"bc3337c6-4db3-477b-8b1f-d12784cce175","","checklist-flat","work-in-progress","Site Diary","checklist-flat","FALSE","FALSE","Site Diary","November ","Site Diary24/11"
"d76fcd8b-4741-4378-ab12-6c235c673c8a","","checklist-flat","work-in-progress","Site Diary","checklist-flat","FALSE","FALSE","Site Diary","November ","Site Diary27/11"
"2bb67516-e0fc-4199-9835-0d3385144e93","","checklist-flat","work-in-progress","Site Diary","checklist-flat","FALSE","FALSE","Site Diary","November ","Site Diary28/11"
"1fffd4d4-0125-46d8-af12-2409fed7e485","","checklist-flat","work-in-progress","Site Diary","checklist-flat","FALSE","FALSE","Site Diary","November ","Site Diary29/11"
"3a8bd11c-acaf-4da7-a69c-f162c3f80e21","","folder-normal","work-in-progress","","step","TRUE","FALSE","Toolbox"
"66148765-ead0-43c8-9f61-a6f61665c038","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox","Jan 23"
"faffc0e5-add1-49e1-b18b-e3bec1f4abb3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox","Feb 23"
"fb9fdce6-3dfd-4aff-9c3b-0771dffa3b82","","folder-normal","work-in-progress","","step","TRUE","FALSE","Toolbox","Mar 23"
"ae5e24c5-a0cf-4c7a-ad7d-bc25ee14c623","","checklist-flat","work-in-progress","Toolbox Meeting","checklist-flat","FALSE","FALSE","Toolbox","Mar 23","Toolbox Meeting26/5/23"
"9983eb54-ea9e-480e-8758-36c06d8f6e6a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox","Apr 23"
"9bff0382-f859-47a0-980f-2728e46c598a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox","May 23"
"2d901d74-f4e6-4587-8fb7-c3c9e64d9fc3","","folder-normal","work-in-progress","","step","TRUE","FALSE","Toolbox","Jun 23"
"516c8c3e-49d3-4cd4-bdc2-1acc7180b80a","","checklist-flat","work-in-progress","Toolbox Meeting","checklist-flat","FALSE","FALSE","Toolbox","Jun 23","Toolbox Meeting2/6/93"
"4b7329d8-bcf5-46e4-84b2-80483071b8f2","","checklist-flat","work-in-progress","Toolbox Meeting","checklist-flat","FALSE","FALSE","Toolbox","Jun 23","Toolbox Meeting 9/6 23"
