"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Structure - Pads"
,"Scope",,,"structure"
,"Rows"
,,"Pads",,"pads","structure"
,"Columns"
,,"Crane & Lift Base",,"crane & lift base"
,,"Crane & Lift Walls",,"crane & lift walls"
,,"Stair 2 Base",,"stair 2 base"
,,"Stair 2 Walls",,"stair 2 walls"
,,"Stair 2 Stairs (B1-GD)",,"stair 2 stairs (b1-gd)"
,,"Toilet Core",,"toilet core"
,,"Fire Pump Room",,"fire pump room"
,,"OSD",,"osd"
,,"Pile Capes (North)",,"pile capes (north)"
,,"Pile Capes (South)",,"pile capes (south)"

"Structure - Levels"
,"Scope",,,"structure"
,"Rows"
,,"Ground Floor",,"ground floor","structure"
,,"Level 1",,"level 1","structure"
,,"Level 2",,"level 2","structure"
,,"Level 3",,"structure","level 3"
,,"Roof",,"roof","structure"
,"Columns"
,,"Slab",,"slab"
,,"Masonry Retaining Wall (Lobby Mezz)",,"masonry retaining wall (lobby mezz)"
,,"Slab (Lobby Mezz)",,"slab (lobby mezz)"
,,"Lift Core (GD-L1)",,"lift core (gd-l1)"
,,"Toilet Core (GD-L1)",,"toilet core (gd-l1)"
,,"Stair 2 Core (GD-L1)",,"stair 2 core (gd-l1)"
,,"Stair 1 (GD-L1)",,"stair 1 (gd-l1)"
,,"Stair 2 (GD-L1)",,"stair 2 (gd-l1)"
,,"Steel Vertical (GD-L1)",,"steel vertical (gd-l1)"
,,"Structure Handover",,"structure handover"
,,"Steel Horizontal",,"steel horizontal"
,,"Lift Core (L1-L2)",,"lift core (l1-l2)"
,,"Toilet Core (L1-L2)",,"toilet core (l1-l2)"
,,"Stair 2 Core (L1-L2)",,"stair 2 core (l1-l2)"
,,"Stair 1 (L1-L2)",,"stair 1 (l1-l2)"
,,"Stair 2 (L1-L2)",,"stair 2 (l1-l2)"
,,"Steel Vertical (L1-L2)",,"steel vertical (l1-l2)"
,,"Lift Core (L2-L3)",,"lift core (l2-l3)"
,,"Toilet Core (L2-L3)",,"toilet core (l2-l3)"
,,"Stair 2 Core (L2-L3)",,"stair 2 core (l2-l3)"
,,"Stair 1 (L2-L3)",,"stair 1 (l2-l3)"
,,"Stair 2 (L2-L3)",,"stair 2 (l2-l3)"
,,"Steel Vertical (L2-L3)",,"steel vertical (l2-l3)"
,,"Lift Core (L3-Roof)",,"lift core (l3-roof)"
,,"Toilet Core (L3-Roof)",,"toilet core (l3-roof)"
,,"Stair 2 Core (L3-Roof)",,"stair 2 core (l3-roof)"
,,"Steel Vertical (L3-Roof)",,"steel vertical (l3-roof)"
,,"Lift Lid",,"lift lid"
,,"Plant Room Slab",,"plant room slab"
,,"Stair 2 Lid",,"stair 2 lid"

"Fit-Out & Facade"
,"Scope",,,"fit-out & facade"
,"Rows"
,,"Ground Floor",,"ground floor","fit-out & facade"
,,"Level 1",,"level 1","fit-out & facade"
,,"Level 2",,"level 2","fit-out & facade"
,,"Level 3",,"level 3","fit-out & facade"
,"Columns"
,,"Masonry Walls (Internal)",,"masonry walls (internal)"
,,"Masonry Walls (Platers Boxes)",,"masonry walls (platers boxes)"
,,"Electrical",,"electrical"
,,"Fire Services",,"fire services"
,,"Hydraulic",,"hydraulic"
,,"Mechanical",,"mechanical"
,,"Level Compliance (Fire Rating)",,"level compliance (fire rating)"
,,"Plasterboard",,"plasterboard"
,,"Waterproofing",,"waterproofing"
,,"Tiling",,"tiling"
,,"Windows & Glazing",,"windows & glazing"

