Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Foundations Progress,,,,,,
,Scope,,,,,
,Rows,,,,,
,,Buildings,dynamic,Woodview - N30,,
,Columns,,,,,
,,Concrete Pours/Reinforcing,,concrete pours/reinforcing,,
,,Underslab Services,,underslab services,,
,,Sub Grade,,sub grade,,
,,Waterproofing,,waterproofing,,
,,,,,,
Structure Progress,,,,,,
,Scope,,,Structure,,
,Rows,,,,,
,,Building A,dynamic,Building A,Structure,
,,Building B,dynamic,Building B,Structure,
,,Building C,dynamic,Building C,Structure,
,,Building D,dynamic,Building D,Structure,
,Columns,,,,,
,,Precast Walls,,precast walls,,
,,Structural Steel,,structural steel,,
,,Precast Flooring,,precast flooring,,
,,Concrete Pour/Slabs,,concrete pour/slabs,,
,,Grout,,grout,,
,,Precast Balconies,,precast balconies,,
,,Precast Stairs,,precast stairs,,
,,,,,,
Facade Progress,,,,,,
,Scope,,,Facade,,
,Rows,,,,,
,,Building A,grouping,Building A,,
,,Level 0,,Level 0,Building A,
,,Level 1,,Level 1,Building A,
,,Level 2,,Level 2,Building A,
,,Level 3,,Level 3,Building A,
,,Level 4,,Level 4,Building A,
,,Level 5,,Level 5,Building A,
,,Building B,grouping,Building B,,
,,Level 0,,Level 0,Building B,
,,Level 1,,Level 1,Building B,
,,Level 2,,Level 2,Building B,
,,Level 3,,Level 3,Building B,
,,Level 4,,Level 4,Building B,
,,Building C,grouping,Building C,,
,,Level 0,,Level 0,Building C,
,,Level 1,,Level 1,Building C,
,,Level 2,,Level 2,Building C,
,,Building D,grouping,Building D,,
,,Level 0,,Level 0,Building D,
,,Level 1,,Level 1,Building D,
,,Level 2,,Level 2,Building D,
,Columns,,,,,
,,Exterior wall framing,,exterior wall framing,,
,,Building Wrap,,building wrap,,
,,Cavity System,,cavity system,,
,,Deck membrane,,deck membrane,,
,,Exterior Joinery,,exterior joinery,,
,,Exterior 1st fix,,exterior 1st fix,,
,,Exterior soffit framing & lining,,exterior soffit framing & lining,,
,,Exterior cladding Linea Oblique Weatherboard,,exterior cladding linea oblique weatherboard,,
,,Balustrades,,balustrades,,
,,Fins,,fins,,
,,Gutters/downpipes,,gutters/downpipes,,
,,Exterior painting,,exterior painting,,
,,Decking,,decking,,
,,Exterior 2nd fix services,,exterior 2nd fix services,,
,,Exterior Masonry (Ground level only),,exterior masonry (ground level only),,
,,,,,,
Interior Fitout Progress,,,,,,
,Scope,,,interior fitout,,
,Rows,,,,,
,,Building A - L0,dynamic,interior fitout,l0,building a
,,Building A - L1,dynamic,interior fitout,building a,l1
,,Building A - L2,dynamic,interior fitout,building a,l2
,,Building A - L3,dynamic,interior fitout,building a,l3
,,Building A - L4,dynamic,interior fitout,l4,building a
,,Building A - L5,dynamic,interior fitout,building a,l5
,,Building B - L0,dynamic,interior fitout,l0,building b
,,Building B - L1,dynamic,interior fitout,l1,building b
,,Building B - L2,dynamic,interior fitout,building b,l2
,,Building B - L3,dynamic,interior fitout,building b,l3
,,Building B - L4,dynamic,interior fitout,l4,building b
,,Building C - L0,dynamic,interior fitout,l0,building c
,,Building C - L1,dynamic,interior fitout,l1,building c
,,Building C - L2,dynamic,interior fitout,l2,building c
,,Building D - L0,dynamic,building d,interior fitout,l0
,,Building D - L1,dynamic,building d,interior fitout,l1
,,Building D - L2,dynamic,building d,interior fitout,l2
,Columns,,,,,
,,Interior framing,,interior framing,,
,,Steel Stud,,steel stud,,
,,Plumbing First Fix,,plumbing first fix,,
,,Electrical First Fix,,electrical first fix,,
,,Mechanical First Fix,,mechanical first fix,,
,,Passive Fire,,passive fire,,
,,Preline/ Wall Linings,,preline/ wall linings,,
,,Postline/Wall Linings,,postline/wall linings,,
,,Gib stopping,,gib stopping,,
,,Painting,,painting,,
,,Bathroom & Laundry Waterproofing,,bathroom & laundry waterproofing,,
,,Joinery Fit Out,,joinery fit out,,
,,Floor coverings,,floor coverings,,
,,Fire System,,fire system,,
,,Scarbro Final Sign - Off,,scarbro final sign - off,,
