Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Drains,,,,,,
,Scope,,,Drains.,,
,Rows,,,,,
,,Novotel - Ground,grouping,Novotel - Ground,,
,,Ground,,Ground,Novotel,Drains.
,,Novotel - Level 1,grouping,Novotel - Level 1,,
,,Level 1,,Level 1,Novotel,Drains.
,,Novotel - Level 2,dynamic,Level 2,Novotel,Drains.
,,Novotel - Level 3,dynamic,Level 3,Novotel,Drains.
,,Novotel - Level 4,dynamic,Level 4,Novotel,Drains.
,,Novotel - Level 5,dynamic,Level 5,Novotel,Drains.
,,Novotel - Level 6,dynamic,Level 6,Novotel,Drains.
,,Novotel - Level 7,dynamic,Level 7,Novotel,Drains.
,,Novotel - Level 8,dynamic,Level 8,Novotel,Drains.
,,Novotel - Level 9,dynamic,Level 9,Novotel,Drains.
,,Novotel - Roof,grouping,Novotel - Roof,,
,,Roof,,Roof,Novotel,Drains.
,,IBIS - Ground,grouping,IBIS - Ground,,
,,Ground,,Ground,IBIS,Drains.
,,IBIS - Level 1,grouping,IBIS - Level 1,,
,,Level 1,,Level 1,IBIS,Drains.
,,IBIS - Level 2,dynamic,Level 2,IBIS,Drains.
,,IBIS - Level 3,dynamic,Level 3,IBIS,Drains.
,,IBIS - Level 4,dynamic,Level 4,IBIS,Drains.
,,IBIS - Level 5,dynamic,Level 5,IBIS,Drains.
,,IBIS - Level 6,dynamic,Level 6,IBIS,Drains.
,,IBIS - Level 7,dynamic,Level 7,IBIS,Drains.
,,IBIS - Level 8,dynamic,Level 8,IBIS,Drains.
,,IBIS - Level 9,dynamic,Level 9,IBIS,Drains.
,Columns,,,,,
,,Drains ,,Drains ,,
,,Smoke Seal Penetrations,,Smoke Seal Penetrations,,
,,Acoustic Lagging,,Acoustic Lagging,,
,,Testing (Water/Air),,Testing (Water/Air),,
,,,,,,
Rough In,,,,,,
,Scope,,,Rough In,,
,Rows,,,,,
,,Novotel - Ground,grouping,Novotel - Ground,,
,,Ground,,Ground,Novotel,Rough In
,,Novotel - Level 1,grouping,Novotel - Level 1,,
,,Level 1,,Level 1,Novotel,Rough In
,,Novotel - Level 2,dynamic,Level 2,Novotel,Rough In
,,Novotel - Level 3,dynamic,Level 3,Novotel,Rough In
,,Novotel - Level 4,dynamic,Level 4,Novotel,Rough In
,,Novotel - Level 5,dynamic,Level 5,Novotel,Rough In
,,Novotel - Level 6,dynamic,Level 6,Novotel,Rough In
,,Novotel - Level 7,dynamic,Level 7,Novotel,Rough In
,,Novotel - Level 8,dynamic,Level 8,Novotel,Rough In
,,Novotel - Level 9,dynamic,Level 9,Novotel,Rough In
,,Novotel - Roof,grouping,Novotel - Roof,,
,,Roof,,Roof,Novotel,Rough In
,,IBIS - Ground,grouping,IBIS - Ground,,
,,Ground,,Ground,IBIS,Rough In
,,IBIS - Level 1,grouping,IBIS - Level 1,,
,,Level 1,,Level 1,IBIS,Rough In
,,IBIS - Level 2,dynamic,Level 2,IBIS,Rough In
,,IBIS - Level 3,dynamic,Level 3,IBIS,Rough In
,,IBIS - Level 4,dynamic,Level 4,IBIS,Rough In
