type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Voltex Installation,,,,,,,
section,Details,,,,,,,
checkpoint,Substrate acceptable,,,,,,,
checkpoint,Voltex installed as per specifications,,,,,,,
checkpoint,Penetrations detailed,,,,,,,
checkpoint,Waterbars installed,,,,,,,
checkpoint,Marked up drawing of membrane location,,,,,,,
,,,,,,,,
checklist,Swelltite Installation,,,,,,,
section,Details,,,,,,,
checkpoint,Substrate acceptable,,,,,,,
checkpoint,Swelltite installed as per specifications,,,,,,,
checkpoint,Termination/Cetcoat detail installed as per specifications,,,,,,,
checkpoint,Penetrations detailed,,,,,,,
checkpoint,Waterbars installed,,,,,,,
checkpoint,Marked up drawing of membrane location,,,,,,,
