"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"998aab5d-840c-4b2b-8803-50b67447b46c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Tower 1 (West)"
"99f71ef6-3143-447e-be97-4ea3f78cda7e","","folder-normal","pass","","step","TRUE","FALSE","Tower 1 (West)","Level 1"
"59a0a350-bbd2-48d2-94d1-cd2c017320b1","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 1","Apartment 401"
"013a3352-982c-4b16-9ca6-dd761cbcb87f","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 1","Apartment 402"
"d8e04eac-efaf-4c4c-a2e7-aacdf88fd26e","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 1","Apartment 403"
"d5d27a43-38b7-49bb-9566-421c1d2dcd22","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 1","Apartment 404"
"36978849-8e28-4ccc-9bd9-c112f376ad47","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 1","Apartment 405"
"9ebe6c07-35ea-4089-ac1a-8edb8d407ebf","","folder-normal","work-in-progress","","step","TRUE","FALSE","Tower 1 (West)","Level 2"
"d1693dd8-3cf7-4b08-af93-c49e1a2d51f8","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 2","Apartment 501"
"8daf5101-8454-477c-894a-a548aafee521","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 2","Apartment 502"
"97062fa8-c57b-4747-a0f0-56cac6f36803","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 2","Apartment 503"
"c2e7f0ef-ab92-4a55-99ca-2bbc4d92e4f2","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 2","Apartment 504"
"736c3486-bf10-47da-82e3-aa9fd2edfb9c","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 2","Apartment 505"
"4f6c8d98-1932-47be-aa19-9d6b3d49fa64","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 2","Apartment 506"
"b0ed449c-f170-4d88-b0c9-35c50c1e5d0d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Tower 1 (West)","Level 3"
"a6bacd85-f571-400e-a8f7-ca0ed652381a","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 3","Apartment 601"
"47464fcd-81ba-44d6-bff4-6aa8de109e92","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 3","Apartment 602"
"d50e2ef7-f096-4462-88d1-78955109726b","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 3","Apartment 603"
"9ad33a22-ccad-48dd-884c-2d87985c9a20","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 3","Apartment 604"
"b96e030e-6395-49fe-b705-30cbd265994c","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 3","Apartment 605"
"b1b5b4c4-846e-4fdd-b315-bdf923e90da2","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 3","Apartment 606"
"92219097-8a14-4735-a45a-be137766568a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Tower 1 (West)","Level 4"
"3b7d899f-059e-4143-a1c8-0d96a63db1d2","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 4","Apartment 701"
"55166044-af3f-47ea-a717-f8a4e1efb932","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 4","Apartment 702"
"7d81c786-065b-4e65-ba48-99b45ce70f1c","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 4","Apartment 703"
"4c078882-fb6d-4eba-925f-56d6c48c5313","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 1 (West)","Level 4","Apartment 704"
"8ae6c1ff-5473-44b8-8561-fd2412eb69e1","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 4","Apartment 705"
"5577a2f5-9943-41c2-b6f5-06f9427e5e6b","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 4","Apartment 706"
"abfa0776-3f87-45bc-8793-da6df28d414a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Tower 1 (West)","Level 5"
"329f6ccb-24bf-42a0-92b2-a08b342c854d","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 5","Apartment 801"
"5322d444-0ad9-4468-9b1a-2b308cd72125","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 5","Apartment 802"
"4cd9bf22-3686-4c03-9eb8-225ae5515af3","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 5","Apartment 803"
"80182390-01d6-4474-8391-a30bfd1d2a3f","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 1 (West)","Level 5","Apartment 804"
"9edcff7a-f2c2-4347-88a3-f76212ea0dc5","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 5","Apartment 805"
"d247a48f-7f26-4493-aac9-1d2008de5e2d","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 5","Apartment 806"
"4246746b-7c3e-43ce-84a8-6fc31efeceb1","","folder-normal","work-in-progress","","step","TRUE","FALSE","Tower 1 (West)","Level 6"
"f4aabcb0-ba26-4ffb-8142-f63be1bd55c3","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 6","Apartment 901"
"0fdd8999-418b-442a-a89d-3e81f9e4777c","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 6","Apartment 902"
"aaf10763-ff9e-4fff-b91d-9cb03c85b8e8","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 6","Apartment 903"
"25079cf3-3d24-4090-b752-e85bb2ab3142","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 6","Apartment 904"
"d1238412-eb2f-4cd6-a0c2-00930ce4987d","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 6","Apartment 905"
"4f15fa46-bab2-4f91-bed7-f6932f238d07","","folder-normal","work-in-progress","","step","TRUE","FALSE","Tower 1 (West)","Level 7"
"b7cdc089-8db6-4eee-b36c-1ac6287fce53","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 7","Apartment 1001"
"47d31d37-74e5-4bfa-b3e4-f28cd9ebab5d","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 7","Apartment 1002"
"8550de89-2d8a-4643-8dc5-d7e87fe134f6","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 1 (West)","Level 7","Apartment 1003"
