resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,
,step,,,Site QA,,,,,,,,,,,,,
,step,,,,Basement 1,,,,,,,,,,,,
Internal Drainage Checklist,checklist,,,,,Internal Drainage,,,,,,,,,,,
Internal Stormwater Checklist,checklist,,,,,Internal Stormwater,,,,,,,,,,,
Sewer Stacks / Storm Water Stacks Checklist,checklist,,,,,Sewer Stacks / Storm water stacks,,,,,,,,,,,
,step,,,,Ground,,,,,,,,,,,,
Internal Drainage Checklist,checklist,,,,,Internal Drainage,,,,,,,,,,,
Internal Stormwater Checklist,checklist,,,,,Internal Stormwater,,,,,,,,,,,
Sewer Stacks / Storm Water Stacks Checklist,checklist,,,,,Sewer Stacks / Storm water stacks,,,,,,,,,,,
,step,,,,Level 1,,,,,,,,,,,,
Internal Drainage Checklist,checklist,,,,,Internal Drainage,,,,,,,,,,,
Internal Stormwater Checklist,checklist,,,,,Internal Stormwater,,,,,,,,,,,
Sewer Stacks / Storm Water Stacks Checklist,checklist,,,,,Sewer Stacks / Storm water stacks,,,,,,,,,,,
,step,,,,Level 2,,,,,,,,,,,,
Internal Drainage Checklist,checklist,,,,,Internal Drainage,,,,,,,,,,,
Internal Stormwater Checklist,checklist,,,,,Internal Stormwater,,,,,,,,,,,
Sewer Stacks / Storm Water Stacks Checklist,checklist,,,,,Sewer Stacks / Storm water stacks,,,,,,,,,,,
,step,,,,Level 3,,,,,,,,,,,,
Internal Drainage Checklist,checklist,,,,,Internal Drainage,,,,,,,,,,,
Internal Stormwater Checklist,checklist,,,,,Internal Stormwater,,,,,,,,,,,
Sewer Stacks / Storm Water Stacks Checklist,checklist,,,,,Sewer Stacks / Storm water stacks,,,,,,,,,,,
,step,,,,Level 4,,,,,,,,,,,,
Internal Drainage Checklist,checklist,,,,,Internal Drainage,,,,,,,,,,,
Internal Stormwater Checklist,checklist,,,,,Internal Stormwater,,,,,,,,,,,
Sewer Stacks / Storm Water Stacks Checklist,checklist,,,,,Sewer Stacks / Storm water stacks,,,,,,,,,,,
,step,,,,West Tower,,,,,,,,,,,,
,step,,,,,Level 5,,,,,,,,,,,
Internal Drainage Checklist,checklist,,,,,,Internal Drainage,,,,,,,,,,
