type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-flat,Daily Weather Check,,,,,,,
checkpoint,Temperature air temp above 5 degrees,,,,,,,
checkpoint,Rain forecast,,,,,,,
,,,,,,,,
checklist-flat,Grand Seal - Caulking ITP,,,,,,,
checkpoint,Drawing - can upload level/elevation for this checklist below,,,,,,,
checkpoint,"Substrate Preparation - Clean, Sound & Dry",,,,,,,
checkpoint,Baffle Installed,,,,,,,
label,Product installed – Granor 100mm,,,,,,,
label,Baffle spans the full width of joint – No excessive gaps between the panel and baffle,,,,,,,
label,Baffle fixed at the top and extends the full length of the elevation/panels,,,,,,,
checkpoint,Primer installed  ,,,,,,,
label,Photo of batch number attached,,,,,,,
checkpoint,Backing rod installed  ,,,,,,,
select,Type  ,"Closed cell polyethylene backer rod,Open cell polyethylene backer rod",,,,,,
checkpoint,Installation - Internal Caulk (Tremco Spectrum 1),,,,,,,
label,Photo of batch number attached,,,,,,,
label,13mm max depth,,,,,,,
checkpoint,Installation - Internal Caulk (Sika Hyflex),,,,,,,
label,Photo of batch number attached,,,,,,,
select,Joint width + Depth,"10mm Width = 10mm Depth,15mm Width = 10mm Depth,20mm Width = 10mm Depth,30mm Width = 15mm Depth,35mm Width = 17mm Depth, Other (Specify below)",,,,,,
textbox,Specify if other,,,,,,,
checkpoint,Finish,,,,,,,
label,Sealant tooled off / neat finish,,,,,,,
checkpoint,Installation - External Caulk (Tremco Spectrum 1),,,,,,,
label,Photo of batch number attached,,,,,,,
label,13mm max depth,,,,,,,
checkpoint,Installation - External Caulk (Sika Hyflex),,,,,,,
label,Photo of batch number attached,,,,,,,
select,Joint width + Depth,"10mm Width = 10mm Depth,15mm Width = 10mm Depth,20mm Width = 10mm Depth,30mm Width = 15mm Depth,35mm Width = 17mm Depth, Other (Specify below)",,,,,,
textbox,Specify if other,,,,,,,
checkpoint,Finish,,,,,,,
label,Sealant tooled off / neat finish,,,,,,,
checkpoint,Metal Plate,,,,,,,
label,Metal plate installed over internal joint wit sealant to both sides,,,,,,,
