Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Framed Baluster Progress,,,,,,,
,Scope,,,,,,
,Rows,,,,,,
,,Balconies - GF,grouping,Balconies - GF,,,
,,Flexi Learning 3,expanded,Flexi Learning 3,GF,Balconies,
,,Balconies - Level 1,grouping,Balconies - Level 1,,,
,,Flexi Learning 4,expanded,Flexi Learning 4,Level 1,Balconies,
,,Outdoor Learning 6,expanded,Outdoor Learning 6,Level 1,Balconies,
,,Breezeway,expanded,Breezeway,Level 1,Balconies,
,,Stairs,grouping,Stairs,,,
,,Stair 1 - Flight 1,expanded,Framed Baluster,Flight 1,Stair 1,Stairs
,,Stair 1 - Flight 2,expanded,Framed Baluster,Flight 2,Stair 1,Stairs
,,Stair 2 - Flight 1,expanded,Framed Baluster,Flight 1,Stair 2,Stairs
,,Stair 2 - Flight 2,expanded,Framed Baluster,Flight 2,Stair 2,Stairs
,,HVAC Enclosure,grouping,HVAC Enclosure,,,
,,GF - HVAC,expanded,HVAC,GF,HVAC Enclosure,
,Columns,,,,,,
,,Work area acceptable & approval to start work,,Work area acceptable & approval to start work,,,
,,Fixing Details checked,,Fixing Details checked,,,
,,Fixing Substrate Type,Fixing Substrate Type,Fixing Details checked,,,
,,Setout as per CAD drawings,,Setout as per CAD drawings,,,
,,Position materials & mark drill points,,Position materials and mark drill points,,,
,,Drill depth,Drill depth,Position materials and mark drill points,,,
,,Threaded Rod/Coach Screw/Bolt Size,Threaded Rod/Coach Screw/Bolt Size,Position materials and mark drill points,,,
,,Length of Rod/Coach Screw/Bolt Size,Length of  Rod/Coach Screw/Bolt Size,Position materials and mark drill points,,,
,,Epoxy Type,Epoxy Type,Position materials and mark drill points,,,
,,Neoprene Gasket Installed as per PS1,,Neoprene Gasket Installed as per PS1,,,
,,Install posts & Panels,,Install posts and Panels,,,
,,Confirm Plumb/level/Square final positions,,Confirm Plumb/level/Square final positions,,,
,,Install Inner and Top Rail & Endcaps,,Install Inner and Top Rail and Endcaps,,,
,,"All work completed, reviewed & approved",,"All work completed, reviewed and approved",,,
,,,,,,,
Stairs Progress,,,,,,,
,Scope,,,Stairs,,,
,Rows,,,,,,
,,Stair 1,grouping,Stair 1,,,
,,Flight 1,expanded,Stairs.,Flight 1,Stair 1,Stairs
,,Flight 2,expanded,Stairs.,Flight 2,Stair 1,Stairs
,,Stair 2,grouping,Stair 2,,,
,,Flight 1,expanded,Stairs.,Flight 1,Stair 2,Stairs
,,Flight 2,expanded,Stairs.,Flight 2,Stair 2,Stairs
,Columns,,,,,,
,,"Install J-Mounts, Leada Rail & End Caps",,"Install J-Mounts, Leada Rail and End Caps",Stairs.,,
,,"Silicone gaps, Confirm not bigger than 2mm",,"Silicone gaps, Confirm not bigger than 2mm",Stairs.,,
,,"All work completed, reviewed & approved",,"All work completed, reviewed and approved",Stairs.,,
