"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4a4637ca-d980-4e4e-b33c-1203ad416978","","folder-normal","work-in-progress","","step","TRUE","FALSE","Ground & Core"
"c905aa88-c3a3-4755-9938-a05c2ba2beb4","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","201"
"663ffa77-552a-4318-b43f-c4a6fb6fcc7e","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","202"
"2fac50ef-b0f1-4b8a-a8d7-6d9288fce54c","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","203"
"0a176b71-e150-4375-8c7a-2a3c7824a3b4","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","204"
"c7c2aff7-153c-4678-9020-a9dad5c2d11a","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","205"
"6ea14d11-3049-43c9-bcd2-d60df2847b8b","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","206"
"ea5b637a-e7af-44c8-b3fe-386f70b2cce7","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","207"
"7d36a8cc-c62f-4292-9a41-22b41f831302","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","208"
"5d9c5c30-3ec5-4882-a65a-71c8cc5cf930","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","209"
"9ea6ee24-f901-46ab-b034-9ab45afc84ae","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","210"
"73a3b93c-bd9b-4898-a265-bf44632959fd","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","211"
"4a348ac4-0aa3-466c-8ca4-2499395f0ea4","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","212"
"7f6ef2af-436f-40b4-952a-815a3d6c18d0","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","213"
"32922f0d-718c-4838-a17d-e0cbadadd942","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","214"
"ba845833-a465-4d09-b244-b0fab4a716e5","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","215"
"e4f78ac8-7f4b-400e-9705-e0b1085c0eaa","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","216"
"d32c18e6-0a47-4a25-92d7-653118405863","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","217"
