"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"455e3589-ad46-46c2-8de5-ef5f4ee464d3","","no-status-started","SYS - PT - Job Details","checklist","FALSE","FALSE","Job Details"
"3f79eb4b-5907-492b-8751-2c33c5344f40","","work-in-progress","","folder","FALSE","FALSE","Health & Safety"
"a185a5a5-23de-4e9b-963d-91475879ecd5","","no-status-started","SYS - PT - Prestart H&S Documents","checklist","FALSE","FALSE","Health & Safety","Prestart H&S Documents"
"f0ad9aaf-b110-4a3b-b658-4358953c244f","","work-in-progress","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly Health & Safety"
"eb62b64e-5bd5-4524-b7d1-07dbcc2ca092","","no-status-not-started","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks"
"2d53da8b-d603-411e-948f-542acddafa55","","no-status-not-started","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections"
"c66b8574-7836-47a0-8b8a-12319c69caec","","no-status-not-started","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Accident/Incident Reports"
"d30eccaa-3447-4937-9f51-ff8ee99ac3cf","","work-in-progress","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Task Analysis"
"9908d677-20e8-4c21-93e6-2aa472b9289b","","work-in-progress","3eb60bac729774bbad29a6e421eb33b5d82bc383dadace99f1ce878bc81c9e68","checklist","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Task Analysis","Task Analysis 18/06/24"
"b55e3f9e-4e48-4414-b6cb-577e44ec2937","","pass","H&S - Site Safety Inspection","checklist","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Task Analysis","H&S - Site Safety Inspection 18/06/24"
"fc1cf9ee-031a-4cc5-a0a6-edfbdbe7e350","","work-in-progress","","folder","TRUE","FALSE","QA"
"eba95e62-4e8a-4179-b3a8-a8b4635384d4","","pass","QA - Kingspan Roof Checklist","checklist","FALSE","FALSE","QA","QA - Kingspan Roofing Checklist"
"05a12499-2497-4139-8c38-249a4c925812","","not-started","QA - Gutters","checklist","FALSE","FALSE","QA","Gutters"
"5b0269a8-253d-4ed7-b484-dac47d4c68bf","","not-started","QA - Flashings","checklist","FALSE","FALSE","QA","Flashings"
"93f9bb1c-3bd9-49ed-8a30-d809c4b6a285","","no-status-not-started","","folder","TRUE","FALSE","Variations"
"dc65bf8e-2611-47b9-84b1-f926ff1b1699","","no-status-not-started","","folder","TRUE","FALSE","Variations","Thu Jun 01 2023 00:00:00 GMT+0000 (Coordinated Universal Time)"
"262345b8-7087-40c0-9a93-49aeb6a9d097","","no-status-not-started","","folder","TRUE","FALSE","Variations","Sat Jul 01 2023 00:00:00 GMT+0000 (Coordinated Universal Time)"
"8a386f59-4323-4ae9-a75e-30c04836d93c","","no-status-not-started","","folder","TRUE","FALSE","Variations","Tue Aug 01 2023 00:00:00 GMT+0000 (Coordinated Universal Time)"
"04a3140a-4804-4ca1-88d0-b3ac3f435980","","no-status-not-started","","folder","TRUE","FALSE","Variations","Fri Sep 01 2023 00:00:00 GMT+0000 (Coordinated Universal Time)"
"925580eb-e0b0-4bfb-be49-d524632c95bd","","no-status-not-started","","folder","TRUE","FALSE","Variations","Sun Oct 01 2023 00:00:00 GMT+0000 (Coordinated Universal Time)"
"e0f00d34-0a39-401a-bfb7-4001791e56cb","","no-status-not-started","","folder","TRUE","FALSE","Variations","Wed Nov 01 2023 00:00:00 GMT+0000 (Coordinated Universal Time)"
"8a149d25-4f41-46d4-98b1-136669f6aff4","","no-status-not-started","","folder","TRUE","FALSE","Variations","Fri Dec 01 2023 00:00:00 GMT+0000 (Coordinated Universal Time)"
"d7a7a2c1-83cf-4f04-8a02-062a46c1b590","","no-status-not-started","","folder","TRUE","FALSE","Delays / Damages"
