"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"63547979-012b-492a-a725-05ae2d6136e8","","no-status-started","SYS - PT - Job Details","checklist","FALSE","FALSE","Job Details"
"a1c0ac8e-e745-4c31-837f-959a619932f5","","no-status-started","","folder","FALSE","FALSE","Health & Safety"
"a746816a-3323-4d5d-9ecb-5d22c3fe0cae","","no-status-started","SYS - PT - Prestart H&S Documents","checklist","FALSE","FALSE","Health & Safety","Prestart H&S Documents"
"b2a832c3-f610-472c-b879-c12be3ff8f86","","no-status-not-started","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly Health & Safety"
"3eb619f5-ef71-42a7-a108-bc0071a18c2c","","no-status-not-started","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks"
"7f975183-7195-4715-8e88-868450fe6529","","no-status-not-started","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections"
"6793475f-c070-4497-b2dd-e79ae3e4806c","","no-status-not-started","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Accident/Incident Reports"
"7207487b-412f-4623-a2b0-280c721b5c18","","no-status-not-started","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Task Analysis"
"8931af87-bbd0-4603-bda9-f64d5118a3f9","","no-status-not-started","","folder","TRUE","FALSE","QA"
"f5deb279-3ec1-4d62-9737-cbeae322b45a","","no-status-not-started","","folder","TRUE","FALSE","Variations"
"646b3932-3a75-4738-8043-2cd699e2b348","","no-status-not-started","","folder","TRUE","FALSE","Variations","Thu Jun 01 2023 00:00:00 GMT+0000 (Coordinated Universal Time)"
"7ccd5207-f844-459e-b19f-26523d8e9db1","","no-status-not-started","","folder","TRUE","FALSE","Variations","Sat Jul 01 2023 00:00:00 GMT+0000 (Coordinated Universal Time)"
"899d697d-9964-44ae-9422-892e53b8dc31","","no-status-not-started","","folder","TRUE","FALSE","Variations","Tue Aug 01 2023 00:00:00 GMT+0000 (Coordinated Universal Time)"
"500a1d44-fa53-44f6-87f0-6e03f87e47e5","","no-status-not-started","","folder","TRUE","FALSE","Variations","Fri Sep 01 2023 00:00:00 GMT+0000 (Coordinated Universal Time)"
"1e752c36-f2c5-42d5-9484-6961634a3b19","","no-status-not-started","","folder","TRUE","FALSE","Variations","Sun Oct 01 2023 00:00:00 GMT+0000 (Coordinated Universal Time)"
"73784363-d515-439c-8ea4-0622a0297b2a","","no-status-not-started","","folder","TRUE","FALSE","Variations","Wed Nov 01 2023 00:00:00 GMT+0000 (Coordinated Universal Time)"
"ad0723d3-6738-48b9-923d-5e4366d80b56","","no-status-not-started","","folder","TRUE","FALSE","Variations","Fri Dec 01 2023 00:00:00 GMT+0000 (Coordinated Universal Time)"
"b795226f-4605-45e1-9257-b17785cc7ad8","","no-status-not-started","","folder","TRUE","FALSE","Delays / Damages"
