"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"14375268-3842-41ff-a0a6-4217f1054078","","no-status-started","SYS - PT - Job Details","checklist","FALSE","FALSE","Job Details"
"65679cbc-a618-49bc-b1a7-c62d1ca7ea7f","","work-in-progress","","folder","FALSE","FALSE","Health & Safety"
"8b6e1a2c-f9b3-447c-9f02-a75633cbe1f9","","no-status-started","SYS - PT - Prestart H&S Documents","checklist","FALSE","FALSE","Health & Safety","Prestart H&S Documents"
"57fe673d-df63-4ad5-ba76-b3dcc17c12b5","","work-in-progress","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly Health & Safety"
"29c23104-c2d2-4a82-bfbd-56440d1936e6","","no-status-not-started","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks"
"87695df6-663d-4e17-a529-aafdbcf6fdb3","","work-in-progress","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections"
"69372dbf-80f0-4a49-b394-2c56dd071738","","work-in-progress","H&S - Site Safety Inspection","checklist","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","H&S - Site Safety Inspection 22.08.24"
"470a962d-0a74-407a-b50d-d046d010a28d","","no-status-not-started","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Accident/Incident Reports"
"2a1772b7-104b-4f9c-9e13-4bf49e789bb8","","no-status-not-started","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly Health & Safety","T/A 17/5/24"
"2c38886f-2c00-46c1-bcff-244e3502c535","","not-started","QA - Roof Logic SM Membrane System","checklist","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Task Analysis 10/7/24"
"b88f16ef-9926-48cb-bf69-c3cb166fc53c","","work-in-progress","3eb60bac729774bbad29a6e421eb33b5d82bc383dadace99f1ce878bc81c9e68","checklist","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Task Analysis 22/ 08/ 24"
"fff1b679-caeb-4e9e-9887-318922eb3b05","","work-in-progress","3eb60bac729774bbad29a6e421eb33b5d82bc383dadace99f1ce878bc81c9e68","checklist","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Task Analysis 26/08/2024"
"239015c2-4db6-4644-8498-4a456bfb0552","","work-in-progress","3eb60bac729774bbad29a6e421eb33b5d82bc383dadace99f1ce878bc81c9e68","checklist","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Task Analysis 10/09/2024"
"52339332-2756-4571-a5b5-93eb8841dded","","work-in-progress","80bf1a3a761da83466809b52e37a98d666edb82060f60bcd505c5d65926fc18c","checklist","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Task Analysis 17/09/2024"
