"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8087e01d-514b-47c1-badf-f5eb7fb8b695","","folder-normal","work-in-progress","","step","TRUE","FALSE","Footings Ground"
"3710f621-f3f5-42e7-ade2-3f1a1a0fa91d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Footings Ground","Grid 1"
"c0af6d0a-917e-4db1-99cb-699458240988","","checklist-flat","pass","Boxing to Footing","checklist-flat","FALSE","FALSE","Footings Ground","Grid 1","Footing"
"07e17493-efaf-46d4-bd8a-1aab402d5670","","checklist-flat","pass","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 1","Precast Install"
"13911b0f-104b-497b-abee-129a323f92f9","","checklist-flat","work-in-progress","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 1","Ground Floor Slab"
"09c12d19-6a55-4f62-bcf8-dfb37e37523b","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Footings Ground","Grid 1","Window door Opening / Framing"
"936dae61-dd78-4754-b634-fec34e40b464","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Footings Ground","Grid 1","Framing to steel beam"
"b169bae6-6078-499e-b289-c29215708ca4","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Footings Ground","Grid 1","GIB Weatherline"
"3c8ade76-49df-4e66-9cbe-6869ed3de92c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Footings Ground","Grid 2"
"f3d8cb80-e1f3-4e62-b968-907ca0ad3eaf","","checklist-flat","pass","Boxing Pad","checklist-flat","FALSE","FALSE","Footings Ground","Grid 2","Pad"
"7cdf36af-2631-441b-ad3f-339063cf77e5","","checklist-flat","not-started","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 2","Precast Install"
"b7c5b51c-975a-4601-83ea-6ce57a99d4a4","","checklist-flat","not-started","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 2","Ground Floor Slab"
"4270057b-33da-4853-921a-f1d91d278983","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Footings Ground","Grid 2","Window door Opening / Framing"
"0777b09e-92a1-46c1-815f-6dff32098d62","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Footings Ground","Grid 2","Framing to steel beam"
"3f733115-7f2b-4f68-8d6b-e4663e914e07","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Footings Ground","Grid 2","GIB Weatherline"
"e929af68-255c-4064-96c8-ea15430dbc66","","folder-normal","work-in-progress","","step","TRUE","FALSE","Footings Ground","Grid 3"
"947a4466-5ffb-4cd9-8046-5ffce919a821","","checklist-flat","pass","Boxing to Footing","checklist-flat","FALSE","FALSE","Footings Ground","Grid 3","Footing"
"6867355f-459e-446d-9745-dd1df7e9f849","","checklist-flat","work-in-progress","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 3","Precast Install"
"9e6c5684-201d-45af-86ab-75c44cbbbded","","checklist-flat","not-started","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 3","Ground Floor Slab"
"0b3cd028-0e7d-4c2d-8b7d-ba6f1b07e9a2","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Footings Ground","Grid 3","Window door Opening / Framing"
"b48d5477-8372-43b0-8d4c-98d17a1baedd","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Footings Ground","Grid 3","Framing to steel beam"
"c8a0a645-1ace-4bf9-b40a-84554fdb239b","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Footings Ground","Grid 3","GIB Weatherline"
"44724e73-bbdb-4417-b130-4cee41b39038","","folder-normal","work-in-progress","","step","TRUE","FALSE","Footings Ground","Grid 4"
"35367a62-a37e-4d59-9363-50206d281dce","","checklist-flat","work-in-progress","Boxing Pad","checklist-flat","FALSE","FALSE","Footings Ground","Grid 4","Pad"
"eb22e2e9-c139-485a-bdfb-ff230bc22214","","checklist-flat","work-in-progress","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 4","Precast Install"
"fc824496-f90d-4d6c-b6fe-1f1dae97da0b","","checklist-flat","not-started","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 4","Ground Floor Slab"
"3abfc8d8-a9da-490b-a066-95f695c0b15a","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Footings Ground","Grid 4","Window door Opening / Framing"
"4df72240-418f-4418-a17d-b90ee8636451","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Footings Ground","Grid 4","Framing to steel beam"
"5bac5ace-a97b-40ae-8863-6e965b51be04","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Footings Ground","Grid 4","GIB Weatherline"
"f3d15582-cabb-4003-b2d8-8614a06c5b97","","folder-normal","work-in-progress","","step","TRUE","FALSE","Footings Ground","Grid 5"
"b2184b60-5cf5-4c5f-842a-5683cfcbbf7a","","checklist-flat","work-in-progress","Boxing to Footing","checklist-flat","FALSE","FALSE","Footings Ground","Grid 5","Footing"
"387010d5-5d97-4394-821d-d80a042d7c7c","","checklist-flat","not-started","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 5","Precast Install"
"f9fda3af-16c1-4368-b01e-ae8197553d30","","checklist-flat","work-in-progress","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 5","Ground Floor Slab"
"c99eb970-0dcc-4c54-83e2-355f610f01d2","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Footings Ground","Grid 5","Window door Opening / Framing"
"3fe048b5-c4e7-4678-9a12-4c51deacec26","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Footings Ground","Grid 5","Framing to steel beam"
"18a8d936-b8a3-401d-83d9-caf8f2c64f48","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Footings Ground","Grid 5","GIB Weatherline"
"25f77a23-6c50-4a74-8fb3-b1c18fbb44cf","","folder-normal","work-in-progress","","step","TRUE","FALSE","Footings Ground","Grid 6"
"bed89737-3a91-4103-8046-e0b8b17f5d7e","","checklist-flat","not-started","Boxing Pad","checklist-flat","FALSE","FALSE","Footings Ground","Grid 6","pad"
"21263617-25ab-4c2e-bc7a-6cd929b8eb87","","checklist-flat","work-in-progress","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 6","Precast Install"
"416ba0aa-2c5e-4a0a-a5d6-1e00d0024d42","","checklist-flat","not-started","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 6","Ground Floor Slab"
"924fe2d3-b88a-4b8d-9b66-c7ed5307b528","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Footings Ground","Grid 6","Window door Opening / Framing"
"096701d0-cfe7-49ce-a9bb-bc0ed37b103d","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Footings Ground","Grid 6","Framing to steel beam"
"dca92c01-e948-4c48-82d0-e7498c0c393c","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Footings Ground","Grid 6","GIB Weatherline"
"7f718274-4857-4273-94f0-a5367147a821","","folder-normal","work-in-progress","","step","TRUE","FALSE","Footings Ground","Grid 7"
"98fb0bdf-de49-4cfe-ac2c-0dbdc51eb9d4","","checklist-flat","not-started","Boxing Pad","checklist-flat","FALSE","FALSE","Footings Ground","Grid 7","pad"
"532f1f5d-fa17-42d7-810f-16b35c89e10f","","checklist-flat","work-in-progress","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 7","Precast Install"
"010c5042-4de8-447c-bbca-be264aae4115","","checklist-flat","work-in-progress","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 7","Ground Floor Slab"
"294a8f86-a397-42d9-a011-97f1dcdf581d","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Footings Ground","Grid 7","Window door Opening / Framing"
"a8f9aaed-b598-476c-a0d7-f13e53a54981","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Footings Ground","Grid 7","Framing to steel beam"
"8d5bfce0-afdb-43ed-8814-46516654c79a","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Footings Ground","Grid 7","GIB Weatherline"
"1dbfb134-8a47-4287-9c84-7c36b9c286df","","folder-normal","work-in-progress","","step","TRUE","FALSE","Footings Ground","Grid 8"
"790f61eb-74a6-4ecc-86b8-6d6ae76c459f","","checklist-flat","pass","Boxing to Footing","checklist-flat","FALSE","FALSE","Footings Ground","Grid 8","Footing"
"fe4f8e0a-8520-4360-8979-96fd352c644b","","checklist-flat","work-in-progress","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 8","Precast Install"
"969050bb-deb6-48c9-936b-0ca07bf0d91f","","checklist-flat","work-in-progress","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 8","Ground Floor Slab"
"56a66ed9-6422-42f1-affe-e8e09fcd8e5d","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Footings Ground","Grid 8","Window door Opening / Framing"
"eaf004ce-4a82-4a09-b84b-dc0ec0f1e581","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Footings Ground","Grid 8","Framing to steel beam"
"75bb9e82-696c-4aa8-92f6-df6f915f01c7","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Footings Ground","Grid 8","GIB Weatherline"
"1190a73e-dcdf-4399-a418-6015a46858bb","","folder-normal","not-started","","step","TRUE","FALSE","Footings Ground","Grid 9"
"5e92b57b-5c5d-4759-b363-2eb9b7b903e9","","checklist-flat","not-started","Boxing Pad","checklist-flat","FALSE","FALSE","Footings Ground","Grid 9","pad"
"235a43d3-84f4-4152-8409-d4945d8b3c46","","checklist-flat","not-started","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 9","Precast Install"
"0ad9cc44-dd41-44aa-8cb6-9d9b2d8816bf","","checklist-flat","not-started","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 9","Ground Floor Slab"
"95c077b2-30a4-46e3-b233-44738d5f78b0","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Footings Ground","Grid 9","Window door Opening / Framing"
"e8761841-60f0-44c0-ad6d-a553f601c8ee","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Footings Ground","Grid 9","Framing to steel beam"
"931b0ea2-414f-421c-9e1b-7050d1780a1c","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Footings Ground","Grid 9","GIB Weatherline"
"ed8c425a-cfad-4d26-9203-fb6a7bc15aa2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Footings Ground","Grid 10"
"83846aff-305b-49c2-ba81-a95242717d71","","checklist-flat","pass","Boxing to Footing","checklist-flat","FALSE","FALSE","Footings Ground","Grid 10","Footing"
"cca99212-081c-4275-ae02-b6bacaa8f699","","checklist-flat","work-in-progress","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 10","Precast Install"
"f749cc7f-0dd2-425d-9653-e50d5d282e65","","checklist-flat","work-in-progress","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 10","Ground Floor Slab"
