"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f9f38cf7-7dc1-466e-bfc5-6885de9a01e8","","checklist-flat","","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"c982f8ce-6726-4ac9-9acc-982c6e63315b","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA"
"98a97990-3fbe-49bf-b047-f36b912b1a56","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Double Tees"
"b986ee38-e33f-4e79-87d8-7ac9df34c8e0","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Ribs"
"353637b4-a24b-4b3d-b611-0c13bc5b54c1","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Flat Slabs"
