"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9eb48cc0-0b75-4cd3-8247-a52e7c96c866","","checklist-flat","","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"d7fb4e94-34dd-4575-af64-a3d1cf850a5e","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA"
"20c8da22-f97b-4327-9637-4c8e005caed7","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Double Tees"
"94808570-0003-4df9-ae84-0fdca17ef4e0","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Ribs"
"d0679ed0-0f6e-4350-87d6-da6a3a7c7819","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Flat Slabs"
