"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8e012d56-72bf-4f09-9d95-695db63b1da9","","checklist-flat","","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"9b80c639-7eeb-4112-850e-0eef65e4f643","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA"
"4b8ecf02-e8a5-4d1e-a889-8731e1750ad7","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Double Tees"
"d521d39f-88ee-4617-a235-264ca26b4a9e","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Ribs"
"590311d9-6687-40f1-a8e0-baf55c9afad7","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Flat Slabs"
