"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"70875999-9b9b-46ed-863e-77114bd4928c","","checklist-flat","","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"464caf29-fec9-4cc8-adcb-930533ad6bf3","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA"
"e9d88eab-e6b5-4b09-ae54-92166c33e5fb","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Double Tees"
"51d5df0c-9cae-47de-a287-98f751c5ab0c","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Ribs"
"2f92333b-2a3f-46e5-b56c-9af129ee369f","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Flat Slabs"
