"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8df675e9-c510-43ca-b426-bf5b7ed26700","","checklist-flat","","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"eee1b066-274e-425e-8da8-4be96595a236","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA"
"7b709cba-0ce2-4b4e-9f8c-bc2ada8ed7d7","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Double Tees"
"aa55b35c-551e-4e23-908d-b7745b9ed902","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Ribs"
"c65fe3f9-cf87-441a-9ea6-061d863dfead","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Flat Slabs"
